name,Multiplicity,Charge,Smiles,Molecule
2-5_neutral_pka,1,0,O[C@]12C(C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1)=C,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F38B0>
3-17_neutral_pka,1,0,O[C@]12C(C[C@]3([C@@H](NC)c4c(C)cccc4[C@H]3CC2)C1)=C,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F31B0>
2-52_neutral_pka,1,0,O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@@]14CC([C@@](CC3)(O)C4)=C,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F3290>
4-3_neutral_pka,1,0,OC12C(CC3(C(CCN)c4c(C)cccc4C3CC2)C1)=C,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F00B0>
4-4_neutral_pka,1,0,OC12C(C)CC3(C(CN)c4c(C)cccc4C3CC2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F1A80>
3-45_neutral_pka,1,0,O=C1[C@]2(CO)C[C@]3([C@@H](N)c4c(C)cccc4[C@H]3CC2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F2B20>
3-46_neutral_pka,1,0,O=C1[C@]2(CO)C[C@]3([C@@H](NC)C4C(C)CCCC4[C@H]3CC2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F1CB0>
2-46_neutral_pka,1,0,O=C(O)[C@H]1c2c(C)cccc2[C@@H]3[C@]14CC([C@](CC3)(CO)C4)=O,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F28F0>
2-2_neutral_pka,1,0,Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](N)[C@H]3OC2)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F3450>
2-20_neutral_pka,1,0,Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](NC)[C@H]3OC2)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F1D90>
3-5_neutral_pka,1,0,Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@H](N(C)C)[C@H]3OC2)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F3920>
2-3_neutral_pka,1,0,O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)CN)=C,<rdkit.Chem.rdchem.Mol object at 0x0000014C934F3F40>
3-9_neutral_pka,1,0,O[C@]12C(C[C@]3([C@@H](CNC)c4c(C)cccc4[C@H]3CC2)C1)=C,<rdkit.Chem.rdchem.Mol object at 0x0000014C94D4EE30>
