No.	NAME	MW	AMW	Mv	Mp	Mi	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nHM	nHet	nX	C%	N%	O%	nCsp3	nCsp2	Fsp3	max_conj_path	totalcharge
1	Ceftriaxone	552.63	10.6275	0.708524999999999	0.715688461538461	1.13217307692308	9	13	8	0.145454545454545	8	0	8	7	3	18	0	34.6153846153846	15.3846153846154	13.4615384615385	6	12	0.333333333333333	9	-2
2	Nocardicin B	499.5	8.46610169491525	0.652938983050846	0.649942372881355	1.13257966101695	9	17	11	0.180327868852459	5	0	4	9	0	13	0	38.9830508474576	6.77966101694915	15.2542372881356	6	17	0.260869565217391	10	-1
3	BL-S217	437.54	9.11541666666666	0.66545	0.690222916666667	1.12318541666667	7	11	8	0.16	5	0	3	6	2	11	0	37.5	6.25	12.5	7	11	0.388888888888889	6	0
4	Nocardicin B	499.5	8.46610169491525	0.652938983050846	0.649942372881355	1.13257966101695	9	17	11	0.180327868852459	5	0	4	9	0	13	0	38.9830508474576	6.77966101694915	15.2542372881356	6	17	0.260869565217391	10	-1
5	Ceftazidime	545.63	9.40741379310344	0.680296551724137	0.693475862068965	1.12775172413793	9	17	9	0.147540983606557	6	0	6	7	2	15	0	37.9310344827586	10.3448275862069	12.0689655172414	7	15	0.318181818181818	9	-1
6	Cefoperazone	644.74	9.21057142857142	0.668042857142856	0.677922857142856	1.13613	10	18	9	0.121621621621622	7	0	9	8	2	19	0	35.7142857142857	12.8571428571429	11.4285714285714	10	15	0.4	6	-1
7	SCE-796	495.53	9.17648148148147	0.689394444444443	0.695601851851851	1.12024074074074	8	18	8	0.140350877192982	6	0	4	7	1	12	0	42.5925925925926	7.40740740740741	12.962962962963	5	18	0.217391304347826	8	-1
8	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
9	Ceftazidime	545.63	9.40741379310344	0.680296551724137	0.693475862068965	1.12775172413793	9	17	9	0.147540983606557	6	0	6	7	2	15	0	37.9310344827586	10.3448275862069	12.0689655172414	7	15	0.318181818181818	9	-1
10	Ceftazidime	545.63	9.40741379310344	0.680296551724137	0.693475862068965	1.12775172413793	9	17	9	0.147540983606557	6	0	6	7	2	15	0	37.9310344827586	10.3448275862069	12.0689655172414	7	15	0.318181818181818	9	-1
11	Cefoperazone	644.74	9.21057142857142	0.668042857142856	0.677922857142856	1.13613	10	18	9	0.121621621621622	7	0	9	8	2	19	0	35.7142857142857	12.8571428571429	11.4285714285714	10	15	0.4	6	-1
12	Cefsulodin	531.59	9.66527272727272	0.693258181818181	0.702994545454545	1.12040727272727	9	19	8	0.137931034482759	7	0	4	8	2	14	0	40	7.27272727272727	14.5454545454545	5	17	0.227272727272727	8	-1
13	SCE-796	495.53	9.17648148148147	0.689394444444443	0.695601851851851	1.12024074074074	8	18	8	0.140350877192982	6	0	4	7	1	12	0	42.5925925925926	7.40740740740741	12.962962962963	5	18	0.217391304347826	8	-1
14	Cefsulodin	531.59	9.66527272727272	0.693258181818181	0.702994545454545	1.12040727272727	9	19	8	0.137931034482759	7	0	4	8	2	14	0	40	7.27272727272727	14.5454545454545	5	17	0.227272727272727	8	-1
15	Cefsulodin	531.59	9.66527272727272	0.693258181818181	0.702994545454545	1.12040727272727	9	19	8	0.137931034482759	7	0	4	8	2	14	0	40	7.27272727272727	14.5454545454545	5	17	0.227272727272727	8	-1
16	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
17	Ceftazidime	545.63	9.40741379310344	0.680296551724137	0.693475862068965	1.12775172413793	9	17	9	0.147540983606557	6	0	6	7	2	15	0	37.9310344827586	10.3448275862069	12.0689655172414	7	15	0.318181818181818	9	-1
18	Cefsulodin	531.59	9.66527272727272	0.693258181818181	0.702994545454545	1.12040727272727	9	19	8	0.137931034482759	7	0	4	8	2	14	0	40	7.27272727272727	14.5454545454545	5	17	0.227272727272727	8	-1
19	Cefsulodin	531.59	9.66527272727272	0.693258181818181	0.702994545454545	1.12040727272727	9	19	8	0.137931034482759	7	0	4	8	2	14	0	40	7.27272727272727	14.5454545454545	5	17	0.227272727272727	8	-1
20	Nocardicin B	499.5	8.46610169491525	0.652938983050846	0.649942372881355	1.13257966101695	9	17	11	0.180327868852459	5	0	4	9	0	13	0	38.9830508474576	6.77966101694915	15.2542372881356	6	17	0.260869565217391	10	-1
21	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
22	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
23	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
24	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
25	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
26	Cyclacillin	341.48	7.42347826086956	0.595184782608696	0.632539130434783	1.13922826086957	7	3	3	0.0625	3	0	3	4	1	8	0	32.6086956521739	6.52173913043478	8.69565217391304	12	3	0.8	0	0
27	Imipenem	299.39	8.09162162162161	0.616164864864865	0.643583783783784	1.13942972972973	6	4	6	0.157894736842105	4	0	3	4	1	8	0	32.4324324324324	8.10810810810811	10.8108108108108	7	5	0.583333333333333	4	0
28	Ceftazidime	545.63	9.40741379310344	0.680296551724137	0.693475862068965	1.12775172413793	9	17	9	0.147540983606557	6	0	6	7	2	15	0	37.9310344827586	10.3448275862069	12.0689655172414	7	15	0.318181818181818	9	-1
29	Ceftazidime	545.63	9.40741379310344	0.680296551724137	0.693475862068965	1.12775172413793	9	17	9	0.147540983606557	6	0	6	7	2	15	0	37.9310344827586	10.3448275862069	12.0689655172414	7	15	0.318181818181818	9	-1
30	Cefoperazone	644.74	9.21057142857142	0.668042857142856	0.677922857142856	1.13613	10	18	9	0.121621621621622	7	0	9	8	2	19	0	35.7142857142857	12.8571428571429	11.4285714285714	10	15	0.4	6	-1
