No.	NAME	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_7	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_m_2	P_VSA_v_3	P_VSA_e_6	P_VSA_i_1	P_VSA_i_2	P_VSA_i_3	P_VSA_i_4	P_VSA_s_3	P_VSA_s_5	P_VSA_ppp_L	P_VSA_ppp_P	P_VSA_ppp_N	P_VSA_ppp_D	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_ppp_ter	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_4	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_8	P_VSA_charge_9	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
1	Ceftriaxone	19.2794342704094	49.5569854617389	40.5462612340121	173.556957592239	56.8490159387438	24.2352831586479	225.198892022084	179.646865343673	136.943398894531	0	65.379123329301	91.9943949491235	19.5422771016553	194.80402394962	162.627600585239	0	95.7167700595901	66.910830525649	316.590264238205	127.893193423971	135.699092552883	18.0107506830303	98.9023450103302	32.8971874720655	44.5107679575394	50.9079381550958	58.969785040922	194.677993977964	0	153.638232219932	204.523796292563	159.929115690418	78.5590949912483	16.7855295481303	16.7855295481303	63.4972288960419	51.6194030921225	11.5819518154151	91.8461692347933	73.3833595330669	20.3545029939598	8.65522309888608	0	14.1139498052019	0
2	Nocardicin B	0	116.509951789318	75.809979787441	168.858494783653	78.6676117194581	0	200.108733942035	262.708796196919	220.610812068051	0	43.6151624803703	113.020001276566	0	189.532351229002	122.252622240795	0	0	122.252622240795	450.422420792904	67.2797289882066	46.4426424533541	18.0107506830303	84.7156614281211	32.8971874720655	53.2450787759982	103.499762740623	87.4245577835054	133.278359243631	0	97.3592259545527	272.210986435328	254.056084835124	50.2898540648355	0	0	0	32.199971885976	60.0430597913208	29.2623106831207	171.493517177294	30.4439261605755	2.75674755352504	4.70464993506731	4.70464993506731	0
3	BL-S217	17.2215811265652	54.1493703447831	18.9524949468603	152.093080816433	33.831036950674	11.7711019965903	241.005612275951	238.502375326625	111.579596017277	0	54.4468753711043	55.4005091031343	4.65584031262008	114.503224786859	155.908149777835	0	64.4390823270964	91.4690674507383	350.081971343903	23.0341573361204	101.639233551979	18.0107506830303	95.4023564865868	1.89909275909503	26.6225393879991	18.0107506830303	40.4971618182828	78.2991093896661	0	87.3876800635157	144.423828644235	80.7781049910536	78.5590949912483	1.89909275909503	0	64.4390823270964	0	0	115.811412843877	109.596356271195	43.2456637756004	18.0948401524302	4.70464993506731	4.70464993506731	7.19133047612651
4	Nocardicin B	0	116.509951789318	75.809979787441	168.858494783653	78.6676117194581	0	200.108733942035	262.708796196919	220.610812068051	0	43.6151624803703	113.020001276566	0	189.532351229002	122.252622240795	0	0	122.252622240795	450.422420792904	67.2797289882066	46.4426424533541	18.0107506830303	84.7156614281211	32.8971874720655	53.2450787759982	103.499762740623	87.4245577835054	133.278359243631	0	97.3592259545527	272.210986435328	254.056084835124	50.2898540648355	0	0	0	32.199971885976	60.0430597913208	29.2623106831207	171.493517177294	30.4439261605755	2.75674755352504	4.70464993506731	4.70464993506731	0
5	Ceftazidime	17.6504085237802	77.3855384433658	68.9750036543024	171.158725476663	55.1565347625387	23.5422039931806	228.292656848306	194.498302735082	182.425083841655	0	82.5430642705038	97.7560220981031	21.4413698607503	201.740456229357	173.120948840509	0	63.4972288960419	109.623719944467	376.923386576738	92.1167362848905	101.297883982061	18.0107506830303	112.761954790853	34.7962802311605	53.2450787759982	50.9079381550958	107.392460372738	165.922906661212	0	154.282978617971	204.372382901515	165.661634728372	53.4141679588306	16.7855295481303	1.89909275909503	63.4972288960419	28.8761094020045	17.6504085237802	124.855650380627	73.383359533067	63.2705516092873	23.4580384927667	0	9.40929987013462	0
6	Cefoperazone	17.2215811265652	80.1334769587143	37.9049898937205	271.586928760863	8.84079971255238	16.0469245344426	323.403326252084	262.044579319806	228.866211345199	0	64.8057916436776	82.4816369726977	52.5007256304658	199.788154246841	167.312244803346	0	64.4390823270964	102.87316247625	490.910790665005	96.9149917705915	112.18567378306	36.0215013660606	117.540426384187	0	26.6225393879991	78.7048445269818	93.3041927324736	190.805294238827	0	160.064047319801	237.397025869992	133.596624841394	106.828335917661	26.9214976780228	0	48.8825485981885	51.1720361104085	67.2298197525309	157.766095346428	132.238869516019	6.71469803470048	0	5.39772910053458	4.70464993506731	13.6851224079869
7	SCE-796	0	110.282725915431	66.3337323140109	181.466025342492	27.6515650046504	11.7711019965903	185.243867119222	241.582710721443	125.724635162089	0	75.1324872918633	103.433803040834	4.65584031262008	183.222130645317	159.51032700068	0	32.2195411635482	127.290785837131	367.307345883532	55.9313448081859	75.0817545342385	18.0107506830303	108.109998329779	34.7962802311605	53.2450787759982	50.9079381550958	92.6988151270163	160.350339665885	0	139.589333372249	211.866901410153	154.44287099593	78.5590949912483	0	1.89909275909503	32.2195411635482	47.3812373671506	3.18557495074004	49.7655395898782	120.467767519428	60.5138040557622	20.2005444944152	9.40929987013462	4.70464993506731	0
8	Imipenem	8.82520426189009	84.9694971317322	42.6833431609212	86.4063782236161	0	0	173.472765122632	137.576884908852	109.145364047787	42.6833431609212	50.3866324574929	20.0379406487679	4.30748151342232	91.5175841678134	70.9300944171708	0	32.2195411635482	38.7105532536226	272.62006256943	52.8070309141908	53.4862974762805	16.7855295481303	43.5792771646383	49.6827170201958	26.6225393879991	92.366060181117	0	36.1671065805406	0	14.6709770816847	161.318128347711	130.472310947399	25.1449270324178	16.7855295481303	0	32.2195411635482	0	8.82520426189009	98.2540816718198	27.1986422950629	30.2569020278811	13.8768063385753	13.3232426140674	0	0
9	Ceftazidime	17.6504085237802	77.3855384433658	68.9750036543024	171.158725476663	55.1565347625387	23.5422039931806	228.292656848306	194.498302735082	182.425083841655	0	82.5430642705038	97.7560220981031	21.4413698607503	201.740456229357	173.120948840509	0	63.4972288960419	109.623719944467	376.923386576738	92.1167362848905	101.297883982061	18.0107506830303	112.761954790853	34.7962802311605	53.2450787759982	50.9079381550958	107.392460372738	165.922906661212	0	154.282978617971	204.372382901515	165.661634728372	53.4141679588306	16.7855295481303	1.89909275909503	63.4972288960419	28.8761094020045	17.6504085237802	124.855650380627	73.383359533067	63.2705516092873	23.4580384927667	0	9.40929987013462	0
10	Ceftazidime	17.6504085237802	77.3855384433658	68.9750036543024	171.158725476663	55.1565347625387	23.5422039931806	228.292656848306	194.498302735082	182.425083841655	0	82.5430642705038	97.7560220981031	21.4413698607503	201.740456229357	173.120948840509	0	63.4972288960419	109.623719944467	376.923386576738	92.1167362848905	101.297883982061	18.0107506830303	112.761954790853	34.7962802311605	53.2450787759982	50.9079381550958	107.392460372738	165.922906661212	0	154.282978617971	204.372382901515	165.661634728372	53.4141679588306	16.7855295481303	1.89909275909503	63.4972288960419	28.8761094020045	17.6504085237802	124.855650380627	73.383359533067	63.2705516092873	23.4580384927667	0	9.40929987013462	0
