No.	NAME	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_L	Eta_F_A	Eta_FL	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_y	Eta_sh_x	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_3	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiC	Eta_D_epsiD	Eta_psi1	Eta_D_beta	Eta_D_beta_A
1	Ceftriaxone	0.757051282051281	0.694444444444444	1.15277777777778	1.04828867182506	9.19718952453966	1.04396334960189	7.91911043378851	0.219975289827458	1.14170004167183	0.0317138900464398	0.428571428571428	0	0.0268518514931202	0.960185185185185	0.443999999999999	0.909401709401709	0.0326465201465203	-0.280404761904762	0.0507834757834759	0.492767598842816	-8.5	-0.236111111111111
2	Nocardicin B	0.688135593220338	0.645833333333333	1.21527777777778	0.845853072491822	7.72935173369317	1.18699233399941	9.386948224635	0.260748561795417	1.05570004167183	0.0293250011575509	0.397515527950311	0	0.0527777783572674	0.936111111111111	0.441176470588234	0.845238095238095	0.0656003819527337	-0.18135874067937	0.0908730158730159	0.477744807121662	-2.75	-0.0763888888888889
3	BL-S217	0.673611111111111	0.663793103448276	1.11206896551724	0.966204219601651	7.56585307410203	0.900907550137755	6.20791162912504	0.214065918245691	0.898235296772927	0.0309736309232044	0.382211538461538	0	0.0218390803784132	0.918390804597701	0.44320987654321	0.897777777777777	0.0415123456790127	-0.188888888888889	0.0206130268199233	0.520650813516896	-6.25	-0.21551724137931
4	Nocardicin B	0.688135593220338	0.645833333333333	1.21527777777778	0.845853072491822	7.72935173369317	1.18699233399941	9.386948224635	0.260748561795417	1.05570004167183	0.0293250011575509	0.397515527950311	0	0.0527777783572674	0.936111111111111	0.441176470588234	0.845238095238095	0.0656003819527337	-0.18135874067937	0.0908730158730159	0.477744807121662	-2.75	-0.0763888888888889
5	Ceftazidime	0.698275862068964	0.675675675675676	1.17567567567568	1.04843738909747	9.072148047416	1.09768486778858	8.41876013812969	0.227534057787289	1.26709181445431	0.0342457247149814	0.362068965517241	0.028735632183908	0.0297297295182943	0.924324324324324	0.445098039215685	0.8775	0.0482758620689657	-0.204901960784313	0.0468243243243244	0.508771929824562	-6.5	-0.175675675675676
6	Cefoperazone	0.698095238095237	0.681818181818182	1.17045454545455	1.08824224121845	10.9560547064745	1.19291533874216	10.054092101971	0.228502093226615	1.33385319155448	0.0303148452626018	0.420880913539967	0	0.0356060601770878	0.933333333333333	0.443089430894307	0.89290780141844	0.0408302808302811	-0.214175526370649	0.0404255319148936	0.497564935064935	-8.5	-0.193181818181818
7	SCE-796	0.693209876543209	0.657142857142857	1.22857142857143	0.917463295295614	8.0042132323614	1.14467339284293	8.68023507338863	0.248006716382532	1.07355169424997	0.030672905549999	0.418032786885246	0	0.0352380946278572	0.906666666666666	0.445833333333332	0.858771929824561	0.0714927048260384	-0.175883838383838	0.0478947368421052	0.512605042016807	-3	-0.0857142857142857
8	Imipenem	0.638738738738739	0.65	0.95	0.972551953091335	5.93791367143937	0.667042671324798	3.54735599375357	0.177367799687678	0.600730334807067	0.0300365167403534	0.416370106761566	0	0.0316666662693024	0.926666666666666	0.442857142857143	0.822222222222222	0.0173712173712173	-0.178510378510378	0.104444444444444	0.505395683453238	-7	-0.35
9	Ceftazidime	0.698275862068964	0.675675675675676	1.17567567567568	1.04843738909747	9.072148047416	1.09768486778858	8.41876013812969	0.227534057787289	1.26709181445431	0.0342457247149814	0.362068965517241	0.028735632183908	0.0297297295182943	0.924324324324324	0.445098039215685	0.8775	0.0482758620689657	-0.204901960784313	0.0468243243243244	0.508771929824562	-6.5	-0.175675675675676
10	Ceftazidime	0.698275862068964	0.675675675675676	1.17567567567568	1.04843738909747	9.072148047416	1.09768486778858	8.41876013812969	0.227534057787289	1.26709181445431	0.0342457247149814	0.362068965517241	0.028735632183908	0.0297297295182943	0.924324324324324	0.445098039215685	0.8775	0.0482758620689657	-0.204901960784313	0.0468243243243244	0.508771929824562	-6.5	-0.175675675675676
