No.	NAME	SPAN	SPAM	MEcc	SPH	PJI3	L/Bw	HOMA	CMBL	AROM	HOMT	DISPm	DISPv	DISPe	DISPp	DISPi	DISPs	QXXs
1	Ceftriaxone	10.0476492460714	0.439572546871289	0.998803523123377	0.820115333340306	0.932172545145263	10.14	-0.463549189952942	1.75243993049691	0.648762235137706	-7.88033622920001	3.6752228653066	3.904056203246	0.341214381758334	0.27563047033381	0.28515667602278	0.907321288670448	670.259080587428
2	Nocardicin B	8.51010975335944	0.379788294135067	0.995300295094409	0.806140772999477	0.882646087405644	4.11	0.538115995808601	1.41814950199194	0.99090665392562	8.60985593293761	7.15118665141202	7.02218586222641	0.255755948053138	0.375694614879956	0.438327875139426	0.705961754593415	1158.51313288367
3	BL-S217	8.67968855159972	0.425237398196577	0.996312236996314	0.855359363210043	0.834918895810946	3.57	0.168672781880667	1.4110083770127	0.949601493826285	1.518055036926	7.98248042467422	6.44279978966857	0.401583533973464	0.459583836527015	0.363636442827471	1.04922148415428	718.826103279556
4	Nocardicin B	9.4589714561031	0.400401735889647	0.996328438420712	0.825130275975513	0.842352051118455	4.51	0.532389657282759	1.41919315457763	0.990792616988321	8.51823451652415	6.94172343702803	6.76949356174777	0.252368277618706	0.361212752332816	0.433681711440194	0.699143044852107	1093.51181715875
5	Ceftazidime	9.70769822548619	0.409113807315237	0.999407262621262	0.881591249547113	0.988835123183871	4.26	-0.075226583645597	1.75617807183668	0.7186375751826	-1.35407850562074	3.39934366840974	1.51697575098074	0.355191344176693	0.340401220148988	0.591101938948357	0.879896367705128	849.312527029219
6	Cefoperazone	9.24682097684251	0.363452118615811	0.985447174014518	0.723639048528389	0.750033250660158	2.32	-0.0435074753195273	1.4206527337812	0.917399519881378	-0.739627080431962	7.71924723921084	6.63354847658426	0.238179111895019	0.429737113275106	0.613563652218537	0.632179636106551	1866.13941503219
7	SCE-796	7.35178469897082	0.36897718234608	0.973837563470736	0.681681635613623	0.716188920116515	1.4	0.235779652697986	1.41829247336366	0.96162518272102	4.00825409586576	6.38141439744383	4.57470550651196	0.334177654705163	0.180588716284658	0.269185717870073	0.816774149942854	1245.45354404761
8	Imipenem	6.89816890927184	0.431783507730306	0.997142407136458	0.816147508076325	0.795879538194026	2.67	-1.70768141763665	0	0	-5.12304425290996	9.3440292737596	7.89971328304293	0.33005184627031	0.396289114548695	0.527233363370918	0.914249818030428	404.217251157485
9	Ceftazidime	9.66648553243176	0.408244465562751	0.999221650232865	0.857656929340989	0.938438863449256	5.01	-0.0809484122508572	1.75720795866625	0.718281075403913	-1.45707142051543	5.21697622857642	1.98650392085485	0.329549350981462	0.349064951916031	0.392956338450297	0.776004349297494	691.635949426384
10	Ceftazidime	7.16800044096299	0.351548310334955	0.956349607074726	0.534595411907393	0.449154627412263	2.23	-0.367153939751328	1.7491402145054	0.719711773978415	-6.6087709155239	5.38949281029168	3.67274582482371	0.32761822972422	0.33473213656237	0.277219920390763	0.816771006968824	1224.30845982096
11	Cefoperazone	9.72768296051987	0.37278264368932	0.993837530499228	0.751352213918451	0.699722998928966	3.75	-0.0853663398850644	1.41951715030147	0.917867968567158	-1.45122777804609	7.14731577445248	5.82605560812315	0.156226151120049	0.460453572617495	0.5222690440382	0.511167752754621	1686.4152196502
12	Cefsulodin	9.74409262554123	0.420910109719862	0.998078135147707	0.810081394616927	0.936008259482524	8.11	0.254571245334329	1.41633752333263	0.960491053764947	4.32771117068359	8.61117559256623	5.00599820400803	0.366960113248535	0.307653750130704	0.441469538559951	0.837054562814081	632.490819316793
13	SCE-796	7.82134394300674	0.380578116354938	0.985374956190565	0.704013197990665	0.532865194386841	1.57	0.281478990849305	1.41771157856597	0.961033598260146	4.78514284443818	6.40405532728385	4.7665260261071	0.321868177772353	0.184806659214335	0.284734606302975	0.780216087148688	1165.97794991486
14	Cefsulodin	10.0024882887561	0.426454479906037	0.998663564612068	0.807921228291124	0.972775681658499	6.88	0.18272245339766	1.4156395056652	0.959768764196248	3.10628170776022	9.4478324809819	5.7906468832955	0.415687017966709	0.348439379431076	0.512374913950407	0.967244359300021	727.917375346409
15	Cefsulodin	10.0766934962994	0.428033420451751	0.998687165082414	0.81105439907922	0.986579916936896	7.07	0.225754435486637	1.41631312215908	0.960936741216699	3.83782540327282	9.46543395499853	5.74629839929422	0.420485925278202	0.355471483633059	0.533646319313059	0.987197183860575	709.878967595863
16	Imipenem	7.14963692655998	0.439583246322659	0.984409832180145	0.728537653336208	0.70729686168712	3.27	-2.09767812538861	0	0	-6.29303437616584	7.51373207841892	6.66683498709528	0.273013432636774	0.435385827964707	0.639860382037655	0.755753740634465	401.031561563606
17	Ceftazidime	9.84164889756308	0.411926694549069	0.99854828275377	0.833526464610741	0.916624326820041	7.37	-0.127824544440411	1.75773263325228	0.716415685624924	-2.30084179992739	3.83099850390552	2.315045854325	0.332800632542766	0.301218605005155	0.514413081829942	0.800089948479246	672.546674002305
18	Cefsulodin	9.70145972491029	0.41998830557118	0.997153212602172	0.753850696033091	0.96756111308136	7.16	0.25802356185581	1.41560059691991	0.959806409861893	4.38640055154876	9.4641835175037	5.67578962121047	0.415349017302153	0.344535781280554	0.490931934768601	0.980284659963478	679.628727024318
19	Cefsulodin	9.86638748690055	0.42354322494663	0.997839338885292	0.778078491042502	0.965482924052654	7.65	0.177974093364219	1.41427717580395	0.958510730131664	3.02555958719173	9.66187926164218	5.85443509229394	0.417234896523286	0.346728357349888	0.487061921024215	0.971304299852626	683.177023116417
20	Nocardicin B	9.15778757986141	0.393975555893661	0.996761951291726	0.827190477985784	0.895166310859809	4.02	0.447441560236461	1.4208290150472	0.988674347122431	7.15906496378337	7.12220342042495	7.73551981379188	0.204846807687688	0.428632568021063	0.512734789169747	0.565571081972203	1015.51668212706
