No.	NAME	J_G	VE2_G	VE2sign_G	VE3sign_G	H_RG	J_RG	SpPosA_RG	SM5_RG	VE1_RG	VE2_RG	VE3_RG	VE1sign_RG	VE2sign_RG	VE3sign_RG	J_G/D	SpPosA_G/D	SpMaxA_G/D	SM3_G/D	VE1_G/D	VE2_G/D	VE1sign_G/D	VE2sign_G/D	VE3sign_G/D	Chi_Coulomb	J_Coulomb	HyWi_Coulomb	SpAbs_Coulomb	SpMaxA_Coulomb	VE1_Coulomb	VE2_Coulomb	VE3_Coulomb	VE1sign_Coulomb	VE2sign_Coulomb	VE3sign_Coulomb	VR2_Coulomb
1	Ceftriaxone	1.73972532333665	0.122779437301166	0.00204985827475048	-5.05581866908814	88882.28288747	172.97957099966	0.396915718148375	6.64643603744657	1.98516430125782	0.0381762365626504	1.54854157525653	0.196667296227238	0.00378206338898535	-3.6725928347451	11.7388349727135	1.09560820886135	0.975975902168814	11.7801553883613	5.68768210082621	0.109378501938966	0.0326410690747866	0.00062771286682282	-7.7284252524936	0.197582863907424	2.17341150298167	12.7470423268898	2790.06057734948	12.132137397012	2.46624034556011	0.047427698953079	2.03858407041947	1.21814359352522	0.0234258383370235	0.445632124627709	1.05333029729181
2	Nocardicin B	2.39843498046105	0.118475248382371	0.00320328208505147	-4.26896154059929	102461.97622468	229.869084702392	0.436378474177577	7.29908411451384	2.15307373750682	0.0364927752119801	1.96504753124854	0.239595876124704	0.00406094705296108	-3.66107190111741	17.7150673634388	1.04138526740986	0.875889298785534	11.8357830733247	6.4708424656958	0.109675296028742	0.140152065688918	0.00237545874049013	-5.03506293128821	0.262975245022576	4.01037248659428	11.4324677049065	1756.46369394501	6.46691222844338	3.57820896871599	0.0606476096392541	3.26662762958108	1.07678869856715	0.0182506559079178	0.189569883726902	1.02977086866571
3	BL-S217	2.1848971842333	0.128964814235269	0.00214565149200083	-4.73855798236803	57367.4294818099	167.888667708307	0.412717505940532	6.77212392625191	2.43419286907284	0.0507123514390175	1.8545039319909	0.259580902862182	0.00540793547629545	-2.81149085451837	13.7865007031223	1.06932140103372	0.931683020881815	11.4015269016263	5.65013325894267	0.117711109561306	0.20151201372412	0.00419816695258583	-3.33935547371428	0.230813303629189	2.88516629536486	12.3658658615912	2066.2339161028	11.5467573888608	3.59911333731266	0.0749815278606805	2.66973851016166	0.917238709268397	0.0191091397764249	-0.180084602296213	1.03520019640877
4	Nocardicin B	2.37417995073217	0.117959780438431	0.00342571343926451	-4.09694204581535	106042.70177674	230.173412511484	0.436744902190583	7.29469140698818	2.15102532011116	0.0364580562730705	1.96260858320469	0.240551578922408	0.00407714540546454	-3.65087155007366	17.6110501085041	1.04369739911161	0.880538826966221	11.8514482119256	6.45882779633434	0.109471657564989	0.12755131289817	0.00216188665929101	-5.27645889409346	0.263684990239126	4.02119610114666	11.4330277041977	1756.50683321058	6.47047138955715	3.61279830727003	0.0612338696147463	3.29127792889493	1.07719522998084	0.0182575462708618	0.190537087485215	1.02976900807245
5	Ceftazidime	1.92857356466909	0.117538162641826	0.0000211539841616768	-16.8848430231805	106823.23100648	191.981047089609	0.412701643894619	7.07623235572555	2.01049543703813	0.0346637144316918	1.75915793231208	0.189143382969401	0.00326109280981725	-4.19461131580165	13.4301944460752	1.08703154272697	0.937572659342084	11.9875675353663	6.23572166333758	0.107512442471338	0.0955726706444296	0.00164780466628327	-5.91406441280962	0.237899084663244	2.90236883289157	12.4784439486523	2450.49220158022	10.4567899474373	3.81188414372808	0.0657221404091048	3.37061021628893	0.632302405013031	0.0109017656036729	-1.15463596459605	1.04615325036534
6	Cefoperazone	1.8748821990809	0.106268835978659	0.00531483397385934	-3.0058858026151	158345.25969905	221.386023615363	0.41862914645695	7.4608547515585	2.63340171388931	0.037620024484133	2.94361979715542	0.152125127950393	0.00217321611357705	-5.72459330437746	14.1934591941949	1.07867496493244	0.904928407571277	12.4469044948021	6.72639350304119	0.0960913357577313	0.285847718674434	0.0040835388382062	-3.80705688651427	0.265377444006057	3.27298847607471	12.5591600843944	2801.71458212036	8.7971379768133	5.5127556181067	0.0787536516872385	5.18958118362893	0.0509502238725739	0.00072786034103677	-9.04997732370555	1.05241894471175
7	SCE-796	2.21753004252218	0.120707363631029	0.0016956305034006	-5.60668510533759	55149.81214806	160.053943129925	0.421607106129301	7.12225075712649	2.12261014822971	0.0393075953375872	1.76509927584084	0.176568725756453	0.00326979121771208	-4.06666557259279	13.6927764145527	1.08093763868245	0.872400827519251	11.562360766484	6.05183140442638	0.112070951933822	0.293304608208129	0.00543156681866905	-2.87647801353728	0.217813600513539	2.48307504585434	12.0632045181205	1992.09318991123	9.99225743477383	4.20383211663527	0.0778487429006532	3.36768496456563	0.887419822663129	0.0164337004196876	-0.280102722277787	1.04965187212548
8	Imipenem	2.78166041371455	0.145498356365622	0.00369118999206293	-3.19913794215691	21311.49189756	125.804554195475	0.437283861554204	6.81215425611355	2.60481446683988	0.0704003909956723	1.53837414237836	0.137550781020657	0.00371758867623398	-3.1876866754844	13.3235404058475	1.02839595552868	0.952299970903195	10.6842970660495	4.90542819297421	0.132579140350654	0.148896525263642	0.00402423041253087	-3.06032711719409	0.221036268724379	2.79979273717547	11.7579665546362	1307.03285117416	12.7298814065685	3.25770523025895	0.0880460873042959	1.89777360490526	0.478263407592343	0.0129260380430363	-1.18523153078638	1.02042521082719
9	Ceftazidime	1.96194516980331	0.11538229790462	0.000734679414240619	-7.94874998519546	102484.4858755	190.502445690831	0.412471438177019	7.09701317289259	2.07399626748518	0.0357585563359514	1.83748622870122	0.166204064645464	0.00286558732147351	-4.52027848465739	13.5753171341051	1.09390359111439	0.929067294533907	11.9604365663713	6.28386461015193	0.108342493278482	0.220857128697726	0.00380788152927114	-3.80415375399554	0.236138742856791	2.88089266285285	12.4780847616185	2450.52570309128	10.3389564811108	3.82338657103997	0.0659204581213789	3.37819962054693	0.633547541468539	0.0109232334735955	-1.14968058233619	1.04614293900134
10	Ceftazidime	2.156931498426	0.116979762894209	0.00204464776641778	-5.37053032325214	77106.82409468	186.122680490862	0.412480560166395	7.15731896248892	2.03932046300375	0.0351606976379957	1.79501576698996	0.186341247660173	0.00321278013207194	-4.23220780574123	14.4196768472213	1.09235746438543	0.878194905525008	11.7935608339345	6.31016762016993	0.108795993451206	0.110330186302562	0.00190224459142348	-5.55237276115485	0.227859047320411	2.77988037730901	12.4784361564617	2450.53998096337	10.3331852289752	3.82545087328273	0.0659560495393575	3.37955924874862	0.64992974889714	0.0112056853258128	-1.08537478628363	1.04616732650387
