No.	NAME	TDB03u	TDB05u	TDB06u	TDB07u	TDB08u	TDB09u	TDB03m	TDB05m	TDB06m	TDB07m	TDB08m	TDB09m	TDB10m	TDB02v	TDB03v	TDB05v	TDB06v	TDB09v	TDB10v	TDB03e	TDB04e	TDB05e	TDB06e	TDB07e	TDB08e	TDB09e	TDB10e	TDB01p	TDB02p	TDB03p	TDB04p	TDB05p	TDB06p	TDB07p	TDB09p	TDB01i	TDB02i	TDB03i	TDB04i	TDB05i	TDB06i	TDB07i	TDB08i	TDB09i	TDB01s	TDB02s	TDB03s	TDB04s	TDB05s	TDB06s	TDB07s	TDB08s	TDB09s	TDB10s	TDB01r	TDB04r	TDB07r	TDB08r
1	Ceftriaxone	3.25633928646927	5.03367532187136	5.8307436598129	6.71251725606075	7.4511060350626	8.34452412438074	3.10834291083587	4.48443220657921	4.36179515157015	5.36676386323716	6.25880246998248	6.10514244220514	6.62384022564558	1.46177837349402	2.00349812067246	2.65473418167948	2.92627734607144	3.94488300244046	4.38525422128053	3.63938128455564	4.56433058748413	5.68811413201338	6.48847284697438	7.47210810785143	8.28440387660389	9.44328917080467	10.3416845879823	1.01763250594227	1.48935635100587	2.05945083516016	2.43297113654105	2.62210781414131	2.96196038378719	3.62227408574056	3.88226955722069	1.58165051713699	2.86866333063589	4.0344920228259	5.09446144172379	6.3135994226175	7.55393469775037	8.51213859891838	9.48039250562199	10.8799588968982	5.63040955182474	11.2214692243852	16.5870071634296	19.0231852392483	27.7469864276439	27.2326768587336	31.2699299104512	40.3677137892857	49.542062009477	59.632243380088	1.18152599532344	2.98265356437908	4.59125648422481	5.0414427176971
2	Nocardicin B	3.08979680341455	4.67603198918284	5.39298478584854	6.17094749259246	6.89346678746421	7.78581698288453	1.71750255066566	2.4265170997061	2.80792226506303	3.30014142792394	3.42223771042831	4.16199458935775	5.30853811946042	1.28634935848435	1.49132082730808	2.03896439944961	2.42637596679092	3.51515675511342	4.30165893133225	3.30048335924687	4.20046427069829	5.12371625720829	5.80581294314942	6.63942512586402	7.43403160096158	8.51730022646585	9.50454391664694	0.833246240419646	1.25618506712451	1.48074737084183	1.69743143682465	1.9719867546252	2.39927725288007	2.68200764481609	3.37011710408431	1.49281356494843	2.72634067204221	3.86066112232211	4.92842192247432	6.03312183079342	6.84254008910843	7.83645174782897	8.9202056828443	10.0359696643925	5.307366702017	10.1637413228625	12.8876268285642	17.8850998806673	24.2270550051414	23.7051636582789	32.117716389969	35.0973497438555	36.5057373568017	48.1080868229193	0.997915664620558	2.23551021476829	3.50961789501344	3.79947221823299
3	BL-S217	3.18067351100296	4.95271849949407	5.87571195968213	6.61857523488972	7.36201748010349	7.92323459909031	2.34655465603784	3.35467892448026	4.25013059179088	3.95727492155858	4.11150980722269	4.6392300498924	4.43455208490357	1.33005517869007	1.74029105729389	2.20813012343212	2.77094830175407	3.3960003262577	3.68729595525823	3.40530329090292	4.25596590585221	5.34428382008584	6.46235428463367	7.15608445676916	7.80624002947493	8.7217440255797	8.87597315669718	0.967958577260966	1.42199857703824	1.88602255791753	2.08325674658736	2.33184701811089	2.98299198112356	3.29757894198303	3.63939961583873	1.49831456250974	2.76983210188057	3.84753695071003	4.93365554548379	6.26016064987378	7.41549153223598	8.31536854849315	9.26169129565822	10.2035382344212	4.72045158217337	9.5281279869581	11.8250931817607	14.5670822160692	24.334104430224	27.0695226553399	31.6274388066829	36.6757961387982	36.0536859155555	28.3742285013497	1.08659014012486	2.49114194003448	4.02287969479307	4.14816321832229
4	Nocardicin B	3.09088955503575	4.67542848541746	5.39095023913903	6.16804721798355	6.89014651103871	7.79498019980646	1.71715708824656	2.41921332988686	2.796319091469	3.28439584701965	3.398148432646	4.13344816902985	5.28222042364348	1.28663288232347	1.49137592355547	2.03645374188641	2.42208311247126	3.50372213027175	4.29560043678749	3.30157218515274	4.20066094471148	5.12073085241765	5.80003012462453	6.63059264660954	7.42174876826707	8.51653639721828	9.48952301084468	0.833279190671589	1.25648891776002	1.48092605092622	1.69710679203183	1.97125729783475	2.39781933323002	2.67842725618936	3.36573038185666	1.49265043060074	2.72669346629564	3.86212305262828	4.9294627952717	6.03213812464059	6.83908762473114	7.83377424471484	8.91470748394676	10.0513554345344	5.30657331180866	10.1605985090226	12.8904107226618	17.8758495019129	24.1408648593333	23.6053098975177	31.9426530313931	34.7576034523903	36.2422376476686	47.5482854896619	0.997923685478634	2.23454325301646	3.50142970246562	3.78871681037738
5	Ceftazidime	3.18291496470301	4.89085753956326	5.59988837966061	6.33333536114504	7.11673989754061	8.0346111405887	2.21660082605723	3.92950908262832	4.1253000947794	4.41722747086294	4.69726483185333	4.83363264111514	4.70758518703625	1.3965254769729	1.68308439091169	2.59942873075541	3.00658877040936	3.58118628281201	3.47125422395294	3.45615320142454	4.30070828574842	5.4052935075996	6.10777348938073	7.06046257955994	7.64823267151562	8.72101638179123	9.42474579537945	0.959330095132792	1.41988169981287	1.72515998126911	1.88667192778376	2.56763150294471	3.03645893553643	3.2651497495572	3.6959772380265	1.52647816600681	2.78389591226943	3.93882886680851	5.09604366021094	6.09925698740431	6.97503672932995	8.10474726144926	8.90070765816191	10.3357791406286	5.11615636356231	10.3342864454725	13.7549845013507	17.2178866602296	24.7424307884773	26.3128807051572	33.5706551175407	32.7168755615173	38.9039185962623	43.5216283980903	1.10101769558604	2.4102900382518	4.10281638340962	4.37073141329535
6	Cefoperazone	3.14890938938878	4.84796291297153	5.7553057379933	6.65499608778565	7.29416763003699	8.14188479406415	2.31195307072048	3.19495718937836	3.77778884484528	4.73778008003727	4.64943040318702	4.49114198348012	4.93246259523945	1.3318409340586	1.69857147597356	2.23080152427598	2.81540018608649	3.66935099078026	3.8219368669485	3.38160450625549	4.30464080684613	5.33392252496929	6.23385467657812	7.32649312738137	7.96205462253407	8.67984653558279	9.54092297865155	0.910862868829635	1.35524158372913	1.75371041751936	1.9936372490456	2.24036019640281	2.82335009922634	3.42625927456715	3.81383513851134	1.54632148185438	2.8251419620494	3.90653064741376	5.00243021982472	6.26007860174131	7.37184548251694	8.427600876879	9.31795101476395	10.3180133417066	4.98365931774299	9.33361677173654	12.9218876756619	17.0365016441484	25.3927502386923	23.5143228345263	31.9648260720028	38.9501299088054	32.7425592461868	39.5351724053242	1.0766071168519	2.50591922851969	4.40587048327701	4.50197552135444
7	SCE-796	3.17851870814408	4.85174644317475	5.6471305953406	6.35125020354022	6.97409091346934	7.52268966040552	2.07304289608125	2.99257128992859	3.3348813465743	4.00279261872605	4.09145542609285	4.57136513812085	4.67974205387891	1.44948786967754	1.74005367399345	2.2346072193606	2.70007254502753	3.52585524898816	3.4759888217721	3.35479156640147	4.27666761964284	5.29397484872405	6.10739410798941	6.94240546338798	7.40895219839826	8.28577830543275	8.55316358620148	0.954177991079066	1.47971985869904	1.8005749631038	1.98205558275266	2.2450166967289	2.75364940637468	3.14919986899188	3.47339738589044	1.49216503303025	2.74289063093662	3.83510406534489	4.98731903908636	6.16949243332364	7.1356128376409	7.98975809404406	8.66834656612731	9.56449286362372	5.06238969419689	10.7043182627633	12.4504867878687	18.7072062025898	24.6467317188902	25.1901001583374	33.4874444976737	32.4635450013745	37.074165016007	59.0062750714367	1.08480400838182	2.48505234084049	3.94875525108788	4.21280802027925
8	Imipenem	3.10033476594503	4.67943602415675	5.44051502866357	6.42038109368719	7.25204413726119	7.68135971282746	1.81449500087352	2.29394742739187	2.56370393280615	3.11095328528218	2.36198733483855	2.20168088203329	1.88363458346575	1.20194285694615	1.43398389648982	1.81774700694049	2.10119195241486	2.05969612782405	2.00747498384619	3.23391178518996	4.16107356590372	5.04951363991111	5.65269926024913	7.03944915720734	7.88072928593661	7.9535982094807	8.47915103421146	0.878478663904997	1.29344154251211	1.5731035017162	1.92465504134889	1.9450193709616	2.31939621890122	2.67336879039658	2.27645312942347	1.50567187456308	2.73860579618395	3.88915341951303	4.88705991781959	6.08000064780734	6.95847009473543	8.20431151555729	9.71038431514321	10.5270034432111	4.51987158176655	8.57571959029329	10.0404795670317	16.2937973707331	21.5274053531802	18.0821249046942	36.1320688228733	31.6844053274551	30.861217569618	32.4361484288847	1.00356504447057	2.34681438027441	3.55020347251576	3.41955757122309
9	Ceftazidime	3.17886538012481	4.91478851610784	5.62418151491407	6.34223256556118	7.10391598883338	8.00292074197825	2.21680477111891	3.93220528395823	4.09719676905138	4.37446329501535	4.63010443779827	4.74590596844809	4.67150654186148	1.39496554687241	1.68264925268034	2.60300372720188	3.00186325066408	3.5585220930877	3.42525885088824	3.45261226380552	4.29590217319429	5.42831905142044	6.12338567011251	7.05589916778759	7.6080234995594	8.6662022601959	9.3600138974997	0.958476462550022	1.41821564207356	1.72436220814166	1.89041732932604	2.57623351197896	3.04250406968033	3.27188067372974	3.69577044556126	1.52584292866693	2.78319487972904	3.93407232080489	5.09231327080471	6.12964178822771	7.00236067668091	8.11085677651122	8.86892319829446	10.2702496685345	5.11335916109219	10.3327736570781	13.7802128266758	17.0213398506067	24.8773220283421	26.1669041291919	33.5024177574735	32.090779877486	38.1489383444673	43.5606354661854	1.10014684997262	2.40882461007083	4.08863422759148	4.34502764641418
10	Ceftazidime	3.19168190920695	4.86365049602594	5.52544021708391	6.232837155397	6.90134154765126	7.72179518178387	2.22176379630216	3.94711297121932	4.08691575191127	4.35784902036012	4.64411602373559	4.53985518563191	4.35251092032794	1.40057234802624	1.68692954017304	2.58693525550324	2.97271662239057	3.38535629637318	3.156810478671	3.46511948688712	4.29887266472185	5.38628542623537	6.0316518001513	6.95622706358356	7.42545032124612	8.35160093931017	8.85091674794912	0.960770056666582	1.42420031063783	1.73061324279959	1.88739697669504	2.55143816846332	3.00089850201493	3.21730490745047	3.52676433306626	1.52797112524855	2.78883750885943	3.94929172225332	5.09321029275593	6.06774000871522	6.87853966784074	7.97515391455158	8.60709411120118	9.92708625442901	5.12019130145433	10.3457728238869	13.7925692511309	17.2201731540776	25.0244266756068	26.0894683758139	33.3907024627064	32.2133719600784	37.3100990033442	40.9768532462585	1.10240293794355	2.40812555714929	4.0371666774507	4.2563091637623
