No.	NAME	G1u	G2u	G3u	E1u	E2u	E3u	L3m	G1m	G2m	G3m	E1m	E2m	E3m	L2v	P1v	P2v	G1v	G2v	G3v	E1v	E2v	E3v	G1e	G2e	G3e	E2e	E3e	L3p	G1p	G2p	G3p	E1p	E2p	E3p	L1i	G1i	G2i	G3i	L1s	L2s	P1s	P2s	G1s	G2s	G3s	E1s	E2s	E3s	Tu	Ts	Ae	Gu	Gm	Du	Dm	Dv	Dp	Ds
1	Ceftriaxone	0.149243936527412	0.194295664666336	0.175956633401682	0.49996652835585	0.444368604580756	0.360545233282827	1.36087392986575	0.149243936527412	0.184911354482311	0.194295664666336	0.500062615411189	0.352688425998951	0.0864904286933919	2.63290200112148	0.865083614710687	0.0838373091279864	0.15871993279114	0.167299752740038	0.15871993279114	0.47754993231497	0.329665398930599	0.169105978148085	0.15871993279114	0.167299752740038	0.167299752740038	0.463559828629023	0.332785557780684	1.56906624815126	0.15871993279114	0.15871993279114	0.15871993279114	0.454814620529377	0.316686982556142	0.21093380847045	28.241081630745	0.149243936527412	0.175956633401682	0.149243936527412	30.32216903978	3.70869759212046	0.846369843153561	0.103519302831832	0.149243936527412	0.15871993279114	0.149243936527412	0.593869098430696	0.68359751562782	0.119649220544606	32.8706667483247	35.8261453725715	150.850816108945	0.172155862548666	0.175028106803877	0.434960122073144	0.313080490034511	0.325440436464551	0.327478470518656	0.465705278201041
2	Nocardicin B	0.15342793062519	0.168094042296078	0.195861716167177	0.615143196964979	0.415885347695707	0.404049873184142	2.06880223999348	0.145293020839243	0.15342793062519	0.171826098800454	0.586758366695931	0.375770440263968	0.44975035321404	4.92049336250971	0.762922935763489	0.174041799174733	0.15342793062519	0.164409908504672	0.183433550304491	0.596826173928875	0.326296165095047	0.3539210664365	0.145293020839243	0.160756461920877	0.145293020839243	0.427865803341537	0.45573828099717	1.63607900543343	0.145293020839243	0.160756461920877	0.15342793062519	0.600301651744699	0.315474596731244	0.30181220271189	21.8499588676918	0.145293020839243	0.145293020839243	0.183433550304491	22.3596662770246	6.1013229354591	0.715889616094951	0.19534610578805	0.145293020839243	0.145293020839243	0.168094042296078	0.641975752690427	0.516661413602427	0.762810063005637	29.4346383868658	31.233399359796	180.297982552623	0.171580831469497	0.156463402478823	0.478359472614942	0.47075972005798	0.425681135153474	0.405862817062611	0.640482409766164
3	BL-S217	0.18637866334394	0.162305632647406	0.167059190487993	0.524486248887336	0.470914617399214	0.35531505973656	1.35703887221887	0.151861153330863	0.151861153330863	0.18637866334394	0.37695898558959	0.348582098777228	0.46320300320437	4.49464995753844	0.751040401996473	0.198882547790175	0.157424392613738	0.151861153330863	0.151861153330863	0.435831721616996	0.366959756143901	0.322771724261863	0.157424392613738	0.151861153330863	0.191449544252692	0.476610547654068	0.398414358437506	1.12701889859688	0.167059190487993	0.151861153330863	0.18637866334394	0.455330202645876	0.350118240102967	0.299276827368913	18.7448927963739	0.157424392613738	0.162305632647406	0.176575614695628	17.4405111217568	5.76817153111716	0.708263815142748	0.234246986599513	0.162305632647406	0.151861153330863	0.162305632647406	0.471087307387684	0.661506933071695	0.448905641360509	24.8990579348134	24.624314766443	123.206439252275	0.171606362488635	0.162591009239754	0.450238642007703	0.396248029190396	0.375187734007587	0.368241756705918	0.527166627273296
4	Nocardicin B	0.168094042296078	0.168094042296078	0.240475595824146	0.597007416108932	0.410386305151841	0.401594142948301	1.91083817393092	0.145293020839243	0.145293020839243	0.183433550304491	0.544829418694014	0.375970172619862	0.434208324743786	4.66050484717638	0.782153432528268	0.160728129779745	0.15342793062519	0.145293020839243	0.168094042296078	0.561206712844022	0.321652983075508	0.346406928228052	0.15342793062519	0.145293020839243	0.157109203807349	0.423745845993813	0.45043082885932	1.52589909664301	0.15342793062519	0.168094042296078	0.160756461920877	0.569346479365547	0.309119994864696	0.298443594032076	23.3595577543038	0.145293020839243	0.160756461920877	0.15342793062519	23.5349332129639	5.80791440779044	0.73752636724553	0.182005615894043	0.145293020839243	0.164409908504672	0.175619463586292	0.606490970408319	0.522484642281023	0.746954526740287	30.4632869223614	31.9106329728397	179.387356659191	0.189405193810324	0.157032457112408	0.469662621403025	0.451669305352554	0.409755541382528	0.39230335608744	0.625310046476543
5	Ceftazidime	0.176810292561781	0.176810292561781	0.193210384650215	0.542067894094269	0.278634536282096	0.419011848041815	0.72038982872391	0.154119655430091	0.161605331748219	0.172926481959364	0.357321738405528	0.31828318183583	0.114434675043869	4.30066692020172	0.81902401564471	0.149363079980106	0.161605331748219	0.154119655430091	0.154119655430091	0.452478526938934	0.240602114630869	0.209169237201886	0.154119655430091	0.161605331748219	0.172926481959364	0.291213469078917	0.382815217650626	1.01481259540362	0.154119655430091	0.169107598406957	0.172926481959364	0.462804051346821	0.239121348420241	0.268323759040912	25.9654178568605	0.145815510528605	0.154119655430091	0.169107598406957	24.132300774218	5.78831745126621	0.782219498867914	0.187621346939911	0.145815510528605	0.145815510528605	0.161605331748219	0.475919126330832	0.404907297933222	0.188563870459555	31.7548249127467	30.8510601041576	157.609943269754	0.182116173603333	0.162701568695566	0.41323809280606	0.263346531761742	0.300749959590563	0.323416386269325	0.356463431574537
6	Cefoperazone	0.158727210943729	0.161703398979304	0.183855947724602	0.437861854106837	0.402743010885872	0.46655868696751	3.03387429310022	0.140266559431459	0.140266559431459	0.152833239942985	0.38146336000538	0.231151527674753	0.411227816442975	8.78457562686555	0.609556105429086	0.29634542052109	0.140266559431459	0.161703398979304	0.152833239942985	0.388172892335341	0.298527683002174	0.39053163880966	0.140266559431459	0.155774809815021	0.152833239942985	0.384988860110321	0.477853980833011	2.79206179881031	0.140266559431459	0.146894437815906	0.158727210943729	0.400930794981977	0.318995462122492	0.398079481035887	19.4840515301444	0.140266559431459	0.146894437815906	0.170863634131134	17.4942260725134	9.22354715767342	0.583107246337607	0.30743384487447	0.146894437815906	0.146894437815906	0.149883625882059	0.362710767317972	0.33530200404139	0.517551436700337	32.3153591222551	30.0017298402508	276.532281801598	0.167732056833454	0.144336234003312	0.435721183986739	0.34128090137437	0.359077404715725	0.372668579380119	0.405188069353233
7	SCE-796	0.173513459530581	0.165276697243779	0.210173941383609	0.552751253733551	0.542540947995056	0.43511450124807	2.03973959336795	0.15709347966205	0.148040955482933	0.165276697243779	0.445668000873956	0.461655694545482	0.46007717051566	6.51593413824413	0.523270227657708	0.374099682843953	0.15709347966205	0.15709347966205	0.165276697243779	0.482602177230376	0.480917440526224	0.349067508044867	0.173513459530581	0.165276697243779	0.15709347966205	0.545229617828116	0.479010638759466	1.70800188748297	0.15709347966205	0.148040955482933	0.15709347966205	0.480495157664522	0.468530791052686	0.316113633834635	10.1732771681295	0.148040955482933	0.148040955482933	0.165276697243779	10.3436910078028	7.52812498329279	0.502554157966394	0.365758268416036	0.148040955482933	0.15709347966205	0.15709347966205	0.589073832547052	0.603909484865451	0.736316883082545	18.9128299547531	20.5822414238079	105.362790065274	0.181987358369977	0.156645246889336	0.510135567658892	0.455800288645033	0.437529041933822	0.421713194183948	0.643100066831683
8	Imipenem	0.202466690935849	0.217138035311194	0.175428647161764	0.532246090677926	0.334998133286791	0.399194131854113	0.720008715278897	0.161044771756444	0.175428647161764	0.195493214254987	0.352138343645585	0.506953346461473	0.232188396616029	2.98380796970769	0.729421936282578	0.216121821152142	0.161044771756444	0.16869490542591	0.161044771756444	0.390557745955082	0.363338867346471	0.25161779584381	0.161044771756444	0.16869490542591	0.161044771756444	0.381814559959977	0.367457437335534	0.847587432564672	0.161044771756444	0.175428647161764	0.188704122661139	0.398848498333447	0.310049840827536	0.318495137565233	12.091569463078	0.175428647161764	0.195493214254987	0.161044771756444	11.7190196713738	4.76861506255391	0.683396229458366	0.27808243734313	0.161044771756444	0.175428647161764	0.161044771756444	0.531673071086619	0.877929412261404	0.171259517713647	15.5671964189627	17.1482065106824	49.3989337468636	0.197574094886516	0.176763643147604	0.422146118606277	0.363760028907695	0.335171469715121	0.342464492242072	0.52695400035389
9	Ceftazidime	0.145815510528605	0.154119655430091	0.184817816247775	0.534341979768082	0.354071496798749	0.387476493313467	0.834173534861341	0.154119655430091	0.169107598406957	0.169107598406957	0.398191340283505	0.341735163023858	0.118212085198435	3.86652255332996	0.824394347522465	0.138170760781225	0.145815510528605	0.154119655430091	0.169107598406957	0.46645699676706	0.295651468847403	0.198117068551851	0.145815510528605	0.154119655430091	0.154119655430091	0.35203242326943	0.356977673465014	1.12635359606024	0.154119655430091	0.16533980134339	0.176810292561781	0.469103763090095	0.341583067405558	0.234470462542707	24.8394145325457	0.154119655430091	0.157879020895831	0.154119655430091	24.3798189123078	4.31724128270866	0.816450135611843	0.144579098122713	0.154119655430091	0.154119655430091	0.172926481959364	0.522777081181174	0.36648131587729	0.225333712520142	30.4650671449168	29.8607567675124	143.311364925691	0.160744157039164	0.163956293218442	0.425296656626766	0.286046196168599	0.320075178055438	0.34838576434612	0.371530703192869
10	Ceftazidime	0.172926481959364	0.184817816247775	0.193210384650215	0.574364839993108	0.443794994560014	0.463215341212418	3.53028920741594	0.154119655430091	0.161605331748219	0.154119655430091	0.452561257789483	0.371795076104319	0.305580158861729	5.0887456340787	0.597053190465623	0.238308239726056	0.154119655430091	0.145815510528605	0.161605331748219	0.506281571147431	0.339215534053668	0.443572675105517	0.145815510528605	0.169107598406957	0.154119655430091	0.410840619914477	0.494275341547137	3.42247262078844	0.145815510528605	0.154119655430091	0.154119655430091	0.504229944268117	0.389422314449389	0.431503870230228	13.7284797359326	0.15024079880534	0.145815510528605	0.161605331748219	14.189463860802	5.77290544417199	0.59298398933558	0.241252279432403	0.154119655430091	0.154119655430091	0.145815510528605	0.610101638376047	0.446159967845571	0.321432136385167	22.9211724419382	23.9289156469484	146.881716638185	0.183461638800399	0.156575538716057	0.49379172525518	0.376645497585177	0.429689926768872	0.441718709649245	0.459231247535595
