No.	NAME	nCIR	Rperim	Rbrid	MCD	NRS	NNRS	nR04	nR05	nR06	nR07	nR08	nBnz	ARR	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr08
1	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
2	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
3	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
4	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
5	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
6	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
7	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
8	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
9	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
10	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
11	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
12	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
13	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
14	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
15	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
16	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
17	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
18	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
19	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
20	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
21	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
22	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
23	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
24	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
25	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
26	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
27	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
28	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
29	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
30	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
31	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
32	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
33	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
34	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
35	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
36	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
37	Ceftriaxone	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	0	0.128205128205128	76.693808968809	114.739874797807	245.173871458779	155.269178044178
38	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
39	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
40	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
41	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
42	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
43	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
44	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
45	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
46	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
47	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
48	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
49	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
50	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
51	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
52	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
53	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
54	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
55	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
56	Ceftazidime	5	19	1	0.513513513513513	3	0.75	1	1	2	0	1	0	0.275	79.4706321456322	120.041180053177	255.660299276747	163.511913086913
57	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
58	Aztreonam	2	9	0	0.321428571428571	2	1	1	1	0	0	0	0	0.172413793103448	84.4721861471861	97.4690476190476	0	0
59	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
60	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
61	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
62	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
63	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
64	Cefoxitin	4	13	1	0.464285714285714	2	0.666666666666667	1	1	1	0	1	0	0.166666666666667	55.7231934731935	87.5689189895072	84.2208125208125	115.519802419802
65	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
66	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
67	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
68	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
69	Cephalexin	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
70	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
71	Cefamandole	5	19	1	0.612903225806452	3	0.75	1	1	2	0	1	1	0.323529411764706	62.7565767565768	93.7874597280944	206.288511489632	127.998992673993
72	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
73	Nocardicin B	3	16	0	0.444444444444444	3	1	1	0	2	0	0	2	0.315789473684211	107.942091242091	0	303.674900520876	0
74	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
75	SCE-796	5	20	1	0.571428571428571	3	0.75	1	0	3	0	1	1	0.315789473684211	74.0855144855145	0	364.835907633818	150.407115107115
76	BL-S217	4	14	1	0.482758620689655	2	0.666666666666667	1	0	2	0	1	0	0.193548387096774	59.9694974959681	0	198.840223648041	123.931978479037
77	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
78	Cyclacillin	4	13	1	0.565217391304348	2	0.666666666666667	1	1	1	1	0	0	0	44.1790431790432	55.6591741591742	77.739849039849	0
79	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
80	Moxalactam	5	19	1	0.527777777777778	3	0.75	1	1	2	0	1	1	0.282051282051282	75.0388278388279	113.138033990433	247.562226663347	154.103948828949
81	Imipenem	3	7	1	0.35	1	0.5	1	1	0	1	0	0	0	40.0869408369408	48.8248196248196	0	0
82	Cefmetazole	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	61.6687090687091	91.6476095971452	90.826554001554	125.425815850816
83	Cefotaxime	4	13	1	0.433333333333333	2	0.666666666666667	1	1	1	0	1	0	0.15625	62.1015234765235	93.9816174022056	94.0620823620824	128.679079254079
84	Cefsulodin	5	20	1	0.555555555555556	3	0.75	1	0	3	0	1	1	0.307692307692308	76.7218781218781	0	377.905953764158	155.964690864691
85	Ofloxacin	8	18	3	0.730769230769231	2	0.5	0	0	4	0	0	1	0.206896551724138	0	0	210.135178804683	0
86	Cefuroxime	4	13	1	0.448275862068966	2	0.666666666666667	1	1	1	0	1	0	0.161290322580645	59.5169996669997	90.6816174022056	90.021423021423	123.230086580087
87	Cephaloglycin	4	14	1	0.5	2	0.666666666666667	1	0	2	0	1	1	0.2	56.2311244311244	0	186.48076109477	116.39272949273
88	Cefoperazone	6	25	1	0.568181818181818	4	0.8	1	1	3	0	1	1	0.229166666666667	96.7428138253216	143.742533572902	485.928798026356	199.343185031343
89	Cefaclor	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
90	Cefaclor	4	14	1	0.583333333333333	2	0.666666666666667	1	0	2	0	1	1	0.230769230769231	44.8081085581086	0	153.259998824705	95.4293095793096
