No.	NAME	SP01	SP04
1	Ceftriaxone	5.04244241194955	9.11173377239374
2	Nocardicin B	5.07413477003096	8.74590640006434
3	BL-S217	4.72580667521897	8.0982011754167
4	Nocardicin B	5.08108640312139	8.80694085437328
5	Ceftazidime	5.10059141518614	8.98113895728842
6	Cefoperazone	5.25036576757333	8.94741640907754
7	SCE-796	4.76206696202068	7.48628057997511
8	Imipenem	4.10971663408706	6.86604739318017
9	Ceftazidime	5.08727789303754	8.94579378969481
10	Ceftazidime	4.9679896274841	8.08515035520645
11	Cefoperazone	5.31060488499492	9.33012928271692
12	Cefsulodin	4.96509842922643	8.59631608767009
13	SCE-796	4.78117243019439	7.58657408252002
14	Cefsulodin	4.98860328043081	8.67036431726694
15	Cefsulodin	4.98829133583693	8.67536370326993
16	Imipenem	4.08397304882288	6.75182441195923
17	Ceftazidime	5.09913708530725	9.04167783839099
18	Cefsulodin	4.93595359666882	8.44129559335844
19	Cefsulodin	4.95845290035279	8.55124933263846
20	Nocardicin B	5.00473949857759	8.43809518378975
21	Imipenem	4.18635898320077	7.26009503301857
22	Imipenem	4.12930035065183	6.96046937268764
23	Imipenem	4.01660131984619	6.27468007962102
24	Imipenem	4.15739146485104	7.15209807626666
25	Imipenem	4.08351375992556	6.85978386148125
26	Cyclacillin	4.33651337649319	7.42503656616709
27	Imipenem	4.1610182690697	7.14577100013874
28	Ceftazidime	5.06810898520074	8.81596453695834
29	Ceftazidime	5.07558544844166	8.84139658082803
30	Cefoperazone	5.27002128584853	9.0505880537704
31	Ceftazidime	5.05941914300132	8.73108754430491
32	Cefoperazone	5.30343097762271	9.24863630425716
33	Ceftazidime	5.07503529148124	8.82772430981484
34	Imipenem	4.05872244705496	6.54044740109693
35	Cefoperazone	5.36687662239423	9.69235927800111
36	Ceftazidime	5.07073254442219	8.81064816448522
37	Ceftriaxone	4.82457723229225	7.85459983636231
38	Ceftazidime	5.08281413251885	8.94962677498049
39	Cefsulodin	5.0017244162493	8.74188501540131
40	Ceftazidime	5.08937934788793	8.97339383307889
41	Nocardicin B	5.03665364965994	8.53766381422927
42	Cyclacillin	4.25762559184507	6.97064691349081
43	Cefuroxime	4.64208477610843	7.69185017005581
44	Cefuroxime	4.63750619584712	7.65291868386763
45	Cefuroxime	4.6454676851429	7.68310079902569
46	Imipenem	4.05674394885683	6.54435246545597
47	Cefmetazole	4.90492690058823	8.68097299058938
48	Ceftazidime	5.08616152194016	8.95954436612811
49	Cefoperazone	5.28497268504761	9.11731576522892
50	Imipenem	4.15364723716753	7.16654122437305
51	Ofloxacin	4.35268066293908	7.41558112252232
52	Nocardicin B	5.11112914892391	9.00170547626886
53	SCE-796	4.75762257142655	7.46237525386779
54	Cefsulodin	4.99253858632675	8.72646479527564
55	SCE-796	4.89753552292198	8.44175063687495
56	Ceftazidime	5.05452640220062	8.71999775539853
57	Cefoperazone	5.31187349355443	9.31622114609981
58	Aztreonam	4.53640320100616	7.42365177407381
59	Imipenem	4.14945730671639	7.07766712696735
60	Moxalactam	4.86783107626845	7.92708082691397
61	SCE-796	4.74094374720648	7.41655296355318
62	Imipenem	4.03600473819592	6.44133425513764
63	Imipenem	4.0772978276978	6.6331053601678
64	Cefoxitin	4.65030010191476	7.73693876446787
65	Nocardicin B	5.19541452435315	9.56331882697335
66	Cefuroxime	4.72958722959109	8.23368140799825
67	Cefamandole	4.84246642139732	8.57000493205579
68	SCE-796	4.95027919957596	8.67136983285967
69	Cephalexin	4.39889643360179	7.68285725126339
70	Imipenem	4.17331777071453	7.19295863124184
71	Cefamandole	4.93399278765452	9.06333204566161
72	Moxalactam	4.9561037215761	8.41463008865202
73	Nocardicin B	5.05243783489163	8.59456664724332
74	Cefoperazone	5.27358188710741	9.05546192002637
75	SCE-796	4.95922512037633	8.75087517032228
76	BL-S217	4.70747220017007	8.02667898742335
77	Imipenem	4.12237564432729	6.89037300656832
78	Cyclacillin	4.30574638847502	7.2647467320487
79	Cefoperazone	5.26669747149001	9.01010034008653
80	Moxalactam	4.95725200753333	8.41766751005739
81	Imipenem	4.11739663912575	6.85572650822373
82	Cefmetazole	4.94872900194089	8.95098134262941
83	Cefotaxime	4.68574665280001	7.84843325451901
84	Cefsulodin	5.00556480006907	8.74064440967775
85	Ofloxacin	4.35328506891359	7.43170425291544
86	Cefuroxime	4.72668703411151	8.16191930847743
87	Cephaloglycin	4.74187821006761	8.57191144889436
88	Cefoperazone	5.27401989089195	9.05473829554433
89	Cefaclor	4.2970901304084	7.01748950967907
90	Cefaclor	4.28460075596792	6.93388974828361
91	Cefuroxime	4.72924371065348	8.19149993701996
92	Cephaloridine	4.74224089431219	8.38254077018979
93	Cefsulodin	4.99066321316988	8.68148282187683
94	Cefuroxime	4.67842846967648	7.8823000920229
95	Imipenem	4.06211823647995	6.5397872423715
96	BL-S217	4.71964347908513	8.09764117180996
97	Cephalosporin C	4.69400485647474	8.29610007253938
98	Ceftazidime	5.08996803955221	9.00497059938096
99	Imipenem	4.0693162633264	6.53338959880952
100	Cefotaxime	4.69240007567162	7.85006565724524
101	Cyclacillin	4.32202296451183	7.33140690501325
102	Cefoperazone	5.24166995270154	8.90565433767349
103	Cefsulodin	4.99284954556229	8.6880557999017
104	Cefmetazole	4.84732547412294	8.46207801247996
105	Ceftazidime	5.08718555057935	8.91857354854808
106	Imipenem	4.11725738647968	6.93751306836498
107	Nocardicin B	4.91825380057342	7.89537949897028
108	Cephalexin	4.39414445279445	7.68583573747253
109	Moxalactam	4.88513446414681	8.02971917596147
110	SCE-796	4.77100001514028	7.5192901206158
111	Cefuroxime	4.75130679852247	8.31017763539896
112	Cyclacillin	4.28711463742413	7.12541148889333
113	Cefuroxime	4.73077125246226	8.23063839680047
114	Cefuroxime	4.73221270204233	8.19365600228457
115	Cefaclor	4.33059210688501	7.26426668139892
116	Ceftriaxone	4.94477303672837	8.54171155331953
117	Cefuroxime	4.73990134052341	8.24548974547774
118	BL-S217	4.7747472746065	8.34344165703867
119	Ceftizoxime	4.40261261027533	7.25056636790632
120	Cyclacillin	4.33971649127733	7.41986672362933
121	Cephalexin	4.29153472816894	6.97737166411834
122	Nocardicin B	5.18840352911699	9.52732435890726
123	Cefamandole	4.91896924718299	8.9899396686832
124	Cefazolin	4.8518019320949	8.87857710553574
125	Cephalosporin C	4.53871354792948	7.45887063007779
126	Cefoxitin	4.67956405280548	7.97019903758715
127	Ceftazidime	5.08885981977535	8.9334689573628
128	Cyclacillin	4.30621390589802	7.20720215670165
129	Ceftriaxone	4.79068928649233	7.65599888776016
130	Cefuroxime	4.73962816703947	8.2531748606204
131	Cefuroxime	4.75955433340246	8.35594362503012
132	Imipenem	4.11520880226324	6.87123665003338
133	Ampicillin	4.36211583451889	7.46219210529899
134	Ceftazidime	5.04751802380544	8.64372656786354
135	Cefuroxime	4.74357784118866	8.28234912565874
136	Imipenem	4.10230150253273	6.80086016926131
137	Cephalosporin C	4.5243547009112	7.37123553439311
138	Ceftizoxime	4.39922747158892	7.24254734184479
139	Ceftriaxone	4.77753887668922	7.58599594635753
140	Cefazolin	4.6683287439293	7.77170994516932
141	Cephalosporin C	4.57675247845345	7.62663577621965
142	Imipenem	4.1075586102666	6.88675730750227
143	Cefacetrile	4.37257863717567	7.62340352985252
144	Nocardicin B	5.15085590847211	9.26102127337968
145	Cefuroxime	4.73041417936017	8.24513615301541
146	Aztreonam	4.54642988080499	7.40324704841127
147	Cefaclor	4.27048395099832	6.85594706446745
148	Aztreonam	4.5397941761199	7.43976634838245
149	LY097964	4.40206904631494	7.25543168207782
150	LY097964	4.43159558209553	7.38411506962522
151	Ceftazidime	5.07512108303994	8.89120601492842
152	Nocardicin B	5.00101931505383	8.36864454497059
153	Cefacetrile	4.41573962478096	7.83495449179188
154	Aztreonam	4.52734300013078	7.36002984150075
155	BL-S217	4.72513890422534	8.13071236369119
156	Ceftazidime	5.07015461354771	8.76879483668557
157	Cefuroxime	4.73703771850593	8.2373083505572
158	Cephaloglycin	4.5733116009115	7.50514822548588
159	Cefaclor	4.28081651125328	6.96726215790668
160	Cephaloglycin	4.56350890973304	7.44325812008555
161	Cyclacillin	4.34512269340771	7.43720726305269
162	Cephaloridine	4.7605024872559	8.46066776858364
163	Cefacetrile	4.35594984233701	7.4929301676825
164	Cephaloridine	4.74987187146425	8.40509330547856
165	Nocardicin B	5.07988924300843	8.7698636764748
166	SCE-796	4.706688649918	7.2370733194242
167	Cephalosporin C	4.65982673297255	8.10729532708678
168	Cefacetrile	4.3847586775482	7.6782094104495
169	Cefuroxime	4.73780841921501	8.23205199351361
170	Cyclacillin	4.3080431097295	7.26200727237818
171	Cephaloridine	4.73264146200696	8.33418000226038
172	Cefuroxime	4.69079545167665	7.94398091778653
173	Cefotaxime	4.77172354676926	8.39828118764908
174	Aztreonam	4.56653744838264	7.64294474338821
175	Ceftazidime	5.05104038930923	8.69548494950357
176	Moxalactam	4.8403499220893	7.69356317317564
177	Ceftriaxone	4.75346236495173	7.48309148750624
178	Cefuroxime	4.6763200900943	7.84621523993827
179	Cyclacillin	4.32944379907463	7.37073506030769
180	Ofloxacin	4.34474597550093	7.40451974753565
181	Ceftizoxime	4.38704620767284	7.18930846951872
182	SCE-796	4.93954170895899	8.62303073544948
183	Penicillin N	4.28637611351079	6.98472326518565
184	Ceftazidime	5.07637008494013	8.8750700251561
