No.	NAME	nCp	nCs	nCt	nCrs	nCrt	nCar	nCb-	nCconj	nR=Cs	nR=Ct	nRCOOR	nArCONH2	nRCONR2	nROCON	nCONN	nArCNO	nRNH2	nArNH2	nArNR2	nN+	nNq	nROH	nArOH	nOHs	nROR	nArOR	nRSR	nSO3	nFuranes	nThiophenes	nPyridines	nHBonds
1	Ceftriaxone	0	1	0	1	0	3	0	8	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
3	BL-S217	1	1	0	1	0	5	0	3	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0
4	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1
5	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
6	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2
7	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
8	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
9	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
10	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
11	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
12	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
13	SCE-796	0	1	1	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
14	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
15	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
16	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
17	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
18	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
19	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
20	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2
21	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
22	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
23	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
24	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
25	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
26	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2
27	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
28	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
29	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
30	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
31	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
32	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1
33	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
34	Imipenem	1	3	1	2	1	0	0	3	2	0	0	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
35	Cefoperazone	1	2	0	1	0	7	2	5	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0
36	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	1
37	Ceftriaxone	0	1	0	1	0	3	0	8	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
38	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
39	Cefsulodin	0	2	0	1	0	11	1	4	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
40	Ceftazidime	2	1	1	1	0	8	0	5	1	1	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0
41	Nocardicin B	0	4	0	1	0	12	4	2	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	2
42	Cyclacillin	2	7	2	7	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0
43	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
44	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
45	Cefuroxime	0	1	0	1	0	4	0	5	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
