No.	NAME	C-002	C-003	C-005	C-006	C-008	C-009	C-011	C-012	C-016	C-019	C-024	C-025	C-026	C-027	C-028	C-029	C-033	C-034	C-039	C-040	C-041	C-042	C-044	H-046	H-047	H-048	H-049	H-051	H-052	H-053	O-058	O-060	O-062	N-068	N-072	N-074	N-079
1	Ceftriaxone	0	0	2	2	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	5	1	0	1	0	11	2	0	0	0	0	5	1	1	1	2	2	0
2	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
3	BL-S217	0	0	1	3	1	1	0	0	0	1	2	0	1	2	0	0	0	0	0	4	0	0	0	0	12	1	2	3	0	0	4	1	1	0	2	0	0
4	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
5	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
6	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
7	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
8	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
9	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
10	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
11	Cefoperazone	0	0	1	5	2	1	0	0	0	1	4	1	1	0	0	0	0	0	0	5	1	0	1	0	19	1	0	0	3	0	6	0	1	0	5	0	0
12	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
13	SCE-796	0	1	0	2	1	1	0	0	0	1	7	2	0	2	0	0	0	0	0	5	0	0	0	0	12	1	2	1	0	0	5	0	2	0	3	0	0
14	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
15	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
16	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
17	Ceftazidime	0	0	0	2	1	1	1	0	0	1	3	0	0	2	1	0	1	0	1	4	0	0	1	0	8	2	2	0	6	0	4	1	2	0	2	1	0
18	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
19	Cefsulodin	0	0	0	2	2	1	0	0	0	1	7	2	0	2	0	0	0	0	0	4	0	0	0	0	13	1	2	0	0	0	6	0	2	0	3	0	0
20	Nocardicin B	1	0	0	2	3	0	0	0	0	0	8	2	2	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	2	4	2	2	0	2	1	1
21	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
22	Imipenem	1	1	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	1	1	3	2	2	0	1	0	1	0	1
