No.	NAME	G(N..N)	G(N..S)
1	Ceftriaxone	240.268844604492	173.075073242188
2	Nocardicin B	37.7073020935059	0
3	BL-S217	16.6669692993164	28.6945037841797
4	Nocardicin B	37.6805992126465	0
5	Ceftazidime	91.9350662231445	57.2442855834961
6	Cefoperazone	257.264556884766	111.909072875977
7	SCE-796	38.8617248535156	18.5663795471191
8	Imipenem	15.750524520874	12.9048910140991
9	Ceftazidime	81.5919952392578	56.0017623901367
10	Ceftazidime	77.7014617919922	54.8590316772461
11	Cefoperazone	289.896148681641	117.662864685059
12	Cefsulodin	38.9822654724121	55.4520645141602
13	SCE-796	39.514476776123	18.6896667480469
14	Cefsulodin	39.9369354248047	56.5543594360352
15	Cefsulodin	40.3283843994141	56.8566589355469
16	Imipenem	16.0087127685547	14.024510383606
17	Ceftazidime	83.7618637084961	56.4692916870117
18	Cefsulodin	39.3981246948242	55.7703895568848
19	Cefsulodin	39.7053375244141	56.0809631347656
20	Nocardicin B	44.7758827209473	0
21	Imipenem	18.3730564117432	13.1407699584961
22	Imipenem	15.6040983200073	13.7159309387207
23	Imipenem	12.5339097976685	11.5991163253784
24	Imipenem	16.939416885376	14.4676895141602
25	Imipenem	15.5348720550537	11.7309770584106
26	Cyclacillin	11.696702003479	12.645525932312
27	Imipenem	17.4348945617676	14.2797336578369
28	Ceftazidime	91.9951553344727	57.823299407959
29	Ceftazidime	83.6068954467773	57.6557312011719
30	Cefoperazone	264.674011230469	111.79264831543
31	Ceftazidime	87.3189315795898	56.1192932128906
32	Cefoperazone	282.678619384766	120.522964477539
33	Ceftazidime	91.4009170532227	57.402946472168
34	Imipenem	13.9131813049316	12.5466461181641
35	Cefoperazone	310.000213623047	130.958343505859
36	Ceftazidime	81.389892578125	56.3643035888672
37	Ceftriaxone	164.832061767578	140.02555847168
38	Ceftazidime	86.0483932495117	56.0078506469727
39	Cefsulodin	40.5814056396484	54.8427505493164
40	Ceftazidime	87.3403244018555	57.2438697814941
41	Nocardicin B	45.2824363708496	0
42	Cyclacillin	12.5000600814819	13.7035675048828
43	Cefuroxime	37.7124938964844	20.4744415283203
44	Cefuroxime	37.9051628112793	20.9703311920166
45	Cefuroxime	37.9307403564453	20.9802951812744
46	Imipenem	13.3175296783447	12.0225296020508
47	Cefmetazole	159.419418334961	150.634948730469
48	Ceftazidime	81.8928680419922	56.1772537231445
49	Cefoperazone	274.479248046875	117.578308105469
50	Imipenem	17.8199062347412	11.8057250976563
51	Ofloxacin	15.2795162200928	0
52	Nocardicin B	44.4523010253906	0
53	SCE-796	38.5671081542969	18.4761581420898
54	Cefsulodin	39.295726776123	57.0977325439453
55	SCE-796	38.3269195556641	19.5676937103271
56	Ceftazidime	87.7987060546875	55.7638702392578
57	Cefoperazone	281.392913818359	120.421569824219
58	Aztreonam	49.6763076782227	54.1631355285645
59	Imipenem	16.9829292297363	12.0363035202026
60	Moxalactam	48.1263084411621	25.0035438537598
61	SCE-796	37.9035491943359	17.7115440368652
62	Imipenem	12.7622470855713	11.7884693145752
63	Imipenem	14.8840532302856	12.9768667221069
64	Cefoxitin	18.1456356048584	36.2656021118164
65	Nocardicin B	46.7723197937012	0
66	Cefuroxime	39.503101348877	19.3043155670166
67	Cefamandole	62.1419715881348	54.2335510253906
68	SCE-796	39.6875686645508	20.0303058624268
69	Cephalexin	12.9556827545166	13.9481754302979
70	Imipenem	18.0258178710938	12.8906126022339
71	Cefamandole	79.6704177856445	63.3967247009277
72	Moxalactam	78.7818984985352	25.4407157897949
73	Nocardicin B	37.8984489440918	0
74	Cefoperazone	271.373840332031	113.272705078125
75	SCE-796	40.9472923278809	20.3062000274658
76	BL-S217	15.9278268814087	29.7907638549805
77	Imipenem	15.7800760269165	14.4698781967163
78	Cyclacillin	11.0223712921143	12.9408845901489
79	Cefoperazone	269.772186279297	114.81046295166
80	Moxalactam	78.8738403320313	25.3045616149902
81	Imipenem	15.6855001449585	14.4787969589233
82	Cefmetazole	166.819122314453	160.969329833984
83	Cefotaxime	45.9426078796387	47.9311065673828
84	Cefsulodin	38.9744033813477	54.8973617553711
85	Ofloxacin	15.1775484085083	0
86	Cefuroxime	41.4770317077637	19.8960456848145
87	Cephaloglycin	12.54345703125	13.6469850540161
88	Cefoperazone	270.974945068359	113.072875976563
89	Cefaclor	12.3711729049683	13.8352336883545
90	Cefaclor	13.4831619262695	14.3811254501343
91	Cefuroxime	36.9068908691406	19.0601139068604
92	Cephaloridine	15.6532955169678	31.9855537414551
93	Cefsulodin	40.0860862731934	55.5148429870605
94	Cefuroxime	37.5644760131836	19.5024127960205
95	Imipenem	13.2551736831665	12.0549097061157
96	BL-S217	16.0114116668701	30.1142158508301
97	Cephalosporin C	18.2001266479492	14.0615825653076
98	Ceftazidime	83.654411315918	55.7404861450195
99	Imipenem	15.043833732605	12.8823881149292
100	Cefotaxime	46.0177536010742	47.547737121582
101	Cyclacillin	11.5592479705811	12.7626028060913
102	Cefoperazone	263.642822265625	110.06982421875
103	Cefsulodin	40.3787269592285	54.5597038269043
104	Cefmetazole	132.947723388672	135.304290771484
105	Ceftazidime	85.0094451904297	56.8142280578613
106	Imipenem	15.6997575759888	11.255410194397
107	Nocardicin B	39.9154243469238	0
108	Cephalexin	12.5280351638794	13.8548316955566
109	Moxalactam	62.7334403991699	25.4291095733643
110	SCE-796	38.1156806945801	19.2866878509521
111	Cefuroxime	37.5373191833496	19.0548915863037
112	Cyclacillin	11.9059648513794	12.7660341262817
113	Cefuroxime	41.5650062561035	19.6645793914795
114	Cefuroxime	41.2201499938965	19.9884300231934
115	Cefaclor	12.8969249725342	13.6666898727417
116	Ceftriaxone	190.952728271484	146.770751953125
117	Cefuroxime	40.9098510742188	20.0679340362549
118	BL-S217	20.9489974975586	31.0245418548584
119	Ceftizoxime	47.7675628662109	51.2247657775879
120	Cyclacillin	12.1343832015991	13.2030258178711
121	Cephalexin	12.3305597305298	12.8222751617432
122	Nocardicin B	46.6124076843262	0
123	Cefamandole	79.6496276855469	62.9415664672852
124	Cefazolin	203.609436035156	199.696228027344
125	Cephalosporin C	13.9915132522583	10.7624168395996
126	Cefoxitin	19.7256240844727	36.4778861999512
127	Ceftazidime	81.2968368530273	55.3501052856445
128	Cyclacillin	12.0322332382202	12.9292573928833
129	Ceftriaxone	163.402236938477	128.509841918945
130	Cefuroxime	41.2424011230469	20.0545692443848
131	Cefuroxime	38.3522567749023	19.0049800872803
132	Imipenem	15.6549577713013	13.0141363143921
133	Ampicillin	13.1882781982422	14.0732202529907
134	Ceftazidime	83.7932815551758	57.7671241760254
135	Cefuroxime	40.1841354370117	19.7187042236328
136	Imipenem	14.7845726013184	13.6914882659912
137	Cephalosporin C	13.9092998504639	10.9665689468384
138	Ceftizoxime	44.0195350646973	49.3924827575684
139	Ceftriaxone	145.831253051758	128.310119628906
140	Cefazolin	167.143127441406	143.840179443359
141	Cephalosporin C	16.0665473937988	12.4661989212036
142	Imipenem	15.7892904281616	12.8833456039429
143	Cefacetrile	15.2868480682373	13.4392156600952
144	Nocardicin B	42.0023765563965	0
145	Cefuroxime	40.332836151123	19.2699222564697
146	Aztreonam	46.669002532959	49.7865829467773
147	Cefaclor	13.4341592788696	14.262020111084
148	Aztreonam	48.3826332092285	52.1633148193359
149	LY097964	43.2844772338867	48.5736846923828
150	LY097964	47.7032318115234	52.216480255127
151	Ceftazidime	84.5870056152344	55.7663955688477
152	Nocardicin B	36.3778381347656	0
153	Cefacetrile	15.5332069396973	13.5075387954712
154	Aztreonam	43.8860740661621	46.0235748291016
155	BL-S217	15.9721240997314	29.6422080993652
156	Ceftazidime	97.9559783935547	63.978443145752
157	Cefuroxime	41.143669128418	19.7252635955811
158	Cephaloglycin	12.2399311065674	13.0427827835083
159	Cefaclor	13.5969820022583	14.1735963821411
160	Cephaloglycin	12.3167171478271	12.9981708526611
161	Cyclacillin	12.9873857498169	13.6975355148315
162	Cephaloridine	15.7054500579834	33.3695602416992
163	Cefacetrile	14.6367206573486	12.7387638092041
164	Cephaloridine	15.7914123535156	32.3196334838867
165	Nocardicin B	39.012149810791	0
166	SCE-796	37.2136306762695	19.0552864074707
167	Cephalosporin C	18.0394420623779	13.6725540161133
168	Cefacetrile	15.5284538269043	13.4141874313354
169	Cefuroxime	40.9526596069336	19.4765338897705
170	Cyclacillin	11.926609992981	13.3869876861572
171	Cephaloridine	15.4675416946411	34.3915939331055
172	Cefuroxime	40.2086601257324	20.8397426605225
173	Cefotaxime	49.9575653076172	56.0322151184082
174	Aztreonam	48.5122718811035	51.0343246459961
175	Ceftazidime	81.5981979370117	57.5790748596191
176	Moxalactam	50.2938575744629	24.7477569580078
177	Ceftriaxone	142.15837097168	122.589721679688
178	Cefuroxime	37.0498008728027	19.0711402893066
179	Cyclacillin	11.7345533370972	12.7237548828125
180	Ofloxacin	15.4921312332153	0
181	Ceftizoxime	43.4345321655273	49.1607284545898
182	SCE-796	39.7261047363281	19.8132381439209
183	Penicillin N	17.7558250427246	14.5136871337891
184	Ceftazidime	83.7621231079102	57.1079559326172
185	Cefazolin	152.435791015625	139.208038330078
186	Ofloxacin	15.07142162323	0
187	Cefotaxime	49.570556640625	55.9740142822266
188	Cefmetazole	102.165191650391	119.613052368164
189	Cefuroxime	40.9198608398438	19.6057014465332
190	Cefazolin	207.964050292969	198.942596435547
191	SCE-796	38.616756439209	19.3056564331055
192	Cephalosporin C	18.4385814666748	13.9181118011475
193	Ceftriaxone	199.622650146484	153.249145507813
194	Nocardicin B	45.9205513000488	0
195	Ceftriaxone	161.756164550781	137.885101318359
196	Aztreonam	47.3316078186035	48.4877319335938
197	Imipenem	17.1077785491943	12.9318361282349
198	Penicillin N	18.5360107421875	14.6278114318848
199	Ceftriaxone	181.148651123047	144.477508544922
200	Cephaloglycin	12.8887224197388	13.9251346588135
201	LY097964	51.0811195373535	56.3359222412109
202	Cefacetrile	14.6394014358521	12.251654624939
203	Ampicillin	11.7892112731934	13.2340822219849
204	Ceftriaxone	145.575836181641	127.158889770508
205	Cyclacillin	11.5462379455566	12.8664894104004
206	Cefoperazone	271.464691162109	115.61116027832
207	Cefazolin	210.381042480469	200.889617919922
208	Cefacetrile	15.4629936218262	13.3732242584229
209	Cephalosporin C	11.5020780563354	9.29104328155518
210	SCE-796	40.2322158813477	20.0672264099121
211	Ceftizoxime	43.5147666931152	48.1542358398438
212	Cefotaxime	46.5111427307129	50.9242935180664
213	Ofloxacin	15.1629362106323	0
214	Cefamandole	81.580322265625	60.9454956054688
215	Cefazolin	189.485290527344	192.5576171875
216	Imipenem	15.1993837356567	12.9113206863403
217	LY097964	48.5090560913086	51.4574966430664
218	Aztreonam	50.934440612793	55.4814758300781
219	Cephalothin	3.30713653564453	16.9006538391113
220	Cefazolin	213.685592651367	197.219085693359
221	Aztreonam	46.7947463989258	50.1458129882813
222	Cefacetrile	15.4377269744873	13.534873008728
223	Ofloxacin	15.0575561523438	0
224	Cyclacillin	11.6503086090088	12.500020980835
225	Cefamandole	81.1964263916016	61.0030746459961
226	LY097964	48.5314178466797	51.4217720031738
227	Sulbenicillin	3.11717891693115	16.0629081726074
228	Ceftizoxime	47.5161323547363	51.3214378356934
229	Cefoperazone	285.94873046875	124.709945678711
230	Ceftizoxime	43.4540252685547	47.8582153320313
231	Ceftazidime	81.0695724487305	56.6906890869141
232	Aztreonam	45.3739395141602	49.7862358093262
233	Cephalexin	12.3093357086182	13.0106134414673
234	Aztreonam	45.6925621032715	49.5277557373047
235	Cephaloridine	15.2182235717773	35.0667266845703
236	Cyclacillin	13.0290298461914	13.6977376937866
237	Ceftriaxone	177.090194702148	140.623001098633
238	Imipenem	16.4484786987305	13.6371803283691
239	Cephalosporin C	16.6729564666748	13.6420850753784
240	Ceftriaxone	178.6416015625	131.489776611328
241	Cephaloridine	15.2150058746338	32.7459716796875
242	Imipenem	16.4046459197998	10.3753719329834
243	LY097964	44.520866394043	48.5120697021484
244	Cefmetazole	138.98567199707	140.366012573242
245	Aztreonam	44.8109970092773	46.1931533813477
246	Ceftriaxone	167.893966674805	134.15119934082
247	Cephaloglycin	13.5317220687866	14.130482673645
248	Ofloxacin	15.3825674057007	0
249	SCE-796	38.7997970581055	19.5758800506592
250	Cefamandole	60.3946533203125	53.1739273071289
251	Imipenem	14.5874061584473	12.6147775650024
252	Ceftizoxime	50.3124351501465	51.937572479248
253	Cefazolin	158.278915405273	134.277084350586
254	Aztreonam	48.3407821655273	50.4961395263672
255	Ceftriaxone	190.734512329102	139.309341430664
256	Ofloxacin	15.3660459518433	0
257	BL-S217	20.91965675354	32.5024185180664
258	LY097964	43.2920379638672	47.352897644043
259	Cefacetrile	14.6546783447266	11.987585067749
260	Ceftriaxone	144.857513427734	127.215614318848
261	LY097964	46.9124221801758	49.6333541870117
262	Nocardicin B	49.9416770935059	0
263	Cefacetrile	15.4779167175293	13.3403692245483
264	Cefuroxime	39.9872283935547	20.1067085266113
265	Penicillin N	18.9373664855957	15.0007238388062
266	Penicillin N	16.5007305145264	13.3639421463013
267	Cefuroxime	42.014820098877	20.2227268218994
268	Cephaloridine	15.6604862213135	32.5505447387695
269	Cefoxitin	18.0897884368896	35.6313819885254
270	Cefoxitin	18.364709854126	34.9950981140137
271	LY097964	44.5165672302246	48.6127319335938
272	Nocardicin B	48.1505851745605	0
273	Ceftizoxime	44.0078582763672	47.2786636352539
274	Piperacillin	55.1825752258301	27.9600296020508
275	Aztreonam	48.8073272705078	52.8225402832031
276	Cefoxitin	18.2640724182129	35.0368919372559
277	Ceftriaxone	169.068923950195	135.333435058594
278	Cefacetrile	15.1996841430664	13.5720014572144
279	Cephalosporin C	13.8474264144897	9.72821426391602
280	Cyclacillin	11.7802000045776	12.6193208694458
281	Cefazolin	216.408981323242	196.701904296875
282	Cephalosporin C	18.5446491241455	14.4477767944336
283	Ceftazidime	93.2090377807617	62.6634063720703
284	LY097964	45.3643455505371	48.1090469360352
