No.	NAME	Ro5	DLS_01	DLS_02	DLS_04	DLS_05	DLS_07	DLS_cons	LLS_01	LLS_02	QEDu
1	Ceftriaxone	1	0.5	0.666666666666667	0.6	0.5	0.5	0.561904761904762	0.333333333333333	0.75	0.111893746235619
2	Nocardicin B	1	0.5	0.166666666666667	0.7	0.5	0	0.385714285714286	0.166666666666667	0.625	0.104548140203606
3	BL-S217	0	1	0.833333333333333	1	1	1	0.952380952380952	0.333333333333333	0.875	0.242974326103868
4	Nocardicin B	1	0.5	0.166666666666667	0.7	0.5	0	0.385714285714286	0.166666666666667	0.625	0.104548140203606
5	Ceftazidime	1	0.5	0.666666666666667	0.6	0.5	0.5	0.538095238095238	0.333333333333333	0.75	0.116624956464381
6	Cefoperazone	1	0.5	0.666666666666667	0.6	1	0.5	0.609523809523809	0.333333333333333	0.625	0.100397975446144
7	SCE-796	0	0.75	0.666666666666667	0.5	0	0.5	0.55952380952381	0.333333333333333	0.75	0.182788404874605
8	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
9	Ceftazidime	1	0.5	0.666666666666667	0.6	0.5	0.5	0.538095238095238	0.333333333333333	0.75	0.116624956464381
10	Ceftazidime	1	0.5	0.666666666666667	0.6	0.5	0.5	0.538095238095238	0.333333333333333	0.75	0.116624956464381
11	Cefoperazone	1	0.5	0.666666666666667	0.6	1	0.5	0.609523809523809	0.333333333333333	0.625	0.100397975446144
12	Cefsulodin	1	0.5	0.666666666666667	0.2	0	0.5	0.433333333333333	0.333333333333333	0.75	0.161465736422639
13	SCE-796	0	0.75	0.666666666666667	0.5	0	0.5	0.55952380952381	0.333333333333333	0.75	0.182788404874605
14	Cefsulodin	1	0.5	0.666666666666667	0.2	0	0.5	0.433333333333333	0.333333333333333	0.75	0.161465736422639
15	Cefsulodin	1	0.5	0.666666666666667	0.2	0	0.5	0.433333333333333	0.333333333333333	0.75	0.161465736422639
16	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
17	Ceftazidime	1	0.5	0.666666666666667	0.6	0.5	0.5	0.538095238095238	0.333333333333333	0.75	0.116624956464381
18	Cefsulodin	1	0.5	0.666666666666667	0.2	0	0.5	0.433333333333333	0.333333333333333	0.75	0.161465736422639
19	Cefsulodin	1	0.5	0.666666666666667	0.2	0	0.5	0.433333333333333	0.333333333333333	0.75	0.161465736422639
20	Nocardicin B	1	0.5	0.166666666666667	0.7	0.5	0	0.385714285714286	0.166666666666667	0.625	0.104548140203606
21	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
22	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
23	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
24	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
25	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
26	Cyclacillin	0	1	0.833333333333333	0.9	1	1	0.938095238095238	0.333333333333333	1	0.527545550420276
27	Imipenem	0	1	1	1	1	1	0.976190476190476	0.333333333333333	1	0.259571422355835
28	Ceftazidime	1	0.5	0.666666666666667	0.6	0.5	0.5	0.538095238095238	0.333333333333333	0.75	0.116624956464381
29	Ceftazidime	1	0.5	0.666666666666667	0.6	0.5	0.5	0.538095238095238	0.333333333333333	0.75	0.116624956464381
