No.	NAME	ZM1Kup	DBI	HNar	Ram	BLI	PJI2	MDDD	ICR	MaxDD	PW2	PW3	PW4	PW5	Psi_i_A	Psi_i_t	Psi_e_1	LOC
1	Ceftriaxone	834.087436817761	4.47213595499958	1.8	15	0.98058004088537	1	43.6296296296296	3.228972140861	23	0.592427248677249	0.357889457225113	0.194614512457558	0.10643404468634	2.875	1.1743405646713E-7	6.12781267757249	1.01888055571581
2	Nocardicin B	766.692678347923	5.1478150704935	1.77049180327869	13	0.857562972312702	0.909090909090909	51.1388888888889	3.40925616851859	22	0.585251322751323	0.343577176368714	0.166423707562747	0.0863593969434399	2.98611111111111	8.58875040841656E-8	6.06827885720991	1.51679201414931
3	BL-S217	586.682723362846	4.24264068711928	1.79381443298969	11	1.04496112125543	0.888888888888889	33.9881093935791	3.09957691031064	20	0.586535303776683	0.328042349866306	0.174004818272486	0.106854197546313	2.74137931034483	6.07214157265253E-6	4.8109019380034	1.26359612024578
4	Nocardicin B	766.692678347923	5.1478150704935	1.77049180327869	13	0.857562972312702	0.909090909090909	51.1388888888889	3.40925616851859	22	0.585251322751323	0.343577176368714	0.166423707562747	0.0863593969434399	2.98611111111111	8.58875040841656E-8	6.06827885720991	1.51679201414931
5	Ceftazidime	781.258553256524	5.1478150704935	1.79757085020243	15	0.960703598352726	0.888888888888889	43.8802045288532	3.12854205590757	21	0.599581724581725	0.350477085229407	0.172442764917193	0.0936065339357804	2.79954954954955	1.25705646873367E-7	6.38915833568376	1.28682366139063
6	Cefoperazone	920.43859974037	4.89897948556636	1.83333333333333	18	0.954406066960706	1	58.9173553719008	3.33765329053977	26	0.59469696969697	0.365339239832626	0.19164122460705	0.0982594207864596	2.78409090909091	8.3803770238543E-9	7.69794916740144	0.812575683941165
7	SCE-796	723.107924898852	4.63680924774785	1.82608695652174	14	0.910675657076675	1	41.2897959183673	3.26872828898029	22	0.591496598639456	0.3517529212642	0.193026033910716	0.100952730644857	2.8952380952381	2.4720222499994E-7	6.15455267561303	0.937043105747889
8	Imipenem	374.724120579123	3.74165738677394	1.71428571428571	8	1.05837835001168	0.833333333333333	17.2	2.528212945841	14	0.575059523809524	0.340979437229437	0.196981284796778	0.106603531577676	2.825	0.000231642801998911	3.32734620571004	2.01211654109663
9	Ceftazidime	781.258553256524	5.1478150704935	1.79757085020243	15	0.960703598352726	0.888888888888889	43.8802045288532	3.12854205590757	21	0.599581724581725	0.350477085229407	0.172442764917193	0.0936065339357804	2.79954954954955	1.25705646873367E-7	6.38915833568376	1.28682366139063
10	Ceftazidime	781.258553256524	5.1478150704935	1.79757085020243	15	0.960703598352726	0.888888888888889	43.8802045288532	3.12854205590757	21	0.599581724581725	0.350477085229407	0.172442764917193	0.0936065339357804	2.79954954954955	1.25705646873367E-7	6.38915833568376	1.28682366139063
11	Cefoperazone	920.43859974037	4.89897948556636	1.83333333333333	18	0.954406066960706	1	58.9173553719008	3.33765329053977	26	0.59469696969697	0.365339239832626	0.19164122460705	0.0982594207864596	2.78409090909091	8.3803770238543E-9	7.69794916740144	0.812575683941165
12	Cefsulodin	773.7038702522	4.94974746830583	1.79253112033195	15	1.00180463879841	1	42.3888888888889	3.25271527897971	22	0.599603174603175	0.346861946532999	0.18981247627394	0.0990474557544207	2.98842592592593	1.25985927303598E-7	7.77673032180054	0.942355902877938
13	SCE-796	723.107924898852	4.63680924774785	1.82608695652174	14	0.910675657076675	1	41.2897959183673	3.26872828898029	22	0.591496598639456	0.3517529212642	0.193026033910716	0.100952730644857	2.8952380952381	2.4720222499994E-7	6.15455267561303	0.937043105747889
14	Cefsulodin	773.7038702522	4.94974746830583	1.79253112033195	15	1.00180463879841	1	42.3888888888889	3.25271527897971	22	0.599603174603175	0.346861946532999	0.18981247627394	0.0990474557544207	2.98842592592593	1.25985927303598E-7	7.77673032180054	0.942355902877938
15	Cefsulodin	773.7038702522	4.94974746830583	1.79253112033195	15	1.00180463879841	1	42.3888888888889	3.25271527897971	22	0.599603174603175	0.346861946532999	0.18981247627394	0.0990474557544207	2.98842592592593	1.25985927303598E-7	7.77673032180054	0.942355902877938
16	Imipenem	374.724120579123	3.74165738677394	1.71428571428571	8	1.05837835001168	0.833333333333333	17.2	2.528212945841	14	0.575059523809524	0.340979437229437	0.196981284796778	0.106603531577676	2.825	0.000231642801998911	3.32734620571004	2.01211654109663
17	Ceftazidime	781.258553256524	5.1478150704935	1.79757085020243	15	0.960703598352726	0.888888888888889	43.8802045288532	3.12854205590757	21	0.599581724581725	0.350477085229407	0.172442764917193	0.0936065339357804	2.79954954954955	1.25705646873367E-7	6.38915833568376	1.28682366139063
18	Cefsulodin	773.7038702522	4.94974746830583	1.79253112033195	15	1.00180463879841	1	42.3888888888889	3.25271527897971	22	0.599603174603175	0.346861946532999	0.18981247627394	0.0990474557544207	2.98842592592593	1.25985927303598E-7	7.77673032180054	0.942355902877938
19	Cefsulodin	773.7038702522	4.94974746830583	1.79253112033195	15	1.00180463879841	1	42.3888888888889	3.25271527897971	22	0.599603174603175	0.346861946532999	0.18981247627394	0.0990474557544207	2.98842592592593	1.25985927303598E-7	7.77673032180054	0.942355902877938
20	Nocardicin B	766.692678347923	5.1478150704935	1.77049180327869	13	0.857562972312702	0.909090909090909	51.1388888888889	3.40925616851859	22	0.585251322751323	0.343577176368714	0.166423707562747	0.0863593969434399	2.98611111111111	8.58875040841656E-8	6.06827885720991	1.51679201414931
21	Imipenem	374.724120579123	3.74165738677394	1.71428571428571	8	1.05837835001168	0.833333333333333	17.2	2.528212945841	14	0.575059523809524	0.340979437229437	0.196981284796778	0.106603531577676	2.825	0.000231642801998911	3.32734620571004	2.01211654109663
