No.	NAME	CATS3D_02_DD	CATS3D_03_DD	CATS3D_04_DD	CATS3D_05_DD	CATS3D_06_DD	CATS3D_07_DD	CATS3D_08_DD	CATS3D_09_DD	CATS3D_10_DD	CATS3D_11_DD	CATS3D_12_DD	CATS3D_13_DD	CATS3D_02_DA	CATS3D_03_DA	CATS3D_04_DA	CATS3D_05_DA	CATS3D_06_DA	CATS3D_07_DA	CATS3D_08_DA	CATS3D_09_DA	CATS3D_10_DA	CATS3D_11_DA	CATS3D_12_DA	CATS3D_13_DA	CATS3D_14_DA	CATS3D_15_DA	CATS3D_16_DA	CATS3D_17_DA	CATS3D_18_DA	CATS3D_19_DA	CATS3D_02_DP	CATS3D_03_DP	CATS3D_04_DP	CATS3D_05_DP	CATS3D_06_DP	CATS3D_07_DP	CATS3D_08_DP	CATS3D_09_DP	CATS3D_10_DP	CATS3D_11_DP	CATS3D_12_DP	CATS3D_14_DP	CATS3D_19_DP	CATS3D_03_DN	CATS3D_04_DN	CATS3D_05_DN	CATS3D_06_DN	CATS3D_07_DN	CATS3D_08_DN	CATS3D_09_DN	CATS3D_10_DN	CATS3D_11_DN	CATS3D_12_DN	CATS3D_13_DN	CATS3D_14_DN	CATS3D_15_DN	CATS3D_16_DN	CATS3D_17_DN	CATS3D_19_DN	CATS3D_02_DL	CATS3D_03_DL	CATS3D_04_DL	CATS3D_05_DL	CATS3D_06_DL	CATS3D_07_DL	CATS3D_08_DL	CATS3D_09_DL	CATS3D_10_DL	CATS3D_11_DL	CATS3D_12_DL	CATS3D_13_DL	CATS3D_15_DL	CATS3D_16_DL	CATS3D_02_AA	CATS3D_03_AA	CATS3D_04_AA	CATS3D_05_AA	CATS3D_06_AA	CATS3D_07_AA	CATS3D_08_AA	CATS3D_09_AA	CATS3D_10_AA	CATS3D_11_AA	CATS3D_12_AA	CATS3D_13_AA	CATS3D_14_AA	CATS3D_15_AA	CATS3D_16_AA	CATS3D_17_AA	CATS3D_02_AP	CATS3D_03_AP	CATS3D_04_AP	CATS3D_05_AP	CATS3D_06_AP	CATS3D_07_AP	CATS3D_08_AP	CATS3D_09_AP	CATS3D_10_AP	CATS3D_11_AP	CATS3D_12_AP	CATS3D_13_AP	CATS3D_14_AP	CATS3D_15_AP	CATS3D_16_AP	CATS3D_17_AP	CATS3D_19_AP	CATS3D_02_AN	CATS3D_03_AN	CATS3D_04_AN	CATS3D_05_AN	CATS3D_06_AN	CATS3D_07_AN	CATS3D_08_AN	CATS3D_09_AN	CATS3D_10_AN	CATS3D_11_AN	CATS3D_12_AN	CATS3D_13_AN	CATS3D_14_AN	CATS3D_15_AN	CATS3D_16_AN	CATS3D_17_AN	CATS3D_02_AL	CATS3D_03_AL	CATS3D_04_AL	CATS3D_05_AL	CATS3D_06_AL	CATS3D_07_AL	CATS3D_08_AL	CATS3D_09_AL	CATS3D_10_AL	CATS3D_11_AL	CATS3D_12_AL	CATS3D_13_AL	CATS3D_14_AL	CATS3D_15_AL	CATS3D_16_AL	CATS3D_17_AL	CATS3D_18_AL	CATS3D_19_AL	CATS3D_04_PP	CATS3D_05_PP	CATS3D_07_PP	CATS3D_08_PP	CATS3D_09_PP	CATS3D_10_PP	CATS3D_12_PP	CATS3D_02_PN	CATS3D_03_PN	CATS3D_04_PN	CATS3D_05_PN	CATS3D_06_PN	CATS3D_07_PN	CATS3D_08_PN	CATS3D_09_PN	CATS3D_10_PN	CATS3D_11_PN	CATS3D_12_PN	CATS3D_13_PN	CATS3D_14_PN	CATS3D_15_PN	CATS3D_16_PN	CATS3D_02_PL	CATS3D_03_PL	CATS3D_04_PL	CATS3D_05_PL	CATS3D_06_PL	CATS3D_07_PL	CATS3D_08_PL	CATS3D_09_PL	CATS3D_10_PL	CATS3D_11_PL	CATS3D_12_PL	CATS3D_13_PL	CATS3D_14_PL	CATS3D_15_PL	CATS3D_16_PL	CATS3D_17_PL	CATS3D_03_NN	CATS3D_04_NN	CATS3D_05_NN	CATS3D_06_NN	CATS3D_07_NN	CATS3D_08_NN	CATS3D_09_NN	CATS3D_10_NN	CATS3D_11_NN	CATS3D_12_NN	CATS3D_13_NN	CATS3D_14_NN	CATS3D_16_NN	CATS3D_02_NL	CATS3D_03_NL	CATS3D_04_NL	CATS3D_05_NL	CATS3D_06_NL	CATS3D_07_NL	CATS3D_08_NL	CATS3D_09_NL	CATS3D_10_NL	CATS3D_11_NL	CATS3D_12_NL	CATS3D_13_NL	CATS3D_14_NL	CATS3D_15_NL	CATS3D_16_NL	CATS3D_02_LL	CATS3D_03_LL	CATS3D_04_LL	CATS3D_05_LL	CATS3D_06_LL	CATS3D_07_LL	CATS3D_08_LL	CATS3D_09_LL	CATS3D_10_LL	CATS3D_11_LL	CATS3D_12_LL	CATS3D_13_LL	CATS3D_14_LL	CATS3D_15_LL	CATS3D_16_LL
1	Ceftriaxone	0	0	0	0	1	0	0	0	0	0	0	0	3	3	2	1	3	0	0	3	1	3	2	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	2	0	0	1	1	0	0	1	0	1	0	0	8	11	4	8	5	7	6	3	5	5	5	4	2	2	1	0	1	0	0	1	2	0	0	2	0	1	1	0	0	1	1	2	1	4	2	0	3	2	2	3	1	1	0	2	1	0	1	0	0	5	2	6	11	6	7	1	6	2	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	0	1	1	0	0	0	0	0	1	0	2	0	1	0	1	0	0	1	0	1	0	0	0	0	0
2	Nocardicin B	0	0	1	0	0	0	1	0	0	0	1	0	1	3	2	1	8	3	4	1	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	2	1	0	1	0	0	1	0	0	0	0	0	0	4	6	5	2	3	2	0	2	2	3	4	0	0	0	3	6	4	3	9	7	5	4	3	3	4	2	1	0	0	0	1	1	1	0	0	1	0	4	0	1	2	0	0	0	0	0	0	2	2	1	1	2	4	1	1	1	2	2	0	0	0	0	0	10	18	17	8	13	7	8	10	10	8	10	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	4	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	3	2	1	0	1	3	4	2	1	0	0	0	0	12	1	2	2	0	0	4	9	11	4	2	0	0	0	0
3	BL-S217	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	0	0	0	0	5	4	3	3	4	2	3	1	2	1	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	1	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	7	3	6	8	5	5	5	1	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	1	1	0	0	0	0	0	0	4	0	1	1	2	1	3	0	0	1	1	1	0	0	0
4	Nocardicin B	0	0	1	0	0	0	0	1	0	0	1	0	1	3	2	2	7	4	2	2	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	4	6	5	2	3	2	0	3	1	3	2	2	0	0	3	6	4	4	8	8	4	4	3	3	3	3	0	1	0	0	1	1	1	0	0	1	0	4	0	1	2	0	0	0	0	0	0	2	2	1	2	1	5	1	0	1	2	0	2	0	0	0	0	10	18	17	8	14	7	9	9	8	9	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	3	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	2	4	1	0	3	1	4	2	1	0	0	0	0	12	1	2	2	0	0	4	8	10	5	3	0	0	0	0
5	Ceftazidime	0	0	0	1	0	0	0	0	0	0	0	0	2	4	1	2	3	4	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	3	1	1	3	2	0	1	0	2	0	0	8	6	8	4	6	3	7	4	4	1	2	0	1	0	0	0	1	1	2	1	2	2	2	2	4	2	1	0	1	0	0	0	0	3	3	2	0	1	2	2	3	1	0	2	0	0	0	0	0	13	5	7	9	11	5	8	4	6	2	8	4	3	1	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	5	0	0	2	0	1	3	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	2	1	0	0	1	2	2	0	1	0	3	0	0	3	0	3	1	2	4	1	2	1	3	0	1	2	3	0
6	Cefoperazone	1	0	0	0	1	1	0	0	0	0	0	0	4	3	4	4	7	4	4	2	5	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	4	5	5	3	1	3	1	1	2	1	1	0	0	0	12	5	6	9	12	11	13	9	9	6	5	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	0	3	1	2	0	0	0	0	0	0	0	0	8	11	17	14	17	16	14	5	8	7	10	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	0	2	1	0	0	0	0	0	0	8	0	0	1	0	3	5	7	6	1	1	0	0	0	0
7	SCE-796	0	0	0	0	0	0	0	0	1	0	0	0	2	3	1	2	2	1	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	4	2	4	2	3	5	1	0	0	0	0	0	0	4	7	3	5	5	4	5	3	0	0	0	0	0	0	0	0	1	1	1	4	1	2	2	3	2	0	0	0	0	0	0	0	0	3	2	0	2	2	3	3	0	0	0	0	0	0	0	0	0	13	8	13	14	20	22	11	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	6	1	1	3	4	5	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	3	1	2	9	1	3	0	0	0	0	0	0	0	13	4	8	11	9	9	3	0	0	0	0	0	0	0	0
8	Imipenem	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	2	4	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1	1	3	1	1	0	0	0	0	0	0	3	3	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	2	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	2	7	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0
9	Ceftazidime	0	0	1	0	0	0	0	0	0	0	0	0	3	3	1	3	3	6	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	2	2	2	1	1	1	4	2	0	0	0	0	0	8	6	9	3	7	5	3	4	3	2	2	1	1	0	0	0	1	1	2	2	2	4	3	2	1	1	0	1	1	0	0	0	0	4	2	2	0	1	2	2	2	1	0	2	1	0	0	0	0	12	7	7	8	11	6	9	2	10	1	7	2	1	2	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	5	1	0	2	0	1	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	1	1	0	1	0	4	0	0	0	1	2	0	3	0	2	2	2	3	2	2	1	1	2	0	6	0	0
10	Ceftazidime	0	0	1	0	0	0	0	0	0	0	0	0	3	3	1	2	5	4	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	2	1	2	2	2	4	2	0	0	0	0	0	0	8	5	10	5	4	6	8	4	4	0	0	0	0	0	0	0	1	1	2	2	2	5	4	1	3	0	0	0	0	0	0	0	0	3	2	3	0	1	2	2	3	3	0	0	0	0	0	0	0	12	6	5	10	14	7	12	14	6	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	5	1	0	1	1	1	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	3	0	0	1	3	3	2	0	0	0	0	0	3	0	2	2	3	8	2	4	2	0	0	0	0	0	0
11	Cefoperazone	1	0	0	0	1	1	0	0	0	0	0	0	3	3	4	4	6	5	5	3	1	3	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	3	6	6	2	2	2	2	1	2	1	0	0	0	0	12	5	3	5	6	13	10	10	5	5	4	5	8	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	2	0	1	2	1	1	1	0	0	0	0	8	10	14	20	12	16	7	6	10	8	8	6	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	1	2	0	0	1	0	0	0	0	8	0	0	1	0	6	6	5	1	5	0	0	0	0	0
12	Cefsulodin	0	0	0	0	0	0	0	0	0	1	0	0	3	1	3	2	2	1	2	1	0	1	1	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	4	3	1	0	1	2	2	0	0	6	0	0	0	6	6	5	2	6	4	4	4	2	2	1	0	0	2	1	0	1	1	2	2	2	0	3	1	1	2	1	0	0	3	0	0	0	3	3	1	0	3	1	2	2	1	0	0	0	0	1	0	0	9	11	16	20	9	16	10	2	2	1	7	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	6	1	1	0	0	4	4	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	3	6	2	4	0	0	0	0	2	1	0	0	0	11	0	6	9	1	2	0	9	8	1	0	0	0	0	0
13	SCE-796	0	0	0	0	0	0	0	0	1	0	0	0	2	3	2	2	1	1	0	4	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	3	3	3	2	3	4	5	1	0	0	0	0	0	0	4	7	3	5	4	2	6	3	2	0	0	0	0	0	0	0	1	1	2	3	1	1	1	4	1	1	1	0	0	0	0	0	0	2	3	2	1	1	2	2	1	1	0	0	0	0	0	0	0	13	8	13	13	19	23	13	4	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	6	1	1	0	6	5	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	3	5	5	2	3	1	2	0	0	0	0	0	0	13	2	7	12	13	9	1	0	0	0	0	0	0	0	0
