No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES20_Isol	WHALES30_Isol	WHALES40_Isol	WHALES50_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES70_IR	WHALES80_IR	WHALES90_IR	WHALES100_IR
1	Ceftriaxone	-2.318	-1.641	-1.111	-0.949	-0.72	-0.438	0.344	0.647	0.765	0.894	4.192	-0.169	-0.129	-0.1	-0.068	-0.056	-0.027	0.021	0.059	0.078	0.1	0.206	-0.414	-0.149	-0.093	-0.062	-0.049	-0.026	0.065	0.092	0.188	0.36
2	Nocardicin B	-2.375	-1.382	-1.231	-1.021	-0.749	-0.623	-0.306	0.412	0.698	1.011	1.598	-0.141	-0.078	-0.073	-0.061	-0.055	-0.036	-0.025	0.043	0.068	0.097	0.123	-0.272	-0.121	-0.085	-0.06	-0.042	-0.035	0.049	0.099	0.18	0.285
3	BL-S217	-2.192	-1.308	-0.93	-0.793	0.318	0.606	0.763	1.015	1.146	1.548	2.579	-0.222	-0.124	-0.101	-0.058	0.023	0.046	0.055	0.067	0.086	0.123	0.167	-0.282	-0.188	-0.076	-0.055	0.018	0.028	0.074	0.095	0.185	0.523
4	Nocardicin B	-2.306	-1.48	-1.262	-1.025	-0.814	-0.629	-0.276	0.404	0.65	1.019	1.591	-0.146	-0.083	-0.073	-0.069	-0.052	-0.038	-0.022	0.044	0.073	0.108	0.138	-0.361	-0.114	-0.087	-0.064	-0.045	-0.031	0.052	0.103	0.194	0.292
5	Ceftazidime	-3.797	-2.155	-1.061	-0.706	-0.502	0.375	0.535	0.891	1.307	1.53	3.389	-0.303	-0.153	-0.115	-0.078	-0.063	0.056	0.074	0.094	0.113	0.138	0.185	-0.607	-0.149	-0.116	-0.08	-0.044	0.04	0.088	0.123	0.146	0.252
6	Cefoperazone	-2.607	-1.737	-1.352	-0.979	-0.735	-0.629	0.353	0.629	0.891	1.356	2.006	-0.123	-0.091	-0.07	-0.053	-0.044	-0.024	0.018	0.043	0.064	0.075	0.12	-0.199	-0.135	-0.082	-0.047	-0.032	-0.017	0.037	0.072	0.11	0.137
7	SCE-796	-2.324	-1.667	-1.198	-0.893	-0.721	-0.425	0.622	0.8	0.936	1.044	1.666	-0.225	-0.127	-0.095	-0.065	-0.048	-0.033	0.071	0.087	0.104	0.123	0.171	-0.53	-0.129	-0.1	-0.055	-0.037	-0.016	0.1	0.109	0.139	0.3
8	Imipenem	-4.736	-1.526	-1.098	-0.781	-0.406	0.406	0.515	0.69	1.403	1.751	3.609	-0.184	-0.143	-0.09	-0.07	-0.063	0.059	0.08	0.121	0.134	0.167	0.236	-0.352	-0.129	-0.114	-0.078	-0.024	0.047	0.096	0.155	0.175	0.606
9	Ceftazidime	-3.281	-1.719	-0.966	-0.888	-0.64	0.369	0.599	0.888	1.204	1.263	2.062	-0.287	-0.155	-0.113	-0.092	-0.063	0.054	0.074	0.086	0.105	0.154	0.178	-0.238	-0.174	-0.1	-0.088	-0.044	0.035	0.084	0.127	0.153	0.434
10	Ceftazidime	-3.821	-1.604	-1.131	-0.791	-0.558	0.461	0.595	0.811	0.972	1.627	3.23	-0.241	-0.11	-0.088	-0.081	-0.059	0.06	0.074	0.079	0.087	0.106	0.127	-0.316	-0.147	-0.105	-0.089	-0.039	0.023	0.092	0.106	0.148	0.252
11	Cefoperazone	-2.865	-1.9	-1.315	-0.902	-0.736	-0.584	0.282	0.604	0.779	1.093	2.344	-0.124	-0.083	-0.044	-0.037	-0.029	-0.021	0.006	0.025	0.06	0.081	0.121	-0.209	-0.094	-0.059	-0.039	-0.017	-0.012	0.025	0.048	0.126	0.183
12	Cefsulodin	-2.862	-1.713	-1.257	-1.023	-0.846	-0.528	0.603	0.703	0.88	0.998	1.2	-0.315	-0.175	-0.136	-0.11	-0.086	-0.049	0.071	0.083	0.108	0.118	0.176	-0.399	-0.184	-0.147	-0.102	-0.055	-0.034	0.102	0.119	0.182	0.679
13	SCE-796	-2.01	-1.628	-1.256	-0.897	-0.717	-0.407	0.634	0.854	0.908	1.156	1.873	-0.259	-0.147	-0.117	-0.065	-0.052	-0.029	0.072	0.087	0.101	0.115	0.146	-0.636	-0.149	-0.099	-0.079	-0.041	-0.023	0.099	0.101	0.127	0.261
14	Cefsulodin	-3.111	-1.694	-1.25	-1.022	-0.935	-0.497	0.57	0.698	0.793	0.984	1.134	-0.26	-0.187	-0.144	-0.121	-0.109	-0.071	0.109	0.114	0.131	0.157	0.203	-0.577	-0.189	-0.134	-0.107	-0.076	-0.034	0.139	0.184	0.216	0.736
