No.	NAME	SpPosA_A	SpMax_A	SpDiam_A	VE1_A	VE1sign_A	VE2sign_A	VE3sign_A	VE2sign_D	VE3sign_D	Acon	TI2_L	SpPosA_L	SpDiam_L	SpMAD_L	ChiA_X	SpPosA_X	SpDiam_X	SM5_X	VE1_X	VE2_X	VE1sign_X	VE2sign_X	VE3sign_X	AVS_H2	ChiA_H2	SpPosA_H2	SpMax_H2	SM5_H2	VE1_H2	VE2_H2	VE1sign_H2	VE3sign_H2	J_Dt	SpPosA_Dt	SpDiam_Dt	VE1_Dt	VE2sign_Dt	VE3sign_Dt	J_D/Dt	SpPosA_D/Dt	VE2_D/Dt	VE1sign_D/Dt	VE3sign_D/Dt	Chi_Dz(Z)	J_Dz(Z)	VE2sign_Dz(Z)	WiA_Dz(m)	VE3sign_Dz(m)	J_Dz(v)	VE2sign_Dz(v)	VE3sign_Dz(v)	VE2sign_Dz(e)	VE3sign_Dz(e)	ChiA_Dz(p)	SM1_Dz(p)	SM2_Dz(p)	VE1_Dz(p)	VE1sign_Dz(p)	VE2sign_Dz(p)	VE3sign_Dz(p)	J_Dz(i)	SM1_Dz(i)	VE2_Dz(i)	VE1sign_Dz(i)	VE3sign_Dz(i)	AVS_B(m)	ChiA_B(m)	SpPosA_B(m)	SpDiam_B(m)	SpMAD_B(m)	SM4_B(m)	VE1_B(m)	VE2_B(m)	VE3_B(m)	VE1sign_B(m)	VE2sign_B(m)	VE3sign_B(m)	AVS_B(v)	ChiA_B(v)	SpPosA_B(v)	SpMax_B(v)	SpMAD_B(v)	VE1_B(v)	VE1sign_B(v)	VE3sign_B(v)	ChiA_B(e)	SpPosA_B(e)	SpMax_B(e)	SpDiam_B(e)	VE1_B(e)	VE3sign_B(e)	SpPosA_B(p)	SpMax_B(p)	SpDiam_B(p)	VE1_B(p)	VE2_B(p)	VE2sign_B(p)	AVS_B(i)	SpPosA_B(i)	SpMax_B(i)	VE1_B(i)	VE2_B(i)	VE3sign_B(i)	AVS_B(s)	ChiA_B(s)	J_B(s)	SpMax_B(s)	SpDiam_B(s)	SpMAD_B(s)	SM2_B(s)	SM6_B(s)	VE1_B(s)	VE2_B(s)	VE1sign_B(s)	VE2sign_B(s)	VE3sign_B(s)
1	Ceftriaxone	0.631339514107358	2.57509722627938	5.1495869225095	3.97560824344871	0.0593937790942065	0.00164982719706129	-4.41453254634297	0.00104595073726873	-5.12707056784898	0.0207648888481537	5.35091287623196	2.16666666666667	5.42124924051067	1.48804169340126	0.99603662162956	0.292324173042945	1.99736651681876	0.13005312824821	5.20774993571049	0.144659720436402	0.1650674202016	0.00458520611671112	-2.81641909011509	3.89814981799615	0.24526239447429	0.62344571323212	4.27865047696335	7.66493867196169	3.5493091232415	0.0985919200900415	0.0150235516796346	-6.56361858506483	0.838149918384255	10.8620195236976	553.521378092092	5.08653687935923	0.00479896055013167	-2.74518114985654	13.830586553102	0.80753942312515	0.145791765352274	0.00241584740002049	-9.42094980695131	0.236155016289976	1.84200912706181	0.00489856342481057	4.77956950812285	-2.71099647830694	1.32392145499845	0.00269082601169721	-3.64972277505772	0.000399461764813492	-6.6320002182772	0.00404215254647556	-2.5665403987761	11.528170056635	5.43664954614444	0.244477300797091	0.00679103613325252	-2.20234124879006	1.64606092599689	1.32244893307115	0.145791841106431	0.0731401187668742	-4.08903961960241	3.73681016028722	0.256800096902224	1.51433906780806	5.84719025509014	1.5358693976052	7.42891324708694	4.22420694746813	0.117339081874115	2.25268267140226	0.150574743837885	0.00418263177327458	-2.96009232116797	3.40238238250944	0.278811643384852	1.25970894027288	3.75215108358574	1.49595127339494	4.52305083339018	0.0932623334558259	-3.70905740117102	0.265020680737424	1.40369461513522	3.85908329795499	5.5714174501086	4.31667055573251	-3.81430498683196	1.23817545520829	3.77948014531121	5.65283543635802	4.58969814191046	0.127491615053068	0.00336586151647841	3.59467404917611	1.3988558307438	3.87122910207788	4.3058113021122	0.119605869503117	-3.77446970389003	5.37102960473166	0.201469507046386	61.2870240435106	7.60995907843909	8.61393488563411	2.12706379034861	6.2874955413282	13.8570414665663	3.63119016630552	0.100866393508487	0.0572812550552142	0.00159114597375595	-4.4711549101084
2	Nocardicin B	0.622748736130871	2.4876952558448	4.97539051168959	4.18123741469051	0.132586253517431	0.0036829514865953	-3.15900540378685	0.00625940213434878	-2.32979272415801	0.0164957054935772	6.73575987122064	2.11111111111111	5.26507247253688	1.46355387398706	0.996317044053295	0.294531633293242	2	0	5.88630879452504	0.163508577625696	0.145443747246087	0.00404010409016909	-3.0142978009749	3.71335392858407	0.257374681645489	0.624752579240282	4.07673874103996	7.47054329516245	3.56959771049458	0.0991554919581827	0.0682066978983835	-4.19822271189763	1.18195843171534	9.42803557442422	493.863336510614	5.36552352401822	0.00169724643728777	-4.37022933666683	12.7237973913982	0.912046693951587	0.147753422289847	0.161104534998853	-2.85441204337894	0.180573417472952	1.71544746599305	0.00537293623539676	6.09843141925027	-2.56742270671413	1.37734785579814	0.00506611818790059	-2.660479855082	0.00534071468312749	-2.57795323901119	0.00327415220988275	-2.65324196460721	11.9803877923085	5.34527160012611	0.261045492261046	0.00725126367391795	-2.09982168646057	1.74699928041279	1.24089279592485	0.149280691882489	0.250915666151275	-2.16170000014291	3.56043926013311	0.268228005398948	1.39424804099809	5.49893369376991	1.47487002765317	7.15417905402492	4.92934658518379	0.136926294032883	2.49404167699995	0.0779975142633327	0.00216659761842591	-3.98850925611058	3.36070037124422	0.282420883196528	1.24245793629553	3.71885024750411	1.47163056295404	5.14829685618268	0.112755946052108	-3.41229796861594	0.268350696749158	1.39269531694442	3.79875252728943	5.49831485002682	4.93501969812015	-3.98311195700572	1.19000942779886	3.69987668321996	5.52930176504095	5.07352072063217	0.140931131128672	0.00364084052031489	3.54353926013311	1.37977779575227	3.80743809035209	4.90922114864712	0.136367254129087	-3.94881414121003	5.44500592679977	0.202596886104	73.137475883544	7.61137376502411	8.50000220656165	2.24219818088238	6.36135082575948	13.9363478275324	4.06043884489169	0.112789967913658	0.105154486556584	0.0029209579599051	-3.52141989418209
3	BL-S217	0.62478124382851	2.57143280525709	5.14286561051419	3.72752430322794	0.0480621878684741	0.00165731682305083	-3.82276974355657	0.00735458054954798	-1.94602787042829	0.0267239148368933	5.16133340959237	2.13793103448276	5.41326960536728	1.48463479110317	0.997105347623027	0.289163994939774	2	0	5.28433660914819	0.182218503763731	0.0866347564949346	0.00298740539637706	-3.08069273873225	3.6914823756636	0.25955698835965	0.62279469983762	4.10487696500311	7.31727238636761	3.4108748721085	0.117616374900293	0.0128927230948733	-5.48000050006994	0.913761775157599	9.77165320451309	404.036269337338	5.02627219300759	0.00437421617396015	-2.60043510404704	13.6787232303556	0.80567179135185	0.152061394489912	0.196747471617556	-2.0476634360255	0.258204257752305	2.00108299758036	0.00324098587972552	4.31499633514996	-2.98185358617264	1.44518317589465	0.00304120804892535	-3.05821202552843	0.00816452058422076	-1.81444680999862	0.00552979982709193	-2.2207023601787	10.9249847298632	4.88561585038899	0.0815754223037928	0.00281294559668251	-3.1564779408439	1.76028792720181	0.932321548946651	0.168347792012872	0.26689542637542	-1.66361071832839	3.64904739218087	0.262634860528752	1.4764022241948	5.65169159851953	1.50022558161203	7.12544495602625	3.79620685420602	0.130903684627794	1.68011462004162	0.12003539067434	0.00413915140256344	-2.67000300017197	3.37676118528432	0.280875986509511	1.26047430669595	3.72070527905939	1.46150312867337	3.90150279124425	0.0580896751289219	-3.5841130517948	0.270013771554829	1.38218571071028	3.83193505664056	5.53784829566643	3.89105846297433	-3.28120435504814	1.24350133257027	3.71532043621279	5.58266524810863	3.891076874668	0.134175064643724	0.00231807081795546	3.51577842666363	1.36516524418573	3.84073108413773	3.92853962738615	0.135466883702971	-3.27379873814169	5.18928187493949	0.209361231214785	50.299035799352	7.60987970896389	8.6076277635169	2.1244904094198	6.02725648023801	13.6470840321716	3.46273440393385	0.119404634618409	0.0717411869162802	0.00247383403159587	-3.31827118310671
4	Nocardicin B	0.622748736130871	2.4876952558448	4.97539051168959	4.18123741469051	0.132586253517431	0.0036829514865953	-3.15900540378685	0.00625940213434878	-2.32979272415801	0.0164957054935772	6.73575987122064	2.11111111111111	5.26507247253688	1.46355387398706	0.996317044053295	0.294531633293242	2	0	5.88630879452504	0.163508577625696	0.145443747246087	0.00404010409016909	-3.0142978009749	3.71335392858407	0.257374681645489	0.624752579240282	4.07673874103996	7.47054329516245	3.56959771049458	0.0991554919581827	0.0682066978983835	-4.19822271189763	1.18195843171534	9.42803557442422	493.863336510614	5.36552352401822	0.00169724643728777	-4.37022933666683	12.7237973913982	0.912046693951587	0.147753422289847	0.161104534998853	-2.85441204337894	0.180573417472952	1.71544746599305	0.00537293623539676	6.09843141925027	-2.56742270671413	1.37734785579814	0.00506611818790059	-2.660479855082	0.00534071468312749	-2.57795323901119	0.00327415220988275	-2.65324196460721	11.9803877923085	5.34527160012611	0.261045492261046	0.00725126367391795	-2.09982168646057	1.74699928041279	1.24089279592485	0.149280691882489	0.250915666151275	-2.16170000014291	3.56043926013311	0.268228005398948	1.39424804099809	5.49893369376991	1.47487002765317	7.15417905402492	4.92934658518379	0.136926294032883	2.49404167699995	0.0779975142633327	0.00216659761842591	-3.98850925611058	3.36070037124422	0.282420883196528	1.24245793629553	3.71885024750411	1.47163056295404	5.14829685618268	0.112755946052108	-3.41229796861594	0.268350696749158	1.39269531694442	3.79875252728943	5.49831485002682	4.93501969812015	-3.98311195700572	1.19000942779886	3.69987668321996	5.52930176504095	5.07352072063217	0.140931131128672	0.00364084052031489	3.54353926013311	1.37977779575227	3.80743809035209	4.90922114864712	0.136367254129087	-3.94881414121003	5.44500592679977	0.202596886104	73.137475883544	7.61137376502411	8.50000220656165	2.24219818088238	6.36135082575948	13.9363478275324	4.06043884489169	0.112789967913658	0.105154486556584	0.0029209579599051	-3.52141989418209
5	Ceftazidime	0.622781055330149	2.57670437246926	5.15278610587848	4.00464299088864	0.0885464711065527	0.00239314786774467	-3.89546634657225	0.00119383920252706	-5.01295402821893	0.0208931996373446	5.17432035229659	2.16216216216216	5.42237677718259	1.49597792229352	0.996842208728394	0.284317200318034	1.99680942232073	0.130053128248202	5.28520848093277	0.142843472457642	0.237911628931434	0.00643004402517388	-2.30726201905612	3.9161395207302	0.243945285674879	0.624052071827303	4.30646576812371	7.68557556510793	3.5805255764439	0.0967709615255107	0.0250065165388066	-5.92720316816056	0.905384549786191	10.4165339417483	540.568224995807	5.77736102707551	0.0104562907424106	-1.5259563140416	13.5434974986626	0.811702792006736	0.14394722792941	0.232627943661154	-2.34335103766565	0.224406581816503	1.79525265453203	0.000916777607677105	5.01599167926627	-5.44802609521128	1.30366188827448	0.00270914931387944	-3.69617173669429	0.00160193512573616	-4.54046740107272	0.00346757351739275	-2.50256646001488	11.8315012018505	5.56903317607324	0.3712788740909	0.0100345641646189	-1.59210911789026	1.78346142882284	1.22056439941888	0.153644013542104	0.0295007740008133	-5.66161638096458	3.69275542187046	0.258161015429023	1.46769151007689	5.86420102424207	1.50600659822088	7.38267977303276	4.54223499730757	0.12276310803534	2.43189751684392	0.192408943196194	0.00520024170800525	-2.64836655930158	3.42953380024884	0.275180039621195	1.27091122115322	3.75799802621392	1.48056899792547	4.59454942562299	0.137752756458619	-3.18532889767674	0.263367559402154	1.39816214447495	3.86604156715219	5.58751288450586	4.45786922446319	-3.15420368973777	1.24213728828367	3.78098552710821	5.66297044809104	4.68548803348962	0.126634811715936	0.0042855004033238	3.59505271916776	1.3907665076687	3.87885405781049	4.42586562907035	0.119617989974874	-3.10551477000059	5.31217434078938	0.202291496567581	64.7332789016259	7.61252391709117	8.62146341736874	2.12364849579433	6.28466545798865	13.8319308510087	3.75229769257753	0.101413451150744	0.0903797948288054	0.00244269715753528	-3.86253600091412
6	Cefoperazone	0.639549223634532	2.57526194503828	5.15019406120844	4.09304836428259	0.0466108358028464	0.00105933717733742	-5.85865768153639	0.00280908234385152	-3.99512455523613	0.0154316101129824	5.89109563055965	2.18181818181818	5.42670480442873	1.47759024673267	0.995724317743972	0.295452551216545	1.99831830338915	0.130053128248203	5.9192195993758	0.134527718167632	0.0144170584536418	0.00032766041940095	-8.10094269909385	4.0188347346676	0.239126457560786	0.631323888009155	4.38644106303791	7.8957074442264	3.59828573843823	0.0817792213281415	0.0103861237137571	-8.72760463799251	0.806392089456531	11.8583077423594	724.828552724843	6.21255320882272	0.00643463756344798	-2.41130222783374	13.6581899006862	0.833225036018421	0.135017676825582	0.180728311843612	-3.26908475550002	0.193500238269514	1.54800190615611	0.0028965692189754	5.85081946345854	-3.9325363035855	1.13862668640983	0.00202727193939577	-4.61839538339353	0.00174279914078127	-4.90731993999235	0.00269375974314707	-2.72220291070192	12.2920378703839	6.02578127426916	0.243515832933957	0.00553445074849902	-2.69928030475103	1.49439046154752	1.44404426666086	0.138746622705666	0.151552276770289	-3.60552515329644	3.68263812921698	0.261034839922181	1.45474492304449	5.70948849690889	1.5183415601009	7.50239981195383	5.03481796197362	0.114427680953946	3.08872860074102	0.0934364875888333	0.00212355653610985	-4.52972738097163	3.41940858376243	0.278370566836208	1.25663566775495	3.73863997580565	1.49433955828093	4.5452311290868	0.0570968377291391	-5.47090695449216	0.265833923581844	1.39136166502465	3.85145010915901	5.56405841299462	4.6602621916601	-5.12183179476934	1.22618245506646	3.73610403814876	5.60519535622704	4.69568294107976	0.106720066842722	0.00138304481904003	3.60615631103516	1.38896657065325	3.88493885881812	4.69155591776423	0.106626270858278	-5.04074625643888	5.29635403830789	0.206007485869298	79.1068745738105	7.6100064824586	8.6149460020777	2.13983274415918	6.46077689399666	14.0499892931009	3.77121338846263	0.0857093951923325	0.0664842571896009	0.0015110058452182	-5.18003718819114
7	SCE-796	0.629113899395544	2.57712015683099	5.15424031366198	4.08728864519188	0.100679335515797	0.00287655244330848	-3.48970880811118	0.0026460635119131	-3.61666092044945	0.0228030533828566	5.01186013850384	2.17142857142857	5.42103400721652	1.49014700438454	0.996346641176411	0.286949578562259	2	0	5.80805936001875	0.165944553143393	0.380192050764945	0.0108626300218556	-1.46998938733465	3.89905114924863	0.246244523338821	0.632532787233427	4.28608479054584	7.63051853685011	3.60093704653285	0.102883915615224	0.0304274856929526	-5.30856876588435	0.836515118338612	10.6393013340993	522.407858249462	5.18019467186005	0.00295212842669519	-3.4502884812823	13.5938089716671	0.803350989669487	0.149380217881108	0.0177187788992702	-6.13048173882742	0.224633079114089	1.70721140126708	0.00116097064562189	5.05579859597365	-4.86774003511694	1.34683210292243	0.000296220039043378	-6.94511132281477	0.000977063534461888	-5.13103202714037	0.00430223052341052	-2.43421843546051	11.3736691359362	5.31307006357483	0.016429598623227	0.000469417103520772	-6.24530566202867	1.70036464432159	1.10710941892209	0.149652943253657	0.0490083331934343	-4.58405523759863	3.67828972688947	0.260513563145046	1.43594194381207	5.68778833359371	1.5252298152098	7.2519884642418	5.08814297073276	0.145375513449507	2.47295757088587	0.227420826773821	0.00649773790782346	-2.25109418082832	3.46574686974662	0.274026165923208	1.27455345836712	3.75058651218324	1.5120256151189	4.75292516857424	0.172391341384694	-2.67219592870771	0.263606642307385	1.39758287435854	3.85374173018985	5.58357632729564	4.93407266882403	-2.63680959726867	1.23869248303442	3.74002051551022	5.62142531484275	4.7140972465031	0.134688492757231	0.00555104944209582	3.61791544117519	1.38776086063131	3.86556500444803	4.98276454645842	0.142364701327384	-2.5319069870755	5.44034115546091	0.202906154525608	58.5992974269957	7.61296134024571	8.62442446704044	2.27204572524729	6.31469702081722	13.9697485429885	3.98362488193434	0.113817853769553	0.0888946446458689	0.00253984698988197	-3.67893540632094
8	Imipenem	0.607013915322598	2.60734269889166	5.09563916319978	3.20256149736863	0.114116676875915	0.00570583384379576	-1.88530176732586	0.0180076995168435	-0.887023538163959	0.0619200045899863	3.22997392077622	2.1	5.34692495527931	1.47135685676916	0.995700070500632	0.289112163621478	1.97743117679423	0.0598981415810736	3.11069636501739	0.15553481825087	0.0125580060312941	0.000627900301564704	-3.80215862539383	3.5151330355451	0.272334016526006	0.609403812924823	4.01805115387225	6.99252375411899	3.01010019079123	0.150505009539562	0.0745511662506314	-2.25509111643399	1.12752050697404	6.97398499649784	192.171495806246	4.04014815563279	0.00250873503328519	-2.59903041952932	12.7444653819078	0.768772297903449	0.192230571374645	0.493945114874923	-0.612642610781071	0.368113675159239	2.57679572611467	0.0000646446510693399	3.04506666666667	-5.58532341551266	1.97062565874891	0.0114809957175329	-1.27798089877155	0.01279287299964	-1.18400383171262	0.0126594093876292	-1.97503890044712	9.32153943395771	3.89890728211165	0.129003414671518	0.0064501707335759	-1.77879758787637	2.22595367295577	0.824657782762154	0.189916661995412	0.294339537122797	-1.0623027948563	3.51751541526794	0.270842895947412	1.4413724232295	5.56193741896769	1.40721655037497	6.63922794891303	3.39434868286923	0.169717434143461	1.06151290593852	0.0775731856717741	0.00387865928358871	-2.22057674633004	3.25860041526794	0.288838000952738	1.24549886296461	3.75916855555205	1.38334668212636	3.44709509651428	0.0719249139686883	-2.28624129781712	0.276307681845676	1.37325447403306	3.85855179580127	5.46170037843349	3.47439830628768	-2.96270644831956	1.21579617401948	3.74989428339642	5.54348187059703	3.41906733618139	0.170953366809069	0.00443049647858922	3.42407041526794	1.36420667397801	3.86759989364222	3.51579234163997	0.175789617081998	-4.45087145704992	5.16758541526794	0.213673736178894	31.4100392182974	7.609814266011	8.5248499223098	2.17752965287521	5.6959428899333	13.2399901700168	2.96490085807376	0.148245042903688	0.0234872882107879	0.00117436441053939	-3.2583342459745
9	Ceftazidime	0.622781055330149	2.57670437246926	5.15278610587848	4.00464299088864	0.0885464711065527	0.00239314786774467	-3.89546634657225	0.00119383920252706	-5.01295402821893	0.0208931996373446	5.17432035229659	2.16216216216216	5.42237677718259	1.49597792229352	0.996842208728394	0.284317200318034	1.99680942232073	0.130053128248202	5.28520848093277	0.142843472457642	0.237911628931434	0.00643004402517388	-2.30726201905612	3.9161395207302	0.243945285674879	0.624052071827303	4.30646576812371	7.68557556510793	3.5805255764439	0.0967709615255107	0.0250065165388066	-5.92720316816056	0.905384549786191	10.4165339417483	540.568224995807	5.77736102707551	0.0104562907424106	-1.5259563140416	13.5434974986626	0.811702792006736	0.14394722792941	0.232627943661154	-2.34335103766565	0.224406581816503	1.79525265453203	0.000916777607677105	5.01599167926627	-5.44802609521128	1.30366188827448	0.00270914931387944	-3.69617173669429	0.00160193512573616	-4.54046740107272	0.00346757351739275	-2.50256646001488	11.8315012018505	5.56903317607324	0.3712788740909	0.0100345641646189	-1.59210911789026	1.78346142882284	1.22056439941888	0.153644013542104	0.0295007740008133	-5.66161638096458	3.69275542187046	0.258161015429023	1.46769151007689	5.86420102424207	1.50600659822088	7.38267977303276	4.54223499730757	0.12276310803534	2.43189751684392	0.192408943196194	0.00520024170800525	-2.64836655930158	3.42953380024884	0.275180039621195	1.27091122115322	3.75799802621392	1.48056899792547	4.59454942562299	0.137752756458619	-3.18532889767674	0.263367559402154	1.39816214447495	3.86604156715219	5.58751288450586	4.45786922446319	-3.15420368973777	1.24213728828367	3.78098552710821	5.66297044809104	4.68548803348962	0.126634811715936	0.0042855004033238	3.59505271916776	1.3907665076687	3.87885405781049	4.42586562907035	0.119617989974874	-3.10551477000059	5.31217434078938	0.202291496567581	64.7332789016259	7.61252391709117	8.62146341736874	2.12364849579433	6.28466545798865	13.8319308510087	3.75229769257753	0.101413451150744	0.0903797948288054	0.00244269715753528	-3.86253600091412
10	Ceftazidime	0.622781055330149	2.57670437246926	5.15278610587848	4.00464299088864	0.0885464711065527	0.00239314786774467	-3.89546634657225	0.00119383920252706	-5.01295402821893	0.0208931996373446	5.17432035229659	2.16216216216216	5.42237677718259	1.49597792229352	0.996842208728394	0.284317200318034	1.99680942232073	0.130053128248202	5.28520848093277	0.142843472457642	0.237911628931434	0.00643004402517388	-2.30726201905612	3.9161395207302	0.243945285674879	0.624052071827303	4.30646576812371	7.68557556510793	3.5805255764439	0.0967709615255107	0.0250065165388066	-5.92720316816056	0.905384549786191	10.4165339417483	540.568224995807	5.77736102707551	0.0104562907424106	-1.5259563140416	13.5434974986626	0.811702792006736	0.14394722792941	0.232627943661154	-2.34335103766565	0.224406581816503	1.79525265453203	0.000916777607677105	5.01599167926627	-5.44802609521128	1.30366188827448	0.00270914931387944	-3.69617173669429	0.00160193512573616	-4.54046740107272	0.00346757351739275	-2.50256646001488	11.8315012018505	5.56903317607324	0.3712788740909	0.0100345641646189	-1.59210911789026	1.78346142882284	1.22056439941888	0.153644013542104	0.0295007740008133	-5.66161638096458	3.69275542187046	0.258161015429023	1.46769151007689	5.86420102424207	1.50600659822088	7.38267977303276	4.54223499730757	0.12276310803534	2.43189751684392	0.192408943196194	0.00520024170800525	-2.64836655930158	3.42953380024884	0.275180039621195	1.27091122115322	3.75799802621392	1.48056899792547	4.59454942562299	0.137752756458619	-3.18532889767674	0.263367559402154	1.39816214447495	3.86604156715219	5.58751288450586	4.45786922446319	-3.15420368973777	1.24213728828367	3.78098552710821	5.66297044809104	4.68548803348962	0.126634811715936	0.0042855004033238	3.59505271916776	1.3907665076687	3.87885405781049	4.42586562907035	0.119617989974874	-3.10551477000059	5.31217434078938	0.202291496567581	64.7332789016259	7.61252391709117	8.62146341736874	2.12364849579433	6.28466545798865	13.8319308510087	3.75229769257753	0.101413451150744	0.0903797948288054	0.00244269715753528	-3.86253600091412
