Canonical SMILES,name
CC(OCC1=C(N2C(C(C2=O)NC(CC#N)=O)SC1)C(O)=O)=O,Cefacetrile
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(CN4C=NN=N4)=O)SC2)C(O)=O,Cefazolin
CN1C(SCC2=C(N3C(C(OC)(C3=O)NC(CSCC#N)=O)SC2)C(O)=O)=NN=N1,Cefmetazole
COC1(C2N(C1=O)C(C(O)=O)=C(CS2)COC(N)=O)NC(CC3=CC=CS3)=O,Cefoxitin
CON=C(C1=CSC(N)=N1)C(NC2C3N(C2=O)C(C(O)=O)=CCS3)=O,Ceftizoxime
CC(OCC1=C(N2C(C(C2=O)NC(C(C3=CSC(N)=N3)=NOC)=O)SC1)C(O)=O)=O,Cefotaxime
CON=C(C1=CSC(N)=N1)C(NC2C3N(C2=O)C(C(O)=O)=C(CS3)C)=O,LY097964
CCN1CCN(C(C1=O)=O)C(NC(C2=CC=C(C=C2)O)C(NC3C4N(C3=O)C(C(O)=O)=C(CS4)CSC5=NN=NN5C)=O)=O,Cefoperazone
CN1C(SCC2=C(N3C(C(C3=O)NC(C(C4=CC=CC=C4)O)=O)SC2)C(O)=O)=NN=N1,Cefamandole
CON=C(C1=CC=CO1)C(NC2C3N(C2=O)C(C(O)=O)=C(CS3)COC(N)=O)=O,Cefuroxime
CCN1CCN(C(C1=O)=O)C(NC(C2=CC=CC=C2)C(NC3C4N(C3=O)C(C(C)(S4)C)C(O)=O)=O)=O,Piperacillin
CC(C1C2CC(SCCN=CN)=C(N2C1=O)C(O)=O)O,Imipenem
O=C1C(NC(CC2=CC=CS2)=O)C3N1C(C(O)=O)=C(C[N+]4=CC=CC=C4)CS3,Cephaloridine
CC1=C(N2C(C(C2=O)NC(C(C3=CC=CC=C3)N)=O)SC1)C(O)=O,Cephalexin
O=C1C(C2N1C(C(O)=O)=C(CS2)Cl)NC(C(C3=CC=CC=C3)N)=O,Cefaclor
CC(OCC1=C(N2C(C(C2=O)NC(C(C3=CC=CC=C3)N)=O)SC1)C(O)=O)=O,Cephaloglycin
O=C1C(C2N1C(C(O)=O)=C(CS2)COC(C)=O)NC(CSC3=CC=[N+](C)C=C3)=O,BL-S217
CC1(C(N2C(S1)C(C2=O)NC(C(C3=CC=CC=C3)N)=O)C(O)=O)C,Ampicillin
CC1(C(N2C(S1)C(C2=O)NC(C3(CCCCC3)N)=O)C(O)=O)C,Cyclacillin
CN1C(SCC2=C(C(O)=O)N3C(OC2)C(C3=O)(NC(C(C(O)=O)C4=CC=C(O)C=C4)=O)OC)=NN=N1,Moxalactam
CC1C(C(N1S(=O)(O)=O)=O)NC(C(C2=CSC(N)=N2)=NOC(C(O)=O)(C)C)=O,Aztreonam
CN1C(SCC2=C(N3C(C(C3=O)NC(C(C4=CSC(N)=N4)=NOC)=O)SC2)C(O)=O)=NC(C(O)=N1)=O,Ceftriaxone
CC1(C(N2C(S1)C(C2=O)NC(C(C3=CC=CC=C3)S(=O)(O)=O)=O)C(O)=O)C,Sulbenicillin
CC1(C(N2C(S1)C(C2=O)NC(C(C3=CC=CC=C3)C(O)=O)=O)C(O)=O)C,Carbenicillin
O=COCC1=C(N2C(C(C2=O)NC(CCCC(C(O)=O)N)=O)SC1)C(O)=O,Cephalosporin C
CC1(C)C(C(O)=O)N2C(C(NC(CCCC(N)C(O)=O)=O)C2=O)S1,Penicillin N
O=C1C(NC(C(S(=O)(O)=O)C2=CC=CC=C2)=O)C3N1C(C(O)=O)=C(C[N+]4=CC=C(C(N)=O)C=C4)CS3,Cefsulodin
O=C1C(C2N1C(C(O)=O)=C(CS2)C[N+]3=CC=C(C=C3)C(N)=O)NC(C(C4=CC=CC=C4)C(O)=O)=O,SCE-796
O=C1C(CN1C(C2=CC=C(C=C2)O)C(O)=O)NC(C(C3=CC=C(C=C3)OCCC(C(O)=O)N)=NO)=O,Nocardicin B
CC(C)(C(O)=O)ON=C(C(NC1C2N(C(C(O)=O)=C(C[N+]3=CC=CC=C3)CS2)C1=O)=O)C4=CSC(N)=N4,Ceftazidime
CCN1C=C(C(C2=C1N=C(C=C2)C)=O)C(O)=O,Nalidixic acid
CC1COC2=C3N1C=C(C(C3=CC(F)=C2N4CCN(CC4)C)=O)C(O)=O,Ofloxacin
CC(OCC1=C(N2C(C(C2=O)NC(CC3=CC=CS3)=O)SC1)C(O)=O)=O,Cephalothin
