No.	NAME	Eta_betaS_A	Eta_betaP_A	Eta_beta	Eta_F_A	Eta_FL_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_5	Eta_D_epsiA	Eta_D_epsiB	Eta_psi1	Eta_D_beta
1	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
2	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
3	2-11	0.652173913043478	0.304347826086957	22	0.656145813094419	0.168771587573102	0.160493827160494	0.37037037037037	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
4	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
5	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
6	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
7	2-11	0.652173913043478	0.304347826086957	22	0.656145813094419	0.168771587573102	0.160493827160494	0.37037037037037	0.0462962962962963	0	0.0304347816854715	0.724137931034483	0.0951447245564891	0.0253869969040247	0.5625	-8
8	2-99	0.625	0.145833333333333	18.5	0.633933021061445	0.116341771564939	0.27710843373494	0.36144578313253	0.135542168674699	0	0.0388888902962208	0.761111111111111	0.13462061747776	0.0213066358618919	0.526148969889065	-11.5
9	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
10	2-6	0.645833333333333	0.145833333333333	19	0.56699750106388	0.110281535185678	0.218289085545723	0.265486725663717	0.176991150442478	0	0.029166666790843	0.709677419354839	0.0942307692307691	0.0174450549450549	0.5678391959799	-12
