No.	NAME	SpMaxA_EA(ed)	SpDiam_EA(ed)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMaxA_EA(dm)	SpAD_EA(dm)	SpMAD_EA(dm)	SpMAD_EA(ri)	SpMax_AEA(dm)	SpMaxA_AEA(dm)	SpMAD_AEA(dm)	Chi0_EA(dm)	SM04_EA(bo)	SM11_EA(bo)	SM03_EA(dm)	SM04_EA(dm)	SM08_AEA(dm)	SM13_AEA(dm)	SM12_AEA(ri)	SM13_AEA(ri)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_EA(dm)	Eig13_EA(dm)	Eig14_EA(dm)	Eig15_EA(dm)	Eig12_EA(ri)	Eig02_AEA(ed)	Eig02_AEA(dm)	Eig03_AEA(dm)	Eig07_AEA(dm)	Eig13_AEA(dm)
1	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
2	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
3	2-11	0.609595449677088	24.592973973207	7.31121783274732	1.69996630498076	0.0330769230769231	4.24	0.163076923076923	1.45568157568393	3.92414288223872	0.150928572393797	1.56202795015539	23.505303039779	6.76417355050412	16.1506999595988	0	1.17533646224716	-0.341490658299556	8.15562544875784	3.44097411452528	2.85476898290199	0.86	0.4	0	0	0	0	0	0	0	0	0	0	0	-0.0370393709219236	6.53412376776535	3.1403795659527	2.9296765846966	1.77774055691287	0.178059037795999
4	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
5	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
6	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
7	2-11	0.609595449677088	24.592973973207	7.31121783274732	1.69996630498076	0.0330769230769231	4.24	0.163076923076923	1.45568157568393	3.92414288223872	0.150928572393797	1.56202795015539	23.505303039779	6.76417355050412	16.1506999595988	0	1.17533646224716	-0.341490658299556	8.15562544875784	3.44097411452528	2.85476898290199	0.86	0.4	0	0	0	0	0	0	0	0	0	0	0	-0.0370393709219236	6.53412376776535	3.1403795659527	2.9296765846966	1.77774055691287	0.178059037795999
8	2-99	0.608655139520066	25.5257379267013	6.56187559855355	1.7458306863297	0.0867008252312439	9.61794471490615	0.356220174626154	1.58548607664873	4.2123099319373	0.156011478960641	1.67541800091563	22.7492097332567	6.77650699237218	15.8279081759383	2.24295397748673	3.71248275557153	-0.850220280504225	8.65237498800112	3.75008143318191	3.34829310945196	1.02332790443728	0.764722171772206	0.68	0	0	0	0	0	0	0	0	0	0	-0.0999998743158983	7.98397511166624	3.98724787189245	3.56716538436154	1.9992360397984	0.242597950319547
9	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
10	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
11	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
12	2-6	0.640435199168673	27.5338353703272	6.57598380475681	1.73893957842204	0.0876408404576131	9.65295314646331	0.344748326659404	1.59477863441853	4.39198554546477	0.156856626623742	1.68775533800797	20.6838406018215	6.83410873881384	16.043969017092	2.24295397748674	3.93839229161543	-0.417123194317085	11.9808620557467	3.76905997288252	3.3485694396579	1.02332790443728	0.827668943564992	0.521536192416212	0	0	0	0	0	0	0	0	0	0	0.0222742554674353	7.99791070304821	3.97737020508688	3.64822301141576	1.97549181518141	0.104881528796883
13	4-2	0.610645006657858	24.6569360941158	7.31252917419639	1.73308071577678	0.0330769230769231	3.32	0.127692307692308	1.49006808648933	3.93405043345833	0.15130963205609	1.5758839043139	21.5404718817915	6.78473982808559	16.1591376522753	0.324977857195478	0.937980330660469	-0.622702850219302	7.83099393447614	3.45346344207661	2.84819547202299	0.8	0	0	0	0	0	0	0	0	0	0	0	0	-0.138464067080863	6.57451429446709	3.14716693866426	2.94747347466932	1.86747805004135	0.100192432678193
14	4-36	0.415183587112367	20.2091109117921	7.18858888316389	1.87055950117753	0.12750917871977	13.1665317114622	0.438884390382072	1.4172793227223	4.47265116814432	0.149088372271477	1.57307133697309	19.9157805629631	7.08934740313811	16.3053181457161	3.9865167460208	5.50074353583671	-0.497611692675772	8.27793359963353	4.03524242418036	3.19495630829682	1.94316752272378	0.736253762293302	0.0785692091209105	0	0	0	0	0	0	0	0	0	0	0.480522390507637	6.24807630609633	3.73976794598448	3.40314818586134	2.23050247695409	0.559546730890305
15	4-6	0.67437537020907	24.662970554172	7.22991356115429	1.79210477668136	0.09076536842532	4.35673768441536	0.18153073685064	1.55883250423803	4.17150106166454	0.173812544236023	1.63783799548404	15.1815829558621	6.81041804609318	16.1119678020703	2.03582397652411	3.35940665140225	-0.764325164125909	7.76912213266724	3.74465453207209	3.15176177719722	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402906475134121	7.52914674212841	3.72865611204098	2.85789953038081	1.40089247874822	-0.188834840908257
16	4-3a	0.700545948749052	24.5905088811921	7.22879065074228	1.81962141969629	0.0947116887916382	4.35673768441536	0.189423377583276	1.58367026485114	4.15377353595645	0.180598849389411	1.64841745861202	15.5884381170184	6.79486649690352	16.0931157223847	2.03582397652411	3.35940665140225	-0.963857831732295	7.76893780454823	3.71967974488044	3.13370472517778	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.409689754508415	7.37532614303734	3.71998369135352	2.85787461282551	1.39233984029417	-0.578289986657536
