No.	NAME	SPAM	MEcc	SPH	PJI3	L/Bw	HOMA	DISPm	QXXm	DISPv	DISPe	DISPp	DISPi	DISPs	QYYs
1	2-6	0.330626444003146	0.983793009581454	0.590299920940567	0.858564965596936	3.15	0	3.91958334079136	94.5505913935697	3.18981318925807	0.128418757738511	0.158269013082823	0.312286289238465	0.373480905056764	837.439715129201
2	2-6	0.330254584160099	0.983523187502806	0.580218863324633	0.854998244136563	3.13	0	3.94864523861822	94.7200239403975	3.30227114434664	0.127795526920929	0.170212202431846	0.324677873785205	0.371662077688591	835.614727210562
3	2-11	0.352828254859221	0.973693639014347	0.510532898863768	0.663828789213835	2.04	0.775984379042835	3.50115728042438	123.227746537122	3.65133035967863	0.112739977046281	0.246002735686081	0.371894377801616	0.352814607742392	727.072547707466
4	2-6	0.330945316712267	0.985313869782699	0.656601835328654	0.833923330526077	3	0	3.87713650400847	97.7216874922526	3.70742147007807	0.126482215492184	0.232713831743895	0.440421419820266	0.358844124450199	842.273989621803
5	2-6	0.329298265027716	0.983458354643259	0.583575014630335	0.863171216519574	3.11	0	3.870948096003	95.0698390198281	3.09763608458756	0.128483352918678	0.150677801017743	0.302660005386423	0.374949482356113	830.1566391014
6	2-6	0.33060278443642	0.983223296913214	0.585254694527215	0.859241255298286	3.1	0	3.87736243068849	95.4420632267178	3.11919925519181	0.127997956873324	0.152179446764751	0.302861695856487	0.374881105144373	831.748339223777
7	2-11	0.351285574786757	0.962559418460489	0.448582541727122	0.671558826134644	1.9	0.782665007306956	3.4847409347508	128.139811063002	3.53372260756256	0.113548413088197	0.234409871562477	0.357239207662548	0.352537243259607	711.612519537323
8	2-99	0.342337941089906	0.973510963826057	0.615923340742837	0.800639597681144	3.25	0	4.79782297543611	101.05604949441	2.66236638218493	0.215499935990211	0.0957403968014739	0.187720373249095	0.608114027090752	880.445549440629
9	2-6	0.329370575365367	0.984950523096311	0.659656693516409	0.832116151299108	2.98	0	3.74800915347105	96.7183245222311	3.32478536307812	0.12756634704242	0.201716210669993	0.356638779359493	0.364386125738529	828.970457668706
10	2-6	0.332184366659154	0.985216575476455	0.658975802315567	0.833128240092926	3.01	0	3.96038599961043	97.4174348691172	3.71686812813999	0.12956159357203	0.229555118813502	0.43612917852912	0.370180899910794	842.379723488312
11	2-6	0.330985906083109	0.984275046755122	0.59839775740943	0.850215052885941	3.27	0	3.96224572324724	93.4044255740262	3.2215063793942	0.12901944840069	0.15781997650832	0.311347425740043	0.372593836451671	849.627792612595
12	2-6	0.332269108275657	0.985279977007264	0.664775836377525	0.83491161822993	3	0	3.77905866473317	97.6773423617882	3.45315723098136	0.128387304225275	0.213341911347586	0.419259884800953	0.368067812080035	840.408956531752
13	4-2	0.353153509546738	0.980331267931446	0.582635637172102	0.917729452871697	1.78	0.775755126874253	3.14634811890418	122.665574829721	3.28035031856263	0.111896757569161	0.23448347817193	0.37324296817602	0.31656000477587	675.240171391753
14	4-36	0.43513009295313	0.999298357817173	0.815572773739658	0.9628053000174	15.91	0.866243762101664	5.16494784577346	83.7526247404074	3.86056064787147	0.27416743766563	0.278061175670397	0.918482072543866	0.463990138794188	3073.71213120682
15	4-6	0.347523425755804	0.988591116033418	0.614489928248073	0.835446677218096	4.25	0.871116311434722	3.95997975086241	70.412331785043	3.73083799561717	0.176252654627697	0.290869805340252	0.42887501869658	0.524227488701312	755.401328374511
16	4-3a	0.341946807293771	0.98798515000665	0.683364904592806	0.76745126706264	2.68	0.877833290097331	3.27084361537207	74.6516948120514	4.31532642927148	0.0812094152026172	0.314650092232617	0.491547146387975	0.295155493071085	560.208820836403
17	2-6	0.329597246377372	0.985103473363556	0.667833258041757	0.833216057657492	2.97	0	3.78850130220377	97.8001028983355	3.20850527561936	0.129079982402246	0.183148180372294	0.337388382564287	0.369348414731884	837.44601143123
18	4-11	0.389827039468654	0.999888949000021	0.917186278947468	0.752134047043167	3.09	0.27789812530108	8.05043922539669	63.6503383116311	7.70106310091177	0.234777336993092	0.383491979112037	0.599517248640909	0.689384190990972	639.930489397635
19	2-6	0.331011507431949	0.984016299412381	0.578298436028992	0.853920230087028	3.17	0	4.04466976534975	94.8441839344556	3.3898526760589	0.129555623620052	0.173321371658467	0.328743583409322	0.376382701884082	844.451870081745
20	4-36	0.436046368404074	0.999087555264532	0.822204173294883	0.948495596996712	21.94	0.867812005015606	3.87716271162866	75.5961391621332	2.63527715125577	0.232751474523302	0.287647002569903	0.987776113680781	0.261311351969363	3200.89627471286
21	4-36	0.412831562739832	0.998884807088668	0.808273211792161	0.896215488697436	8.35	0.868130539212174	7.22206401266052	116.824202427755	5.4918448498433	0.364997556852077	0.318592784844117	1.07014599464334	0.674777239236649	2650.46192349091
22	4-11	0.391826207710464	0.999882990983646	0.917291244250752	0.768631448726794	3.08	0.272516022590423	8.12272242999263	63.4544281641036	7.81645745858775	0.235133539625942	0.392488679681522	0.613000896779099	0.690011658872749	642.740982680906
23	4-36	0.414240243037315	0.997110898991629	0.751954801082538	0.849702832776535	8.69	0.873495049738847	6.84368086966573	130.844969353462	5.35016059157312	0.337084424502425	0.297031757582697	0.964350917876751	0.640140774123122	2598.93051652324
24	4-6	0.346472292465311	0.992038166294651	0.703803854619282	0.751971407120401	3.03	0.880761123741251	3.45707574823275	78.918048532897	4.08911483306975	0.170461899102137	0.353754290622101	0.548011956047582	0.49329626588354	673.703332793379
25	4-3	0.333872288930508	0.982273759572786	0.511611838947646	0.694840491303586	2.46	0.875175582671272	2.63064151594924	90.858027278708	3.99267876337702	0.0807125724991882	0.312374001183766	0.512398779601356	0.247109282335532	632.459141416113
26	2-9	0.335111234060418	0.982126127458749	0.609286783988206	0.753633634328971	2.81	0	4.65107419830113	101.14299741574	4.10347501825752	0.148099156658425	0.215186454755847	0.35083378547399	0.390698996377412	827.786543904437
