No.	NAME	TDB04u	TDB05u	TDB06u	TDB07u	TDB09u	TDB10u	TDB04m	TDB06m	TDB07m	TDB09m	TDB10m	TDB04v	TDB10v	TDB05e	TDB06e	TDB07e	TDB08e	TDB01p	TDB03p	TDB05p	TDB01i	TDB03i	TDB04i	TDB05i	TDB06i	TDB07i	TDB01s	TDB04s	TDB06s	TDB07s	TDB08s	TDB09s	TDB10s	TDB01r	TDB02r	TDB03r	TDB05r	TDB06r	TDB07r	TDB08r	TDB09r
1	2-6	3.89750621003699	4.69603877647951	5.63624815849767	6.53799398006185	8.97843089689115	10.42895927334	1.25118224069785	1.32180562379949	1.00342486114545	0.381727045283813	0.0737620474380722	1.47415174390702	0.723556605642252	4.63563323895385	5.55577489022375	6.43925818299957	7.20386561356982	0.859720772817614	1.62978498866074	1.7745188000071	1.47055710240982	3.72020986962832	4.87454226846933	6.04107325595636	7.33901765578425	8.98259060154987	3.36643621907157	9.49190137239826	14.3198629397682	15.9417751431071	19.0702047412067	21.1975700396503	10.42895927334	0.945677021104269	1.47943260690939	1.84494785178429	2.08755081454434	2.36218270444526	2.24061855018598	2.17943628226067	2.20601062263536
2	2-6	3.89608966252559	4.69754983579654	5.6282014328867	6.5235042030907	8.88583443417711	10.3177341336243	1.25084875091276	1.32128731687075	1.00255846389411	0.378761859714299	0.072975373157639	1.47374049863554	0.715839854387832	4.63672916816361	5.54825083878212	6.42538732486637	7.18314749427392	0.859606860219685	1.62933055499741	1.77406579764438	1.47039948307493	3.71922875290866	4.87265322098843	6.04403990971614	7.32841650544661	8.96194446342798	3.36590078365349	9.49070117674104	14.3063213190096	15.9187886118963	19.0357527407487	21.008271776149	10.3177341336243	0.945551017070887	1.47916985705376	1.84443291922953	2.08709257278379	2.35969282245336	2.23681945935064	2.17176182067993	2.18583183976319
3	2-11	3.85200296398203	4.74383881896144	5.54940849245197	6.475773987808	8.08171561664711	8.71000813026692	1.30777949379205	1.29601214638086	1.28735046629108	0.908581139650465	0.58052912738226	1.50537910292817	1.24087042974074	4.70629035976288	5.51806796715268	6.48878532018367	6.89705632386724	0.805631812537373	1.54427567312769	1.78409886416208	1.47216003394048	3.73025907205108	4.78463102685738	6.09487620793846	7.37801994813454	8.5759043957901	3.41984427346629	8.41903670635899	12.0886367244618	14.9729053461916	12.7761831120073	15.8545129696541	14.4189902839664	0.913534759522787	1.3714118465938	1.74683889224951	2.13232583271292	2.21103969562296	2.59594613043395	2.22794220193373	2.53284137727198
4	2-6	3.90337333757841	4.75498250391543	5.76037884112634	6.57413500353169	8.92968217293783	10.3226081478046	1.26694552399471	1.34155453265544	1.01542552269004	0.382125313683625	0.0730098461338742	1.48401519321172	0.716178011347101	4.69759433253107	5.67204392568413	6.47913968713002	7.34075888346224	0.859981298060275	1.63082587648419	1.79829217813152	1.47077860620526	3.72108743782784	4.88047431620364	6.11843164580733	7.50977514236985	9.02036743995357	3.36711686199824	9.53830269391573	14.5190999269884	16.109299185747	19.4038740347547	21.2194794587621	10.3226081478046	0.945971052037377	1.47987552057404	1.84701365379899	2.11866532994578	2.40068513166452	2.26672421494306	2.20561961187838	2.19810352297866
5	2-6	3.8972890266976	4.6959735947253	5.63054059116107	6.53055003937751	8.94352790321196	10.3583486350485	1.25049013130891	1.31859156734691	0.999524611125064	0.379492873826643	0.0732626318094573	1.4737441767074	0.718657670626265	4.63538819759368	5.55033727711266	6.43065104707608	7.18006815184019	0.859799373181764	1.629952092037	1.77297953008543	1.4703877978983	3.72150635546032	4.87419293059744	6.04203761611623	7.33256683048002	8.9745692209585	3.36649205060807	9.4944070952614	14.307499942032	15.9027362481556	18.9843196918387	21.084749333796	10.3583486350485	0.945772615553164	1.4797304319173	1.84528808499904	2.08602863640927	2.35867566706703	2.23512472951223	2.17133953700898	2.19588646144397
6	2-6	3.90214231874222	4.70653615458925	5.6439364754691	6.54308286965295	8.95087984131956	10.3956890393158	1.2534074758537	1.32070073067972	1.0004432172209	0.379640187892929	0.0735267333941634	1.47641850657317	0.721248331444555	4.64566678358067	5.56298744670867	6.44268177392933	7.19683309720997	0.859660314204558	1.63123035701966	1.77701712347205	1.47016148570229	3.72184080727979	4.87999789885377	6.05530192025717	7.35078551096192	8.99141556325514	3.36522344764533	9.51029708482536	14.3250972894977	15.9225952111848	18.9599287677393	21.0697468897642	10.3956890393158	0.945577201153254	1.47970550030286	1.84649754183411	2.09064527649282	2.36356529930466	2.23978879400368	2.17525141360779	2.1980543700388
7	2-11	3.84623100808906	4.73589095766779	5.54638751590102	6.43501549528348	7.95287801403731	8.49974850621261	1.30716704446239	1.28652873692762	1.26967850765876	0.876567843159451	0.554899947401217	1.50353332302335	1.19496085573244	4.69920845033772	5.51259977718454	6.44658955834308	6.83562007931871	0.805131049802258	1.54230415313507	1.78106727537764	1.4714359800268	3.72644433853145	4.77829761730181	6.08447267868031	7.37783492357385	8.52527035322736	3.41898830229798	8.41908235135792	12.0512084567166	14.8560911796719	12.6096912675748	15.5280215083825	13.9524034261705	0.913048304628211	1.3704511133254	1.7451583273325	2.12891554997996	2.20265976416089	2.57389819675731	2.19903116462095	2.47656933910861
8	2-99	3.86517470138618	4.70971931890702	5.62258962592562	6.39510092056096	8.47062441478257	8.60935402242273	1.30823460046522	1.39093798757825	1.43779254980351	0.457961885311745	0.0608923252233317	1.43753523627174	0.597313193959919	4.731787746116	5.67156047799338	6.52987525285398	7.55328193237724	0.866842165338248	1.6138905290108	1.72296257553457	1.46002374323134	3.71411238840945	4.87113190223249	6.09994628674245	7.38492100119967	8.65209370028752	3.84803807908829	12.2502692517564	16.420072562623	20.5750322508889	39.2328859231437	27.9299817481054	8.60935402242273	0.958342680656134	1.51912871832008	1.86386791539679	2.10105330011615	2.33565119077217	2.3615366309485	2.62427849743586	2.17463432429011
9	2-6	3.89246973597922	4.73616559998264	5.67407526906103	6.63619548988246	8.85459083434259	10.2613629753664	1.25742008072343	1.33336563741452	1.00690476003231	0.377487655704988	0.0725766706658011	1.47796102707051	0.711928848231211	4.67383138939757	5.59831734614111	6.52602995474884	7.27062357242674	0.859076094367324	1.62739648544448	1.78709998475025	1.46975350179502	3.71433388401077	4.86695420962418	6.09625382713014	7.38612526203667	9.1217171660942	3.36435695422546	9.50849523175574	14.4167787370749	16.0128316151495	19.1573358126954	20.9392327584034	10.2613629753664	0.945001821612266	1.47760503944199	1.84314559878648	2.10414016685065	2.38724729503777	2.26610927512774	2.18677415619762	2.17828966467067
10	2-6	3.9028467267577	4.75002231049089	5.75357481737813	6.56772105937889	8.96424677857398	10.401339645618	1.26683474172588	1.3382136815278	1.01283422231695	0.382236398578426	0.0735666990589232	1.48387777458176	0.721640368023531	4.69277162361958	5.66440568240299	6.47130574711134	7.34541604827635	0.859824648860801	1.63087580019817	1.79685336635139	1.47024420877215	3.71996959774539	4.87997903614889	6.1114636874417	7.50053873029379	9.01014037548021	3.3657938221248	9.55105114131647	14.4856950613052	16.06539104675	19.3161798627571	21.2153987898653	10.401339645618	0.945768341705134	1.47965922534114	1.84718550921075	2.11660485297694	2.39725221281789	2.26473011720562	2.20766887265886	2.20472567875125
