No.	NAME	RDF010u	RDF025u	RDF050u	RDF055u	RDF110u	RDF115u	RDF145u	RDF150u	RDF155u	RDF015m	RDF020m	RDF035m	RDF040m	RDF050m	RDF055m	RDF065m	RDF070m	RDF075m	RDF085m	RDF090m	RDF095m	RDF100m	RDF105m	RDF110m	RDF115m	RDF120m	RDF125m	RDF130m	RDF140m	RDF145m	RDF150m	RDF155m	RDF030v	RDF070v	RDF080v	RDF135v	RDF020e	RDF065e	RDF075e	RDF095e	RDF125e	RDF130e	RDF140e	RDF020p	RDF035p	RDF040p	RDF085p	RDF090p	RDF100p	RDF105p	RDF120p	RDF030i	RDF045i	RDF060i	RDF010s	RDF025s	RDF030s	RDF035s	RDF040s	RDF045s	RDF050s	RDF060s	RDF065s	RDF070s	RDF075s	RDF080s	RDF085s	RDF090s	RDF095s	RDF100s	RDF105s	RDF110s	RDF115s	RDF120s	RDF125s	RDF135s	RDF145s	RDF150s	RDF155s
1	2-6	16.2132159165427	45.741223989436	40.2750859094829	42.3826495586766	0.873667595518553	2.84335660976986E-6	0	0	0	20.4124832554422	0.869917444753566	12.6306393382275	11.5546433017345	13.4964713187123	10.7732725301724	7.34661020981838	2.88602810549459	2.84039181747152	2.18198984103086	0.343287699052477	0.0576892836335901	0.0212524608169493	0.121696382381303	0.00617928490625958	2.01105210631464E-8	0	0	0	0	0	0	0	16.3076306782638	5.18929655206275	2.37287286513922	0	11.7272806867547	31.6963120684446	18.855992790687	1.24454621327542	0	0	0	3.91213769166483	19.8641050982971	17.0529996536627	3.07760370688594	1.71960320060301	0.247682184637795	0.543371597899776	0	49.894079021372	63.6571197736388	43.9413632733285	39.0462333418758	120.307253439576	118.632472606539	109.486264617382	108.28561687139	105.943598901163	115.542708120794	63.1413028790416	86.3259814854654	46.8862774216592	33.0509598054802	38.0980410180422	29.7515056795873	11.9101335144279	2.6723092215409	1.75950823524486	4.68725744032744	0.873667595518553	2.84335660976986E-6	0	0	0	0	0	0
2	2-6	16.1896526485515	46.2133996363389	39.2705472456202	40.5361062282993	0.858136813375453	3.74533600260661E-7	0	0	0	20.4365543090087	0.869476626355295	12.2654108442397	11.6778590636724	13.3602826678097	10.2334986464785	7.15501045801053	2.55040736476771	2.77110844017662	2.10187910272091	0.3250807891113	0.0369186876234097	0.0166096053499697	0.0894728083736798	0.00606943863501004	2.6490049932596E-9	0	0	0	0	0	0	0	16.2798479587287	5.01104843413923	2.48501915002539	0	10.9258104136381	29.7599684266453	16.8687125964256	1.28350697432161	0	0	0	3.79540679886492	19.9199067237433	17.2170027085382	3.08944955117745	1.68705674016034	0.128430665052072	0.359575506241211	0	51.2047388700352	64.4538560730232	46.2421754017763	38.9483281996697	119.620233472307	119.553118010453	110.234843866809	109.429714147991	107.857731625955	112.265839720099	65.306133147156	83.0239282203106	44.2358093877538	30.9535919192236	39.385077421378	29.7940497827999	11.7290953446392	2.32273674059033	0.945215259589671	3.14162716127906	0.858136813375453	3.74533600260661E-7	0	0	0	0	0	0
3	2-11	15.5911260584023	50.1774061958994	49.399125166858	31.8126032136337	1.87006478470002	0.0106430879954972	0	0	0	18.6379255512631	1.34045619641823	5.29050298590723	10.1606401845432	18.7054482130773	8.88624093025634	7.20497653219412	4.67698340332485	3.85531028338723	1.67311961691669	0.261800860620038	0.0478093434082032	0.432202062662465	0.129441478498003	0.0132267713841193	0.0000752765392054325	0	0	0	0	0	0	0	12.950974758881	5.78887670341781	4.29141994988607	0	15.0067235331674	26.6529828513302	22.8809586349529	2.94421320610522	0	0	0	4.39271177149582	10.8691437042316	15.7189145837897	4.44644361454802	1.07423799980165	0.783266118499342	0.811741813730826	0	36.9037938696127	46.7322353459364	38.0932682248067	33.6232787230122	115.60687927519	62.468940218902	56.7213289019422	75.1784349549416	111.569500475623	125.512563341588	54.445342421949	60.2917421498155	51.1227209054924	54.3919371464858	30.1369591795487	30.1314087165862	9.03776286226313	3.81493566426847	3.87230391800059	4.74158702876517	1.8700668420806	0.0106430879954972	0	0	0	0	0	0
4	2-6	16.2844133931073	46.3515352795824	37.2806207233524	34.6527918290323	1.05250098712578	1.46572687830934E-11	0	0	0	20.2230966850249	0.913149775461459	10.6016266880325	11.6554946452675	9.29460925386289	9.27878851051018	7.36571040883519	3.74147678533247	4.56649544547187	1.33250735527715	1.59682716226449	0.159610006566699	0.0328491135907366	0.0168924013704665	0.00744413950675306	0	0	0	0	0	0	0	0	16.1206596751209	5.67290842234589	3.52331974535445	0	10.4661608752311	30.8232907853066	15.8603214894953	2.49762917586744	0	0	0	3.80265854654711	17.6990894321258	15.9863116221279	2.36967167637474	1.41457744136441	0.241082134105255	0.107909864116904	0	54.4112355394403	65.8704527003428	36.0127146389466	39.2367809618168	117.689688541981	112.558170253551	102.963584356114	105.700334535407	105.951251965773	96.8928615379321	58.9913357647142	102.450002531849	59.0430276941599	39.0825269764691	42.4983316368555	21.6458928267654	23.5138100198533	5.24110558759136	1.8847006390337	0.900883223375451	1.05250098712578	1.46572687830934E-11	0	0	0	0	0	0
5	2-6	16.3004140414549	47.3464542769738	36.6554106934645	42.6538238290286	0.941704003610616	9.87564102298729E-6	0	0	0	20.3711563483782	0.853802474331854	13.1863121721314	10.262854933564	12.0152517397301	11.1310913809669	9.06219871675099	2.27224213289287	2.17120642131148	1.91318437076772	0.254727295252689	0.137092119019885	0.0875210254460236	0.101326472328263	0.00666049349422822	6.98485325837947E-8	0	0	0	0	0	0	0	16.8545179293466	4.66654002596492	2.30500158165815	0	10.8855537335089	32.9420633618712	14.4909164396303	1.78427512249528	0	0	0	3.76086766939483	19.5206558189341	16.2564890051104	3.1782410514382	1.21308740000716	0.443893983254828	0.638093554703108	0	53.7483983579422	62.3252167098912	42.7449097278436	39.2114644013134	121.159986090669	127.358646658029	106.408329776425	97.4138828607381	104.711060541872	107.9976907402	63.9742149601637	101.605901186962	46.9686764208579	25.4797699394239	33.1179037620952	27.80096682108	8.55044939211264	4.18858137499812	3.44545608154286	4.85401408828726	0.941704003622327	9.87564102298729E-6	0	0	0	0	0	0
6	2-6	16.3273426214952	44.4799598283361	41.7824656664791	46.9626127683266	1.1386693355331	6.47790080482424E-6	0	0	0	20.29823146174	0.892483540164393	13.6999844759578	10.6501116348883	10.9827150069866	12.1440216856193	10.4289913209925	3.29832266807636	2.78211204848959	2.07234629840017	0.322959535563027	0.196522844290969	0.0143711123401169	0.14628702506469	0.00805359186305187	4.58169615913689E-8	0	0	0	0	0	0	0	15.1956254398637	5.84054660837749	1.89097169875591	0	11.0672830222484	37.1985172254829	17.2401342828754	3.21716787555054	0	0	0	3.87090108950829	20.0103586301706	15.6900754297803	2.78466193783768	1.71062099224029	0.117982489913267	0.521735042317586	0	48.8360068648305	63.9336010720068	40.1851297952576	39.2316355345773	112.930021812117	102.304961816866	121.870675127635	94.0723372721932	107.782658040125	107.864397653168	75.7241851834437	123.382644197943	57.5552498822598	30.115109420532	21.4713241820063	23.5338555032278	11.66564691436	8.93159256605706	0.854174603767945	4.90427584556378	1.1386693355331	6.47790080482424E-6	0	0	0	0	0	0
7	2-11	15.6654503453184	50.9149425231839	45.3077737722437	29.1409953056177	0.999058206975703	4.76354232219357E-11	0	0	0	18.8182733196173	1.37879099640275	5.19709283848478	9.32671178890699	18.0708028703655	7.78943164516536	7.5656976805584	4.35442398763414	5.34157685475176	1.47257813365605	0.191146990205309	0.833894345814712	0.0912295779290732	0.00941782134756796	0.00706614887687982	0	0	0	0	0	0	0	0	13.4172477394973	5.22713556107331	3.73477976808783	0	15.4553761526768	28.4424410795398	23.778987810403	4.2144608642212	0	0	0	4.50179465661336	11.112242414867	16.7826390309321	4.7180585657139	0.873410403809913	0.533363683880069	0.187763488334228	0	38.6882170871553	47.5967169887912	34.6752839114794	33.7811320620076	120.573720572017	67.1732851058609	57.8005849837895	75.8976781949109	101.046534967978	117.99615905202	58.3164527857115	64.8656760242554	48.1001536297879	50.5773340434739	29.4337546548392	32.1338803926221	7.696250161662	7.7037760074242	3.05640931668716	1.29308625694228	0.999058206975703	4.76354232219357E-11	0	0	0	0	0	0
8	2-99	13.8684566747475	41.7959792624917	43.6099962877691	43.7649696606087	0	0	0	0	0	18.6458487953623	1.10582930488782	14.6770131040403	10.9150774369657	13.6901022756665	12.9541162550637	4.01076842275878	5.15608351258284	1.82530226761813	1.59095024058412	1.04143195505596	0.0816664419196061	0.00699881353859259	0	0	0	0	0	0	0	0	0	0	15.5890359124327	6.21690794652553	3.25086882658256	0	12.1176063002035	19.2406272229787	10.9684711816634	1.92460653686709	0	0	0	3.83758220791238	18.6666208625551	15.2173816418505	1.76525471802526	1.91568007084756	0.128123970384095	0	0	46.5855993738731	53.129645768034	36.9383461818883	37.4931454526642	138.431804519083	148.874018651571	143.433922170482	117.267425599136	128.011973492665	155.431730054862	120.704544506521	67.021883258426	58.0031474168959	32.6703827617316	43.4247058157537	26.754936575887	22.243501055013	5.15124796742587	0.918647701224305	0	0	0	0	0	0	0	0	0
9	2-6	16.1951932631709	49.1126790159991	36.2567851456848	40.5356124846037	1.29447180014246	8.09435766054723E-8	0	0	0	20.5988930734302	0.871440076763196	12.386937720418	12.4034763483611	11.8062716154676	10.8061257640853	6.9228989159214	2.45815874188091	3.45093343299282	1.79108816926155	0.299914831345023	0.130319733030113	0.0116867700092983	0.0750229686765887	0.00915555309276556	5.7249853805095E-10	0	0	0	0	0	0	0	15.5095877647141	5.1517648511949	2.96063096636379	0	9.86406016983981	32.5669903796077	16.8104934041657	2.48371415097732	0	0	0	3.67185816025101	19.7466591143034	17.8153930921199	3.04670759825029	1.54334415846968	0.172395508855512	0.310981906179711	0	48.1285514598908	73.3872830908356	47.0860850211876	38.9606428620783	125.476943574047	107.863080536441	115.037218638679	116.456106662532	129.422866152575	103.761466772191	81.006530122639	80.0742804235715	49.0741325988842	35.9727485946635	43.530947416638	24.6968014790755	9.70117515211542	6.29469167898571	1.21360914118892	2.63688898353453	1.29447180014246	8.09435766054723E-8	0	0	0	0	0	0
10	2-6	16.2866658326378	46.012394487384	40.2358882882513	38.5796590959917	2.00166710953869	1.12804137273612E-10	0	0	0	20.2559145494007	0.923095124427372	12.1566907354186	11.5330422229899	11.4702307894767	10.7025027081339	5.59940976573112	3.01405118853561	4.41088742647651	2.56362380454558	0.657532367338024	0.216972294750532	0.0153362193066	0.0674955470335763	0.0141574111490164	0	0	0	0	0	0	0	0	15.4710144448064	5.19523565216551	3.26196979213026	0	10.6976572061635	27.3750132646764	14.4036636042358	3.58160387189137	0	0	0	3.86223676839061	18.8038473432295	16.5674932745274	4.187335664039	1.53275747777576	0.253989389524606	0.19188818095876	0	52.7564438912813	69.072644868254	33.5511086032556	39.130259621488	117.501507723851	109.49083426266	112.735987921057	105.671998813068	117.368761885326	116.73829517117	52.5463316106642	67.5551938014674	49.7394078654534	38.2096291468419	42.1583949296291	37.8581709273443	12.2199550868712	10.1738198508569	1.7662028976116	2.15538117096367	2.00166710953869	1.12804137273612E-10	0	0	0	0	0	0
