No.	NAME	nCIR	Rperim	MCD	RCI	NRS	nSpiro	nBridgeHead	nR05	nR06	nR07	nR08	nR09	nR10	nR12	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr11
1	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
2	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
3	2-11	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	142.490931290931	0
4	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
5	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
6	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
7	2-11	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	142.490931290931	0
8	2-99	10	14	0.625	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	65.3777389277389	85.8193056943057	0
9	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
10	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
11	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
12	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
13	4-2	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	140.343242705007	0
14	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
15	4-6	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5150363525364	70.9931873681874	0
16	4-3a	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
17	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
18	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
19	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
20	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
21	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
22	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
23	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
24	4-6	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5150363525364	70.9931873681874	0
25	4-3	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
26	2-9	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
27	4-28a	1	6	0.260869565217391	1	1	0	0	0	1	0	0	0	0	0	0	0	87.3603174603175	0
28	4-28a	1	6	0.260869565217391	1	1	0	0	0	1	0	0	0	0	0	0	0	87.3603174603175	0
29	2-9	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
30	4-3	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
31	2-11	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	142.490931290931	0
32	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
33	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
34	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
35	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
36	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
37	3-33	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	149.005741317506	0
38	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
39	4-43	3	9	0.36	1.22222222222222	1	0	0	1	1	0	0	1	0	0	0	61.7332580817875	74.2752427311251	0
40	2-4	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
41	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
42	4-28a	1	6	0.260869565217391	1	1	0	0	0	1	0	0	0	0	0	0	0	87.3603174603175	0
43	2-8	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
44	4-3a	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
45	4-37	1	6	0.461538461538462	1	1	0	0	0	1	0	0	0	0	0	0	0	43	0
46	4-37	1	6	0.461538461538462	1	1	0	0	0	1	0	0	0	0	0	0	0	43	0
47	2-6	15	15	0.708333333333333	1.58823529411765	1	1	4	3	2	2	1	2	1	1	0	90.4833874458875	74.7488233988234	0
48	2-15	6	14	0.583333333333333	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	139.767872323755	0
49	4-44	2	11	0.354838709677419	1	2	0	0	1	1	0	0	0	0	0	0	109.362026862027	129.503059822874	0
50	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
51	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
52	2-11	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	142.490931290931	0
53	4-35	3	10	0.434782608695652	1.2	1	0	0	0	2	0	0	0	1	0	0	0	120.796413553766	0
54	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
55	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
56	4-60	12	13	0.652173913043478	1.53333333333333	1	1	2	1	3	0	1	2	1	1	0	28.7978243978244	113.767585192585	139.05435952936
57	2-99	10	14	0.625	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	65.3777389277389	85.8193056943057	0
58	2-11	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	142.490931290931	0
59	2-4	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
60	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
61	4-54	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	146.676808159161	0
62	2-15	6	14	0.583333333333333	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	139.767872323755	0
63	4-48	9	29	0.935483870967742	1.13793103448276	4	0	0	1	4	0	0	1	1	0	66.2237004449836	66.0677209572333	283.049178998302	0
64	4-35	3	10	0.434782608695652	1.2	1	0	0	0	2	0	0	0	1	0	0	0	120.796413553766	0
65	2-26	17	24	0.722222222222222	1.38461538461538	3	1	4	4	2	2	0	2	2	0	65.4762460516257	262.817254162583	136.823085651878	0
66	4-60	12	13	0.652173913043478	1.53333333333333	1	1	2	1	3	0	1	2	1	1	0	28.7978243978244	113.767585192585	139.05435952936
67	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
68	4-28a	1	6	0.260869565217391	1	1	0	0	0	1	0	0	0	0	0	0	0	87.3603174603175	0
69	3-33	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	149.005741317506	0
70	2-99	10	14	0.625	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	65.3777389277389	85.8193056943057	0
71	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
72	4-37	1	6	0.461538461538462	1	1	0	0	0	1	0	0	0	0	0	0	0	43	0
73	2-8	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
74	3-33	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	149.005741317506	0
75	2-17	11	20	0.75	1.33333333333333	2	1	2	2	3	1	0	2	1	0	0	81.3061793288523	177.841834240751	0
76	3-33	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	149.005741317506	0
77	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
78	4-15	1	6	0.5	1	1	0	0	0	1	0	0	0	0	0	0	0	38.8952380952381	0
79	4-36	4	15	0.535714285714286	1.13333333333333	2	0	0	1	2	0	0	1	0	0	0	72.0137933961463	181.774210825294	0
80	4-2	10	16	0.739130434782609	1.41176470588235	1	0	2	0	4	0	1	0	3	1	0	0	140.343242705007	0
81	2-99	10	14	0.625	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	65.3777389277389	85.8193056943057	0
82	2-8	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
83	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
84	4-30	15	15	0.739130434782609	1.58823529411765	1	1	4	3	2	2	0	2	2	0	0	88.7762307137307	70.267587967588	0
85	4-11	6	13	0.684210526315789	1.30769230769231	1	0	0	1	2	0	0	1	1	0	0	30.1784104784105	67.7021645021645	0
86	Ciprofloxacin	5	19	0.791666666666667	1.10526315789474	3	0	0	0	3	0	0	0	1	0	0	0	182.617299367299	0
87	4-3	10	14	0.714285714285714	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	53.5615582130288	69.7460795740208	0
88	2-2	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
89	2-8	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
90	4-54	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	146.676808159161	0
91	4-53	5	22	0.916666666666667	1.09090909090909	3	0	0	0	4	0	0	0	1	0	0	0	262.25619352268	0
92	3-33	6	14	0.56	1.28571428571429	1	0	0	0	3	0	0	0	2	0	0	0	149.005741317506	0
93	2-41	15	22	0.733333333333333	1.36363636363636	1	0	0	0	5	0	0	0	4	0	0	0	227.974875485861	0
94	4-4	10	14	0.75	1.46666666666667	1	1	2	2	2	1	0	2	1	0	0	49.4688825063825	65.1236069486069	0
95	2-8	4	14	0.7	1.14285714285714	2	0	0	2	1	0	1	0	0	0	0	88.0845515595516	64.3790515040515	0
