No.	NAME	SsCH3	SssCH2	SdssC	SaasC	SssssC	SsNH2	SdsN	SsssNH+	SssssN+	SaaNH	SdO	SssS	SaaS	NssCH2	NsssCH	NdssC	NssNH	NsNH3+	NssNH2+	NssssN+	NssO	minssCH2	minsssCH	mindssC	minaasC	minaaaC	minsssN	minaasN	MaxsCH3	MaxdCH2	MaxssCH2	MaxdsCH	MaxaaCH	MaxsssCH	MaxdssC	MaxssssC	MaxsOH	MaxdO	MaxssO
1	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
2	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
3	2-11	3.43103891093474	5.29135511148904	0	3.39883521772907	0.034791666666667	0	0	0	0	0	0	0	0	5	4	0	0	1	1	0	2	0.994286659108088	0.232801529562442	0	0.359645219198791	0	0	0	1.80318182056773	0	1.1266123393802	0	2.15131070483749	0.591847127739985	0	0.034791666666667	10.9027210097002	0	5.71385227702192
4	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
5	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
6	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
7	2-11	3.43103891093474	5.29135511148904	0	3.39883521772907	0.034791666666667	0	0	0	0	0	0	0	0	5	4	0	0	1	1	0	2	0.994286659108088	0.232801529562442	0	0.359645219198791	0	0	0	1.80318182056773	0	1.1266123393802	0	2.15131070483749	0.591847127739985	0	0.034791666666667	10.9027210097002	0	5.71385227702192
8	2-99	1.45437311035525	2.45619732615268	0.310952853363569	0	-2.83261857520786	0	0	0	0	0	11.9522073019022	0	0	4	5	3	0	1	0	0	0	0.528595993953137	-1.43005432728647	-1.36071097883598	0	0	0	0	1.45437311035525	4.05231072058453	0.718071617535903	1.62805177626606	0	0.0605092592592591	0.871527777777778	-0.346157407407407	10.8524448853616	11.9522073019022	0
9	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
10	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
11	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
12	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
13	4-2	3.87644227135299	4.78651832955404	0	3.22524707105064	-0.0535416666666668	0	0	1.55675471886285	0	0	0	0	0	5	4	0	0	1	0	0	1	0.797880054799698	-0.323309581548669	0	0.316289682539683	0	0	0	2.26946995464853	0	1.11118220899471	0	2.12558153817082	0.519624905517763	0	-0.0535416666666668	10.8835785147392	0	5.37400707042076
14	4-36	0	-0.466639214002355	-0.411295876375241	-4.66421530721373	-4.63455583772191	0	0	0	0	0	12.396646681049	0	0	5	1	1	0	1	0	0	0	-0.144671809137899	-0.641302070210801	-0.411295876375241	-1.31148799042211	0	1.30947378642815	0.918776957715276	0	0	0.0269948575287677	0	0.717617620793056	-0.641302070210801	-0.411295876375241	-4.63455583772191	0	12.396646681049	0
15	4-6	2.18604363504661	4.28643211451247	0.302230725623583	4.26824263038549	-0.408603552532124	0	0	0	0	0	12.6632577475435	0	0	6	2	1	0	1	0	0	0	0.0272753684807259	0.385532407407407	0.302230725623583	1.34617819349962	0	0	0	2.18604363504661	0	1.04092592592593	0	2.26304752456538	0.49099537037037	0.302230725623583	0.0359722222222225	9.84930933484505	12.6632577475435	0
16	4-3a	4.43227229780801	5.08599348072562	0.517508503401361	4.47483985260771	0.152924225245654	0	0	0	0	0	12.5920077475435	0	0	5	2	1	0	1	0	0	0	0.79412037037037	0.495162037037037	0.517508503401361	1.4036824452003	0	0	0	2.22761385109599	0	1.18967592592593	0	2.31534344293273	0.600625	0.517508503401361	0.194722222222222	0	12.5920077475435	0
17	2-6	2.03722033257748	3.97687240173847	0.879131235827665	0	-1.86287910997732	0	0	0	0	0	12.8732033808894	0	0	5	4	2	0	2	0	0	1	0.728661895313681	-0.0697071050642479	-0.0940197467876038	0	0	0	0	2.03722033257748	4.20838750314941	0.886934051398337	2.14832955404384	0	0.263171296296296	0.973150982615269	-0.0348611111111112	11.0568965734442	12.8732033808894	6.18054941421013
18	4-11	5.77563366087176	0.680168257117662	0.59557872994877	4.43710034013606	0	0	0	0	0	0	11.5136054421769	0	0	1	0	2	0	1	0	0	1	0.680168257117662	0	-0.32582433127572	0.612835411942555	0.78925925925926	0	0	1.9381426366843	0	0.680168257117662	1.51826955782313	2.03467592592593	0	0.92140306122449	0	0	11.5136054421769	5.33294477513227
