No.	NAME	CATS2D_03_DD	CATS2D_04_DD	CATS2D_05_DD	CATS2D_06_DD	CATS2D_07_DD	CATS2D_08_DD	CATS2D_09_DD	CATS2D_01_DA	CATS2D_02_DA	CATS2D_03_DA	CATS2D_04_DA	CATS2D_05_DA	CATS2D_06_DA	CATS2D_07_DA	CATS2D_08_DA	CATS2D_09_DA	CATS2D_00_DP	CATS2D_03_DP	CATS2D_04_DP	CATS2D_05_DP	CATS2D_06_DP	CATS2D_07_DP	CATS2D_08_DP	CATS2D_09_DP	CATS2D_03_DN	CATS2D_04_DN	CATS2D_05_DN	CATS2D_06_DN	CATS2D_07_DN	CATS2D_08_DN	CATS2D_03_DL	CATS2D_05_DL	CATS2D_06_DL	CATS2D_07_DL	CATS2D_08_DL	CATS2D_09_DL	CATS2D_01_AA	CATS2D_02_AA	CATS2D_04_AA	CATS2D_05_AA	CATS2D_06_AA	CATS2D_07_AA	CATS2D_09_AA	CATS2D_00_AP	CATS2D_02_AP	CATS2D_03_AP	CATS2D_04_AP	CATS2D_05_AP	CATS2D_06_AP	CATS2D_07_AP	CATS2D_08_AP	CATS2D_09_AP	CATS2D_00_AN	CATS2D_01_AN	CATS2D_03_AN	CATS2D_04_AN	CATS2D_05_AN	CATS2D_06_AN	CATS2D_07_AN	CATS2D_08_AN	CATS2D_09_AN	CATS2D_03_AL	CATS2D_05_AL	CATS2D_06_AL	CATS2D_07_AL	CATS2D_08_AL	CATS2D_09_AL	CATS2D_00_PP	CATS2D_03_PP	CATS2D_05_PP	CATS2D_06_PP	CATS2D_08_PP	CATS2D_03_PN	CATS2D_04_PN	CATS2D_05_PN	CATS2D_06_PN	CATS2D_09_PN	CATS2D_02_PL	CATS2D_05_PL	CATS2D_06_PL	CATS2D_07_PL	CATS2D_08_PL	CATS2D_09_PL	CATS2D_05_NN	CATS2D_06_NN	CATS2D_02_NL	CATS2D_04_NL	CATS2D_06_NL	CATS2D_08_NL	CATS2D_09_NL	CATS2D_06_LL	CATS2D_07_LL	CATS2D_09_LL	SHED_DD	SHED_DA	SHED_DP	SHED_DL	SHED_AA	SHED_AP	SHED_AL	SHED_PP	SHED_PN	SHED_PL	SHED_NN	SHED_NL	SHED_LL
1	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
2	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
3	2-11	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3.789291416276	1	3.59611546662432	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
4	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
5	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
6	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
7	2-11	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	7	8	2	1	1	0	2	0	0	1	0	0	0	0	0	0	4	2	2	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3.789291416276	1	3.59611546662432	3	3.77976314968462	5.37654056889628	1	0	5.15494602161859	0	0	5.02364982773991
8	2-99	1	0	0	0	0	2	0	0	0	1	2	2	0	0	4	0	0	0	0	2	1	0	0	0	0	1	1	0	0	1	9	6	8	4	2	0	0	1	2	2	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	1	1	0	0	1	0	13	12	14	8	4	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	1	1	3	1	0	4	1	0	1.88988157484231	3.57165236692845	1.88988157484231	6.44881228775032	4.35275281648062	1.64938488846612	6.51346944868507	0	1	3.69177218273526	0	6.32570490835827	5.63886317357512
9	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
10	2-6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	1	2	2	0	0	0	1	0	0	1	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	11	4	6	3	1	0	2	0	0	1	0	0	0	0	0	0	3	6	6	2	1	0	0	0	0	0	0	0	0	5	2	0	0	2	2	5.53168920023982	3	3.77976314968462	5.9077527125704	1	0	6.18600429117297	0	0	5.80193158794743
