No.	NAME	G(N..N)	G(N..S)	G(O..I)	G(F..F)
1	2-6	6.42018747329712	0	0	0
2	2-6	6.41510009765625	0	0	0
3	2-11	6.54321908950806	0	0	0
4	2-6	5.88082456588745	0	0	0
5	2-6	6.4683985710144	0	0	0
6	2-6	6.54441118240356	0	0	0
7	2-11	6.53932952880859	0	0	0
8	2-99	0	0	0	0
9	2-6	7.20171785354614	0	0	0
10	2-6	5.8584771156311	0	0	0
11	2-6	6.44619607925415	0	0	0
12	2-6	5.91578531265259	0	0	0
13	4-2	6.60145711898804	0	0	0
14	4-36	41.5704574584961	0	0	137.959274291992
15	4-6	0	0	0	0
16	4-3a	0	0	0	0
17	2-6	7.26424503326416	0	0	0
18	4-11	0	0	0	0
19	2-6	6.45353555679321	0	0	0
20	4-36	41.5323333740234	0	0	141.522445678711
21	4-36	40.048583984375	0	0	130.556350708008
22	4-11	0	0	0	0
23	4-36	39.3988761901855	0	0	127.425415039063
24	4-6	0	0	0	0
25	4-3	0	0	0	0
26	2-9	0	0	0	0
27	4-28a	32.317455291748	0	0	0
28	4-28a	32.0064277648926	0	0	0
29	2-9	0	0	0	0
30	4-3	0	0	0	0
31	2-11	6.56362819671631	0	0	0
32	2-6	5.68046617507935	0	0	0
33	4-36	40.4597244262695	0	0	119.861824035645
34	4-36	41.8735198974609	0	0	141.366897583008
35	4-36	36.9817199707031	0	0	122.412704467773
36	4-36	42.9889297485352	0	0	134.614501953125
37	3-33	0	0	0	0
38	4-53	25.4903450012207	0	0	0
39	4-43	73.9011764526367	0	0	0
40	2-4	5.63800382614136	0	0	0
41	4-53	25.6061172485352	0	0	0
42	4-28a	33.1989898681641	0	0	0
43	2-8	7.31712961196899	12.1586542129517	0	0
44	4-3a	0	0	0	0
45	4-37	0	0	0	0
46	4-37	0	0	0	0
47	2-6	5.87427186965942	0	0	0
48	2-15	0	0	0	0
49	4-44	13.8035125732422	0	0	0
50	4-36	41.2418060302734	0	0	136.426422119141
51	4-53	25.6735534667969	0	0	0
52	2-11	6.49423933029175	0	0	0
53	4-35	0	0	0	0
54	4-53	26.8229713439941	0	0	0
55	4-53	25.6031818389893	0	0	0
56	4-60	5.25669860839844	0	0	0
57	2-99	0	0	0	0
