No.	NAME	Ro5	DLS_01	DLS_02	DLS_03	DLS_04	DLS_05	DLS_06	DLS_07	DLS_cons	LLS_01	LLS_02	QED
1	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
2	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
3	2-11	0	0.75	0.666666666666667	0.666666666666667	0.8	1	0.833333333333333	1	0.816666666666667	0.333333333333333	0.875	0.772480769150151
4	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
5	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
6	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
7	2-11	0	0.75	0.666666666666667	0.666666666666667	0.8	1	0.833333333333333	1	0.816666666666667	0.333333333333333	0.875	0.772480769150151
8	2-99	0	0.75	0.666666666666667	0.833333333333333	0.8	1	0.833333333333333	1	0.84047619047619	0.333333333333333	1	0.450532055768769
9	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
10	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
11	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
12	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
13	4-2	0	0.75	0.666666666666667	0.666666666666667	0.8	1	0.833333333333333	1	0.816666666666667	0.333333333333333	0.875	0.640149480947604
14	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
15	4-6	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.910788747135197
16	4-3a	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.825075056614033
17	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
18	4-11	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.615494423507115
19	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
20	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
21	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
22	4-11	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.615494423507115
23	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
24	4-6	0	1	1	1	0.7	0.5	1	1	0.885714285714286	0.666666666666667	1	0.910788747135197
25	4-3	0	1	1	1	0.8	0.5	1	1	0.9	0.833333333333333	1	0.850659114990996
26	2-9	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.333333333333333	0.875	0.541559399859791
27	4-28a	0	0.75	0.666666666666667	0.833333333333333	0.8	1	0.833333333333333	1	0.84047619047619	0.166666666666667	1	0.547436616107365
28	4-28a	0	0.75	0.666666666666667	0.833333333333333	0.8	1	0.833333333333333	1	0.84047619047619	0.166666666666667	1	0.547436616107365
29	2-9	0	1	1	1	0.9	0.5	1	1	0.914285714285714	0.333333333333333	0.875	0.541559399859791
30	4-3	0	1	1	1	0.8	0.5	1	1	0.9	0.833333333333333	1	0.850659114990996
31	2-11	0	0.75	0.666666666666667	0.666666666666667	0.8	1	0.833333333333333	1	0.816666666666667	0.333333333333333	0.875	0.772480769150151
32	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
33	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
34	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
35	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
36	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
37	3-33	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	1	0.870131829888311
38	4-53	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.746156379871921
39	4-43	1	0.5	0.666666666666667	0.5	0.8	1	0.5	0.5	0.638095238095238	0.166666666666667	0.875	0.34106985064616
40	2-4	0	0.75	0.666666666666667	0.833333333333333	0.8	1	0.833333333333333	1	0.84047619047619	0.833333333333333	0.875	0.797938331414282
41	4-53	0	1	1	1	0.8	0.5	1	1	0.9	0.666666666666667	1	0.746156379871921
42	4-28a	0	0.75	0.666666666666667	0.833333333333333	0.8	1	0.833333333333333	1	0.84047619047619	0.166666666666667	1	0.547436616107365
43	2-8	0	1	0.833333333333333	1	0.9	1	1	1	0.961904761904762	0.333333333333333	0.875	0.488480226830514
44	4-3a	0	1	1	1	0.8	0.5	1	1	0.9	1	1	0.825075056614033
45	4-37	0	1	0.666666666666667	0.833333333333333	0.9	1	1	1	0.914285714285714	0.833333333333333	1	0.681724345060952
46	4-37	0	1	0.666666666666667	0.833333333333333	0.9	1	1	1	0.914285714285714	0.833333333333333	1	0.681724345060952
47	2-6	0	0.75	0.666666666666667	0.666666666666667	0.8	0.5	0.833333333333333	1	0.745238095238095	0.333333333333333	0.75	0.517601003227298
48	2-15	0	1	0.833333333333333	1	0.9	0.5	1	1	0.890476190476191	0.333333333333333	1	0.870957305179367
49	4-44	0	1	0.666666666666667	0.833333333333333	0.9	1	0.833333333333333	0.5	0.819047619047619	0.166666666666667	0.875	0.484928412152206
50	4-36	0	1	1	1	0.8	0.5	1	1	0.9	0.333333333333333	1	0.555302830944829
