No.	NAME	DBI	HNar	PJI2	ICR	MeanTD	MaxDD	GMTIV	S2K	PW2	PW5	MAXDN	MAXDP	TIE	Psi_i_1d	Psi_i_1s	Psi_e_0d	LOC
1	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
2	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
3	2-11	3	1.93006993006993	1	2.37642813061118	3.93675889328063	16	8797	5.53650782848288	0.594409937888199	0.129975855386956	1.30702144746788	4.90272100970018	41.6082998663899	4.85859563729532E-7	8.31398512135946E-8	-5.43223590366743E-6	0.94195363879996
4	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
5	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
6	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
7	2-11	3	1.93006993006993	1	2.37642813061118	3.93675889328063	16	8797	5.53650782848288	0.594409937888199	0.129975855386956	1.30702144746788	4.90272100970018	41.6082998663899	4.85859563729532E-7	8.31398512135946E-8	-5.43223590366743E-6	0.94195363879996
8	2-99	3.93700393700591	1.72455089820359	0.6	1.98993437832558	3.83333333333333	16	12861	4.49856577814767	0.642113095238095	0.12279872417363	3.02737764550265	4.95220730190224	77.5989780099108	-2.56365244367658E-7	3.37467973117971E-8	2.81317784885594E-6	0.910401041967148
9	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
10	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
11	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
12	2-6	4	1.84615384615385	1	2.13027044308602	3.66304347826087	17	9292	4.04081632653061	0.638338744588745	0.144780271307276	1.98036493764172	5.87320338088939	58.7255059520148	1.26645316689252E-7	4.14803229526416E-8	2.81446341887092E-6	0.88208020839343
13	4-2	2.91547594742265	1.87755102040816	0.8	2.19635380669482	3.85770750988142	17	8693	5.26331790500451	0.608126293995859	0.134759347907103	1.656642914882	4.88357851473923	47.0209092774416	4.82968510792155E-7	9.16092073389866E-8	-5.42689041147593E-6	0.871969270346186
