No.	NAME	WHALES00_Rem	WHALES10_Rem	WHALES20_Rem	WHALES30_Rem	WHALES40_Rem	WHALES50_Rem	WHALES60_Rem	WHALES70_Rem	WHALES80_Rem	WHALES90_Rem	WHALES100_Rem	WHALES00_Isol	WHALES10_Isol	WHALES30_Isol	WHALES40_Isol	WHALES60_Isol	WHALES70_Isol	WHALES80_Isol	WHALES90_Isol	WHALES100_Isol	WHALES00_IR	WHALES10_IR	WHALES20_IR	WHALES30_IR	WHALES40_IR	WHALES50_IR	WHALES90_IR	WHALES100_IR
1	2-6	-2.382	-2.113	-1.632	-1.324	-0.947	-0.741	-0.422	0.528	0.728	0.773	1.799	-0.372	-0.243	-0.123	-0.096	-0.029	0.092	0.153	0.211	0.262	-0.778	-0.218	-0.135	-0.092	-0.063	-0.049	0.363	0.676
2	2-6	-2.353	-2.075	-1.622	-1.33	-0.949	-0.74	-0.42	0.528	0.727	0.762	1.786	-0.378	-0.246	-0.122	-0.096	-0.031	0.091	0.154	0.215	0.262	-0.798	-0.221	-0.138	-0.095	-0.063	-0.051	0.372	0.679
3	2-11	-1.639	-1.401	-1.117	-0.813	0.082	0.483	0.585	0.732	1.278	1.536	2.099	-0.25	-0.184	-0.093	0.02	0.138	0.142	0.173	0.203	0.247	-0.318	-0.143	-0.119	-0.063	0.006	0.053	0.401	0.512
4	2-6	-1.899	-1.85	-1.543	-1.177	-1.033	-0.794	-0.423	0.431	0.59	0.795	1.222	-0.316	-0.227	-0.119	-0.099	-0.039	0.09	0.18	0.247	0.306	-0.754	-0.278	-0.194	-0.076	-0.067	-0.053	0.398	0.771
5	2-6	-2.349	-2.149	-1.628	-1.332	-0.951	-0.75	-0.43	0.526	0.714	0.804	1.825	-0.345	-0.234	-0.125	-0.091	-0.044	0.092	0.149	0.202	0.265	-0.717	-0.205	-0.127	-0.088	-0.066	-0.057	0.338	0.672
6	2-6	-2.457	-2.147	-1.675	-1.304	-0.948	-0.718	-0.419	0.526	0.731	0.77	1.772	-0.356	-0.242	-0.123	-0.096	-0.018	0.091	0.15	0.215	0.26	-0.726	-0.216	-0.134	-0.09	-0.064	-0.043	0.346	0.672
7	2-11	-1.534	-1.358	-1.147	-0.791	0.082	0.472	0.597	0.731	1.229	1.481	2.27	-0.234	-0.185	-0.099	0.029	0.139	0.145	0.174	0.198	0.269	-0.307	-0.146	-0.121	-0.07	0.008	0.053	0.404	0.477
8	2-99	-1.664	-1.412	-1.327	-1.074	-1	-0.873	-0.631	0.424	0.536	0.622	0.949	-0.218	-0.169	-0.112	-0.099	-0.027	0.081	0.132	0.176	0.257	-0.385	-0.162	-0.127	-0.109	-0.101	-0.071	0.284	0.611
9	2-6	-1.888	-1.799	-1.524	-1.231	-0.99	-0.743	-0.416	0.493	0.595	0.823	1.25	-0.333	-0.25	-0.124	-0.11	-0.021	0.09	0.175	0.231	0.336	-0.81	-0.253	-0.182	-0.084	-0.072	-0.045	0.434	0.763
10	2-6	-1.958	-1.845	-1.563	-1.205	-1.02	-0.792	-0.424	0.424	0.6	0.795	1.22	-0.34	-0.235	-0.114	-0.101	-0.024	0.094	0.184	0.247	0.297	-0.812	-0.257	-0.191	-0.075	-0.059	-0.044	0.393	0.737
