No.	NAME	ChiralCenter	maxDistfromCC	nLevel1	nLevel3	nLevel5	nLevel6	nLevel8	nLevel9	nLevel10	phLevel1	phLevel2	phLevel3	arLevel2	s2_size	s2_relSize	s4_relSize	s2_phSize	s3_phSize	s1_phRelSize	s2_phRelSize	s4_phRelSize	s1_phRelSize_2	s2_phRelSize_2	s3_phRelSize_2	s3_pathLength	s3_relPathLength	s4_relPathLength	s1_relPathLength_2	s2_relPathLength_2	s3_relPathLength_2	s1_numSharedNeighbors	s2_numSharedNeighbors	s3_numSharedNeighbors	s4_numSharedNeighbors	s1_numRotBonds	s2_numRotBonds	s3_numRotBonds	s4_numRotBonds	s1_numAroBonds	s2_numAroBonds	s3_numAroBonds	s4_numAroBonds	s34_phSize	chiralMoment
1	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
2	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
3	2-11	5	6.6	3.2	4.6	3.2	1.4	0.2	0	0	0.6	0.6	0.8	0.8	3	0.130434782608696	0.521739130434783	1.1	1.4	0.00434782608695652	0.0478260869565217	0.104347826086957	0.04	0.486666666666667	0.219379509379509	5.8	0.252173913043478	0.28695652173913	0.24	0.862222222222222	0.886262626262626	0.2	1.6	5.8	6	0	0.2	1	1.2	0	0.4	2.4	5.2	3.8	17.7000234393845
4	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
5	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
6	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
7	2-11	5	6.6	3.2	4.6	3.2	1.4	0.2	0	0	0.6	0.6	0.8	0.8	3	0.130434782608696	0.521739130434783	1.1	1.4	0.00434782608695652	0.0478260869565217	0.104347826086957	0.04	0.486666666666667	0.219379509379509	5.8	0.252173913043478	0.28695652173913	0.24	0.862222222222222	0.886262626262626	0.2	1.6	5.8	6	0	0.2	1	1.2	0	0.4	2.4	5.2	3.8	17.7000234393845
8	2-99	8	5.875	3.375	4.875	2.75	1.375	0	0	0	0.5	0.875	1.125	0	2.6875	0.111979166666667	0.533854166666667	0.875	1.75	0.00520833333333333	0.0364583333333333	0.135416666666667	0.125	0.525297619047619	0.255770801910508	4.75	0.197916666666667	0.244791666666667	0.125	0.523809523809524	0.77246103569633	0	0.625	2.25	1.625	0	0	0.25	0.625	0	0	0	0	5	19.4564015282651
9	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
10	2-6	8	5.5	3.5	5.625	2.25	1.125	0	0	0	0.375	0.75	1.25	0	3.125	0.130208333333333	0.510416666666667	1.0625	1.1875	0.0078125	0.0442708333333333	0.106770833333333	0.145833333333333	0.429945054945055	0.182022144522145	4.5	0.1875	0.229166666666667	0.291666666666667	0.767399267399267	0.771743534243534	0.25	0.5	2.5	1.75	0	0	0.25	0.625	0	0	0	0	3.75	18.028124973937
