No.	NAME	SpMax2_Bh(m)	SpMax2_Bh(v)	SpMax1_Bh(e)	SpMax5_Bh(e)	SpMax3_Bh(p)	SpMax4_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(v)	SpMin5_Bh(v)	SpMin1_Bh(p)	SpMin7_Bh(p)	SpMin1_Bh(i)	SpMin2_Bh(i)	SpMin3_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)
1	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
2	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
3	2-11	3.71483889159942	3.67799044343831	4.13165855991632	3.2850573297013	3.42651917271787	3.42503532841289	4.7888577652076	4.69742456760645	4.4504014687393	4.41727445158315	4.17839453807173	3.77695439174418	3.64580604087648	1.91652613218795	1.82576445370032	1.61114911065826	1.55281317059695	2.20697484106632	1.44009428898175	2.06071819924467	1.73268838465353	1.52394025159263	1.65496522963992	1.20047391622855	1.04692675053486	0.977695367754691	0.693926894768044
4	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
5	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
6	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
7	2-11	3.71483889159942	3.67799044343831	4.13165855991632	3.2850573297013	3.42651917271787	3.42503532841289	4.7888577652076	4.69742456760645	4.4504014687393	4.41727445158315	4.17839453807173	3.77695439174418	3.64580604087648	1.91652613218795	1.82576445370032	1.61114911065826	1.55281317059695	2.20697484106632	1.44009428898175	2.06071819924467	1.73268838465353	1.52394025159263	1.65496522963992	1.20047391622855	1.04692675053486	0.977695367754691	0.693926894768044
8	2-99	3.77558327633623	3.74658912147885	4.14854194639174	3.30944959857963	3.33001850053228	3.48408354545251	6.9990501591512	6.49416032613805	6.44687428410398	6.40067030245087	4.69987620096896	4.54710151304605	4.24651797244802	2.02039075015652	1.85125004286834	1.6580686061351	1.53852260415758	2.04623339938802	1.23767425879432	1.89745971448994	1.81361196986244	1.64392230433218	1.48415022305765	1.42607873651237	1.12592866546769	0.852358407016262	0.715980310525915
9	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
10	2-6	3.80712965514786	3.77930225768019	4.17971194417655	3.329683500092	3.37139380852889	3.49321020424504	6.44719814074447	4.76797140287854	4.63073054086639	4.54229897285447	4.41058963016085	4.01155034491983	3.91614980299821	2.03529057521937	1.87102219870582	1.76018509035114	1.58402004662953	2.0409659901875	1.34862702688091	1.86938578847904	1.83120830591572	1.65038979720581	1.50945212293497	1.4504089505751	1.14328660208065	0.953271413158843	0.772319935638354
