No.	Name	Description	Block	Sub-Block	
1	MW	molecular weight	Constitutional indices	Basic descriptors	
2	AMW	average molecular weight	Constitutional indices	Basic descriptors	
3	Sv	sum of atomic van der Waals volumes (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
4	Se	sum of atomic Sanderson electronegativities (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
5	Sp	sum of atomic polarizabilities (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
6	Si	sum of first ionization potentials (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
7	Mv	mean atomic van der Waals volume (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
8	Me	mean atomic Sanderson electronegativity (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
9	Mp	mean atomic polarizability (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
10	Mi	mean first ionization potential (scaled on Carbon atom)	Constitutional indices	Basic descriptors	
11	GD	graph density	Constitutional indices	Basic descriptors	
12	nAT	number of atoms	Constitutional indices	Basic descriptors	
13	nSK	number of non-H atoms	Constitutional indices	Basic descriptors	
14	nAA	number of aromatic atoms	Constitutional indices	Basic descriptors	
15	nTA	number of terminal atoms	Constitutional indices	Basic descriptors	
16	nBT	number of bonds	Constitutional indices	Basic descriptors	
17	nBO	number of non-H bonds	Constitutional indices	Basic descriptors	
18	nBM	number of multiple bonds	Constitutional indices	Basic descriptors	
19	SCBO	sum of conventional bond orders (H-depleted)	Constitutional indices	Basic descriptors	
20	RBN	number of rotatable bonds	Constitutional indices	Basic descriptors	
21	RBF	rotatable bond fraction	Constitutional indices	Basic descriptors	
22	nDB	number of double bonds	Constitutional indices	Basic descriptors	
23	nTB	number of triple bonds	Constitutional indices	Basic descriptors	
24	nAB	number of aromatic bonds	Constitutional indices	Basic descriptors	
25	nH	number of Hydrogen atoms	Constitutional indices	Basic descriptors	
26	nC	number of Carbon atoms	Constitutional indices	Basic descriptors	
27	nN	number of Nitrogen atoms	Constitutional indices	Basic descriptors	
28	nO	number of Oxygen atoms	Constitutional indices	Basic descriptors	
29	nP	number of Phosphorous atoms	Constitutional indices	Basic descriptors	
30	nS	number of Sulfur atoms	Constitutional indices	Basic descriptors	
31	nF	number of Fluorine atoms	Constitutional indices	Basic descriptors	
32	nCL	number of Chlorine atoms	Constitutional indices	Basic descriptors	
33	nBR	number of Bromine atoms	Constitutional indices	Basic descriptors	
34	nI	number of Iodine atoms	Constitutional indices	Basic descriptors	
35	nB	number of Boron atoms	Constitutional indices	Basic descriptors	
36	nHM	number of heavy atoms	Constitutional indices	Basic descriptors	
37	nHet	number of heteroatoms	Constitutional indices	Basic descriptors	
38	nX	number of halogen atoms	Constitutional indices	Basic descriptors	
39	H%	percentage of H atoms	Constitutional indices	Basic descriptors	
40	C%	percentage of C atoms	Constitutional indices	Basic descriptors	
41	N%	percentage of N atoms	Constitutional indices	Basic descriptors	
42	O%	percentage of O atoms	Constitutional indices	Basic descriptors	
43	X%	percentage of halogen atoms	Constitutional indices	Basic descriptors	
44	nCsp3	number of sp3 hybridized Carbon atoms	Constitutional indices	Basic descriptors	
45	nCsp2	number of sp2 hybridized Carbon atoms	Constitutional indices	Basic descriptors	
46	nCsp	number of sp hybridized Carbon atoms	Constitutional indices	Basic descriptors	
47	Fsp3	number of sp3 hybridized carbons/total carbon count	Constitutional indices	Basic descriptors	
48	max_conj_path	maximum number of atoms that can be in conjugation with each other	Constitutional indices	Basic descriptors	
49	nStructures	number of disconnected structures	Constitutional indices	Basic descriptors	
50	totalcharge	total charge	Constitutional indices	Basic descriptors	
51	nCIC	number of rings (cyclomatic number)	Ring descriptors	Basic descriptors	
52	nCIR	number of circuits	Ring descriptors	Basic descriptors	
53	TRS	total ring size	Ring descriptors	Basic descriptors	
54	Rperim	ring perimeter	Ring descriptors	Basic descriptors	
55	Rbrid	ring bridge count	Ring descriptors	Basic descriptors	
56	MCD	molecular cyclized degree	Ring descriptors	Basic descriptors	
57	RFD	ring fusion density	Ring descriptors	Basic descriptors	
58	RCI	ring complexity index	Ring descriptors	Basic descriptors	
59	NRS	number of ring systems	Ring descriptors	Basic descriptors	
