Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
COc1c(O)c2c(CC3N(C)CCC42C3CC(O)C(N)C4)cc1,+,4-2,1913.0,High
OC12C(CC3(C(CCN)c4c(C)cccc4C3CC2)C1)=C,+,4-3,1887.0,High
O=C1C2(C)CC3(C(CN)c4c(C)cccc4C3CC2)C1,+,4-3a,1696.0,High
OC12C(C)CC3(C(CN)c4c(C)cccc4C3CC2)C1,+,4-4,1650.0,High
O=C1C2(CO)CC3(C(CN)c4c(C)cccc4C3CC2)C1,+,4-6,1487.0,High
O=C(NCCN)C1(C)C2C(CCC1)(C)c3c(C(N)C2)cc(C(C)C)cc3,+ +,4-6a,1344.0,High
O=C(OC12C(CC3(C(CN)c4c(C)cccc4C3CC2)C1)=C)C,+,4-9,922.0,High
O=C1Oc2c(C(C)=C1)cc3c(CN)c(C)oc3c2C,+,4-11,817.0,High
NC1C(C)C2C(C(C1)C2)(C)C,+,4-12,761.0,High
Brc1ccc(C(N)C(C)N2CCOCC2)cc1,+,4-14,739.0,High
NCc1ccc(C(C)(C)C)cc1,+,4-15,726.0,High
O=C(OC1C2(C)C(C)CCC3(C(C)C(O)C(C1)(CN)C)C2C(CC3)=O)CO,+,4-16,628.0,High
NC1c2c(c3c1cccc3)cccc2,+,4-17,617.0,High
NCC(C=C1)=CC=C1C2=CC=CC=C2,+,4-18,617.0,High
NC(C(C)N1CCOCC1)c2ccccc2,+,4-20,613.0,High
O=C(OC)C1(C)C2C(CCC1)(C)c3c(C(N)C2)cc(C(C)C)cc3,+,4-25,477.0,High
NC(c1ccccc1)c2ccccc2,+,4-27,415.0,High
COc1ccc(C(N)C(C)N2CCOCC2)cc1,+,4-28,399.0,High
O=C(C)NC1C(C=C(CC1OC(CC)CC)C(NCCN)=O)N,+ +,4-28a,894.6,High
NC(C(C)N1CCOCC1)C2CCCCC2,+,4-29,344.0,High
CC12C(O)C(C=C3C2C(N)C45C3CCC(C5)(O)C(C4)=C)OC1=O,+,4-30,330.0,High
O=S(NCCN)(c(ccc1)c2c1cncc2)=O,+,4-31,316.0,High
O=C1C(OC)CC2C3(c4c(OCO5)c5ccc4C(N)C2N(C)CC3)C1,+,4-33,335.0,Low
OC(CC(O)CCC1C(C)C=CC2=CC(CC(C21)O)C)CCN,+,4-35,323.0,Low
FC(c1n(CCN(C2)C(CC(N)Cc3c(F)cc(F)c(F)c3)=O)c2nn1)(F)F,+,4-36,275.0,Low
COc1c(OC)ccc(CCN)c1,+,4-37,255.0,Low
O=C(OC1C2OCC(N)C2OC1)C,+,4-37a,372.0,High
COc1c(CN)ccc(OC)c1,+,4-39,206.0,Low
O=C(OC)COC1C2OCC(N)C2OC1,+,4-41,175.0,Low
O=C(OCC(OCn1c(N=C(N)NC2=O)c2nc1)CO)C(N)C(C)C,+,4-43,165.0,Low
O=C(OC)C(NC(C(N1C(C(OC)=O)CCC1)=O)CCCCN)CCc2ccccc2,+,4-44,155.0,Low
O=C(OCCOCn1c(N=C(N)NC2=O)c2nc1)C(N)C(C)C,+,4-45,141.0,Low
O=S(NCCCCCCN)(c(ccc1)c2c1cccc2)=O,+,4-46,108.0,Low
O=C(NC1C(OC(CC)CC)C=C(C(OCC)=O)CC1N)C,+,4-47,83.0,Low
O=C1N2C(c3c(C=C2)nc(c4ccc(C5(N)CCC5)cc4)c(c6ccccc6)c3)=NN1,+,4-48,81.0,Low
NCCC(c1ccccc1)c2ccccc2,+,4-49,61.0,Low
O=S(OC1C2OCC(N)C2OC1)(CCCCCCCCCCCC)=O,+,4-50,61.0,Low
O=C(OC1C2(C)C(OC1C=C3C2C(C(NC4CC4)=O)C56C3CCC(C6)(O)C(C5)=C)=O)C(N)C(C)C,+,4-51,47.0,Low
COc1c(O)c2c(CC3N(C)CCC42C3CC(C(N)=C4)=O)cc1,+,4-52,46.0,Low
NCC1CCN(c2nc(c(cc3)cc4c3cccc4)ccn2)CC1,+,4-53,40.0,Low
O=C(NCCN)C1(C)C2C(CCC1)(C)C3C(C=C(C(C)C)CC3)=CC2,+,4-54,38.0,Low
NC1(C)C2C(CCC1)(C)C3C(C=C(C(C)C)CC3)=CC2,+,4-55,28.0,Low
