Canonical SMILES,name
COc1ccc(CC2N(CCC34C2CC(C(C4)[NH3+])O)C)c3c1O,4-2
OC12C(CC3(C2)C(c4c(C3CC1)cccc4C)CC[NH3+])=C,4-3
O=C1C2(CC3(C1)C(c4c(C3CC2)cccc4C)C[NH3+])C,4-3a
OC12C(CC3(C2)C(c4c(C3CC1)cccc4C)C[NH3+])C,4-4
O=C1C2(CC3(C1)C(c4c(C3CC2)cccc4C)C[NH3+])CO,4-6
O=C(C1(C2C(c3ccc(C(C)C)cc3C(C2)[NH3+])(CCC1)C)C)NCC[NH3+],4-6a
O=C(C)OC12C(CC3(C2)C(c4c(C3CC1)cccc4C)C[NH3+])=C,4-9
O=C1Oc(c2C)c(C(C)=C1)cc3c2oc(C)c3C[NH3+],4-11
[NH3+]C1C(C2C(C)(C(C2)C1)C)C,4-12
Brc1ccc(C(C(N2CCOCC2)C)[NH3+])cc1,4-14
[NH3+]Cc1ccc(C(C)(C)C)cc1,4-15
O=C(CO)OC1C2(C(CCC3(C2C(CC3)=O)C(C(C(C)(C1)C[NH3+])O)C)C)C,4-16
[NH3+]C1c2ccccc2c3ccccc31,4-17
[NH3+]Cc1ccc(c2ccccc2)cc1,4-18
[NH3+]C(c1ccccc1)C(N2CCOCC2)C,4-20
O=C(C1(C2C(c3ccc(C(C)C)cc3C(C2)[NH3+])(CCC1)C)C)OC,4-25
[NH3+]C(c1ccccc1)c2ccccc2,4-27
COc1ccc(C(C(N2CCOCC2)C)[NH3+])cc1,4-28
O=C(NC1C([NH3+])C=C(C(NCC[NH3+])=O)CC1OC(CC)CC)C,4-28a
[NH3+]C(C1CCCCC1)C(N2CCOCC2)C,4-29
CC12C(C(OC2=O)C=C3C1C(C45C3CCC(C(C4)=C)(C5)O)[NH3+])O,4-30
O=S(NCC[NH3+])(c1cccc2cnccc12)=O,4-31
O=C1C(CC2C3(C1)c4c(C(C2N(CC3)C)[NH3+])ccc5c4OCO5)OC,4-33
OC(CC[NH3+])CC(CCC1C(C=CC2=CC(C)CC(O)C21)C)O,4-35
FC(F)(c1nnc2n1CCN(C(CC(Cc3cc(F)c(F)cc3F)[NH3+])=O)C2)F,4-36
COc1cc(CC[NH3+])ccc1OC,4-37
O=C(C)OC1C2OCC(C2OC1)[NH3+],4-37a
COc1cc(OC)ccc1C[NH3+],4-39
O=C(COC1C2OCC(C2OC1)[NH3+])OC,4-41
O=C(C(C(C)C)[NH3+])OCC(CO)OCn1cnc2c1N=C(NC2=O)N,4-43
O=C(C(CCc1ccccc1)NC(CCCC[NH3+])C(N2C(CCC2)C(OC)=O)=O)OC,4-44
O=C(C(C(C)C)[NH3+])OCCOCn1cnc2c1N=C(NC2=O)N,4-45
O=S(NCCCCCC[NH3+])(c1cccc2ccccc12)=O,4-46
O=C(C)NC1C(C=C(CC1[NH3+])C(OCC)=O)OC(CC)CC,4-47
O=C1N2C(c3cc(c4ccccc4)c(c5ccc(C6(CCC6)[NH3+])cc5)nc3C=C2)=NN1,4-48
[NH3+]CCC(c1ccccc1)c2ccccc2,4-49
O=S(OC1C2OCC(C2OC1)[NH3+])(CCCCCCCCCCCC)=O,4-50
O=C(C(C(C)C)[NH3+])OC1C2(C(OC1C=C3C2C(C45C3CCC(C(C4)=C)(C5)O)C(NC6CC6)=O)=O)C,4-51
COc1ccc(CC2N(CCC34C2CC(C([NH3+])=C4)=O)C)c3c1O,4-52
[NH3+]CC1CCN(CC1)c2nccc(c3ccc4ccccc4c3)n2,4-53
O=C(C1(C2C(C3C(C=C(CC3)C(C)C)=CC2)(CCC1)C)C)NCC[NH3+],4-54
[NH3+]C1(C2C(C3C(C=C(CC3)C(C)C)=CC2)(CCC1)C)C,4-55
O=C(C[NH3+])OC1C2OCC(C2OC1)[NH3+],4-55a
O=C(OC1C2(C(CCC3(C2C(CC3)=O)C(C(C(C)(C1)C=C)O)C)C)C)CSCC[NH3+],4-57
O=C1C(c2c(CC(CC3)C[NH3+])n3c4ccccc24)=C(C(N1)=O)c5cn(C)c6ccccc56,4-58
O=C(C1(C2C(C3C(C2C[NH3+])(C4C(OC(O4)=O)(CC3)C(C)C)O)(CCC1)C)C)OC,4-59
COc1ccc2c3c1OC(C43C(C(C2)N(CC4)C)CCO)C[NH3+],4-60
O=C(C1(C2C(C3C(C(C(C(C)C)(CC3)O)[NH3+])=CC2)(CCC1)C)C)OC,4-62
[NH3+]C(c1ccccc1)(c2ccccc2)c3ccccc3,4-63
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(-c2ccccc2)cc1,3-2
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@@H]([C@H]3OC2)[NH+](C)C)=O)cc1,3-5
Brc1ccc(S(=O)(O[C@H]2[C@H]3OC[C@@H]([C@H]3OC2)[N+](C)(C)C)=O)cc1,3-6
Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H](NC(=O)C)[C@H]3OC2)cc1,3-7
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C[NH2+]C)=C,3-9
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)C[NH+](C)C)=C,3-10
CC1=C(C2=CC=C1)[C@@H]([C@@]3([C@@]2(CC[C@@]4(C3)O)[H])CC4=C)C[N+](C)(C)C,3-11
CC1=C([C@H](CNC(C)=O)[C@]2(CC3=C)[C@]4([H])CC[C@]3(O)C2)C4=CC=C1,3-12
OC[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@@H](O)[C@](C)(C3)CC2,3-15
O[C@@]12C(C[C@@]3(C2)[C@H](c4c([C@H]3CC1)cccc4C)[NH2+]C)=C,3-17
O=C(OC)[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,3-19
O=C1[C@]2(C)[C@H](N=[N+]=[N-])C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-21
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[NH+](C)C)C=C)=O)ccn2,3-24
COc(c1)ccc2c1c([C@@H]3SC(N4[C@H]3C[C@H](CC4)[C@H](C[N+](C)(C)C)C=C)=O)ccn2,3-25
O=C(NC[C@H](C=C)[C@@H]1C[C@H]2[C@H](c3c4c(ncc3)ccc(OC)c4)SC(=O)N2CC1)C,3-26
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CO)[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-29
O=C1[C@]2(C)[C@@H](O)C=C[C@]3(O1)[C@@H]2[C@H](CN=[N+]=[N-])[C@@]12[C@H]3CC[C@@](O)(C(=C)C1)C2,3-30
O=C(OC)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,3-31
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[NH+](C)C)c3c1O,3-33
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccc(C)cc3)=O,3-34
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,3-35
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,3-36
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,3-37
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH3+])(c3ccccc3)=O,3-38
O=S(O[C@H]1[C@H]2OC[C@@H]([C@H]2OC1)[NH2+]C)(c3ccccc3)=O,3-39
