Canonical SMILES,Charge,name,Permeability coefficient,Accum_class
COc1ccc(CC2N(CCC34C2CC(C(C4)[NH3+])O)C)c3c1O,+,4-2,1913.0,High
OC12C(CC3(C2)C(c4c(C3CC1)cccc4C)CC[NH3+])=C,+,4-3,1887.0,High
O=C1C2(CC3(C1)C(c4c(C3CC2)cccc4C)C[NH3+])C,+,4-3a,1696.0,High
OC12C(CC3(C2)C(c4c(C3CC1)cccc4C)C[NH3+])C,+,4-4,1650.0,High
O=C1C2(CC3(C1)C(c4c(C3CC2)cccc4C)C[NH3+])CO,+,4-6,1487.0,High
O=C(C1(C2C(c3ccc(C(C)C)cc3C(C2)[NH3+])(CCC1)C)C)NCC[NH3+],+ +,4-6a,1344.0,High
O=C(C)OC12C(CC3(C2)C(c4c(C3CC1)cccc4C)C[NH3+])=C,+,4-9,922.0,High
O=C1Oc(c2C)c(C(C)=C1)cc3c2oc(C)c3C[NH3+],+,4-11,817.0,High
[NH3+]C1C(C2C(C)(C(C2)C1)C)C,+,4-12,761.0,High
Brc1ccc(C(C(N2CCOCC2)C)[NH3+])cc1,+,4-14,739.0,High
[NH3+]Cc1ccc(C(C)(C)C)cc1,+,4-15,726.0,High
O=C(CO)OC1C2(C(CCC3(C2C(CC3)=O)C(C(C(C)(C1)C[NH3+])O)C)C)C,+,4-16,628.0,High
[NH3+]C1c2ccccc2c3ccccc31,+,4-17,617.0,High
[NH3+]Cc1ccc(c2ccccc2)cc1,+,4-18,617.0,High
[NH3+]C(c1ccccc1)C(N2CCOCC2)C,+,4-20,613.0,High
O=C(C1(C2C(c3ccc(C(C)C)cc3C(C2)[NH3+])(CCC1)C)C)OC,+,4-25,477.0,High
[NH3+]C(c1ccccc1)c2ccccc2,+,4-27,415.0,High
COc1ccc(C(C(N2CCOCC2)C)[NH3+])cc1,+,4-28,399.0,High
O=C(NC1C([NH3+])C=C(C(NCC[NH3+])=O)CC1OC(CC)CC)C,+ +,4-28a,894.6,High
[NH3+]C(C1CCCCC1)C(N2CCOCC2)C,+,4-29,344.0,High
CC12C(C(OC2=O)C=C3C1C(C45C3CCC(C(C4)=C)(C5)O)[NH3+])O,+,4-30,330.0,High
O=S(NCC[NH3+])(c1cccc2cnccc12)=O,+,4-31,316.0,High
O=C1C(CC2C3(C1)c4c(C(C2N(CC3)C)[NH3+])ccc5c4OCO5)OC,+,4-33,335.0,Low
OC(CC[NH3+])CC(CCC1C(C=CC2=CC(C)CC(O)C21)C)O,+,4-35,323.0,Low
FC(F)(c1nnc2n1CCN(C(CC(Cc3cc(F)c(F)cc3F)[NH3+])=O)C2)F,+,4-36,275.0,Low
COc1cc(CC[NH3+])ccc1OC,+,4-37,255.0,Low
O=C(C)OC1C2OCC(C2OC1)[NH3+],+,4-37a,372.0,High
