name,Permeability coefficient,Canonical SMILES,glide rotatable bonds,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,res:A132 vdw,res:A132 coul,res:A132 hbond,res:A132 dist,res:A132 Eint,res:A117 vdw,res:A117 coul,res:A117 hbond,res:A117 dist,res:A117 Eint,res:A113 vdw,res:A113 coul,res:A113 hbond,res:A113 dist,res:A113 Eint,res:A82 vdw,res:A82 coul,res:A82 hbond,res:A82 dist,res:A82 Eint,res:A42 vdw,res:A42 coul,res:A42 hbond,res:A42 dist,res:A42 Eint,res:A16 vdw,res:A16 coul,res:A16 hbond,res:A16 dist,res:A16 Eint,A:102(TYR) HAccep nn,A:102(TYR) HPhob,A:106(TYR) HPhob,A:113(ASP) HDonor nc,A:113(ASP) HDonor cn,A:113(ASP) HDonor nn,A:113(ASP) Salt,A:117(GLU) HDonor nc,A:117(GLU) HDonor cn,A:117(GLU) HDonor nn,A:117(GLU) HDonor cc,A:117(GLU) Salt,A:118(PHE) HDonor nc,A:118(PHE) HPhob,A:119(GLY) HDonor nc,A:119(GLY) HDonor nn,A:123(ALA) HDonor nn,A:132(ARG) HAccep nn,A:132(ARG) HAccep cn,A:132(ARG) Salt,A:132(ARG) PiCat,A:14(TYR) PiEdge,A:14(TYR) HPhob,A:16(LYS) HAccep cn,A:16(LYS) PiCat,A:16(LYS) HPhob,A:20(LEU) HPhob,A:310(TYR) HPhob,A:339(GLN) HDonor nc,A:339(GLN) HDonor nn,A:339(GLN) HPhob,A:340(PHE) HDonor nc,A:340(PHE) Salt,A:340(PHE) PiCat,A:38(MET) HPhob,A:40(TYR) PiEdge,A:40(TYR) HPhob,A:42(ARG) HAccep nn,A:42(ARG) HAccep cn,A:42(ARG) HAccep cc,A:42(ARG) HAccep nc,A:42(ARG) Salt,A:42(ARG) PiCat,A:42(ARG) HPhob,A:46(LYS) HAccep cn,A:60(GLN) HAccep nn,A:62(GLU) HDonor nc,A:62(GLU) HDonor cn,A:62(GLU) HDonor nn,A:82(ARG) HAccep nn,A:82(ARG) HAccep cn,A:82(ARG) HAccep cc,A:82(ARG) HAccep nc,A:82(ARG) Salt,Charge_+,Charge_+ +,Charge_+ - -,Charge_+ - - -,Charge_-,Charge_- -,Charge_neutral,Charge_±
Ampcillin,45,O=C([C@@H](c1ccccc1)[NH3+])N[C@@H]2C(N3[C@H](C(C)(S[C@H]23)C)C([O-])=O)=O,0.20513696407726328,-2.074866793588897,-0.9370264726288388,-1.365589613632474,-1.9149741887809155,-2.074866793588897,0.9548449275023594,-2.1210479119710817,0.022133029273143447,0.1809459926151124,-1.4544102946885122,0.12923758156155707,-2.842108735424032,-1.7761137929697959,-0.7825465685872836,0.29214069618918814,-1.2324523227650077,-1.0038979381362987,-2.418851371501594,-1.2061164436386744,-1.0315641512381994,-0.7680920385850524,0.42129613894044976,0.14403168661596738,-0.7534200102142783,0.35809735927908526,-0.9365486425026409,-0.35567017038075543,-2.2498790452493864,-1.0125590206421677,-0.39848199472577234,0.9742427396550587,-0.9605296292140559,-2.538937346463858,-1.4763997930760142,-0.9462085851370758,2.0638073195419637,-0.9073809746472324,-0.5205460496623415,-0.5647219089202556,-0.8570976495030851,1.4850904124634066,-1.1682545620793856,-2.5400199772290573,-0.22133568242391508,-1.0927224731557776,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4-43,165,O=C(C(C(C)C)[NH3+])OCC(CO)OCn1cnc2c1N=C(NC2=O)N,2.152902077538145,-2.794853688188612,-1.1453175122925718,-1.7217484847755835,-2.521295954623186,-2.794853688188612,0.618016732905914,-1.892822333128152,-0.0168384013613667,-0.1844863536066674,-3.0335351468791076,1.902434603667913,-3.436677498638762,-2.6730848835503873,-1.9813824943320417,0.9335797330532906,-0.6233820365960919,0.33091942171754624,-1.5157210718663587,-0.9865150121674146,0.3111321925583183,-0.540586825660611,-1.2266733126205809,-1.1619078163149588,-0.9817882377581936,-1.25878472768375,0.39801897995113317,-1.3416700896714993,-2.5873025805578878,-1.0939517633848355,-1.3343659828122596,-0.38119864195860664,0.41261525321210024,-0.4342497482290237,-0.4468995191197216,0.4035786845416307,0.11304560704909626,0.5231081799485766,0.24070252836007278,0.286245502418756,0.5306654637442216,1.1257905226204388,0.5242062613744233,0.38948403841441614,1.5870798832496231,0.5856794942322839,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4-45,141,O=C(C(C(C)C)[NH3+])OCCOCn1cnc2c1N=C(NC2=O)N,1.373796032153792,-2.4710616117917032,-1.323541203912695,-1.8056814021344616,-2.364383772900508,-2.4710616117917032,1.2041053087878741,-2.123213575019297,-0.35220693388571556,0.00043344935234802524,-2.5740482419266364,1.9692576408401585,-3.3053148441790365,-2.2746346617552042,-1.5837227859868193,0.22483266865220128,-0.9629463568553213,0.3006082483463706,-1.3582566939128464,-1.0087693787094218,0.2731844646626879,-0.8791071183651279,-1.1516411377910165,-1.5975783739053664,-0.8675788050188654,-1.2113188167252467,0.3613004467072245,-1.0434652983698098,-1.1237867798893841,-0.9318069376356434,-1.0331069349084712,-0.11870005949777086,0.38722671252018376,-0.8394997351792024,0.014674000404340467,0.3820502107936531,0.2941245105881261,0.5450597484773766,0.1892014679395994,0.418171891247799,0.5577343924431206,0.8885444947550861,0.6524387151226156,-0.4135553827408658,0.22238702978676775,0.7004033775041082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4-28a,894,O=C(NC1C([NH3+])C=C(C(NCC[NH3+])=O)CC1OC(CC)CC)C,2.1529020775381453,-2.7097290418896076,-1.4546108747684763,-1.9798145055202183,-2.592881851169647,-2.7097290418896076,0.380415966202177,-1.0101446573270343,-0.3590070046300823,-0.06745754871372248,-2.9847209051898496,1.5062694547181754,-1.3247768300448604,-2.48268733742984,-1.8786909231297335,2.872582705505762,0.3073536095183847,1.6668368762298285,0.44693386258717144,-0.17285773276268618,1.6647311376307532,-1.0838570173373872,-2.591045309989248,-3.1579338476912207,-0.9168755919174013,-2.6557216449947103,1.373201588350735,-2.644123474333071,-2.36051993103817,-1.082950685191581,-2.5992759747622536,0.6023673155405552,1.408018320095979,0.1655583774242156,0.588983947379356,1.4159655695577338,0.3475030610198821,1.4921690116250146,0.30471738555112565,-0.029606642578779648,1.5134392558646765,1.2289880918788338,1.5678696336299964,0.6857474779338735,2.0957225927483063,1.6364995816315784,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4-55a,23,O=C(C[NH3+])OC1C2OCC(C2OC1)[NH3+],-0.5739690813070895,-0.5004029891238392,-2.287590014589531,-2.0264275941236956,-1.238486858019765,-0.5004029891238392,0.3678902965390376,-0.36237280308015873,-1.0342595966545511,2.061601108061952,-0.8371656615235495,0.8953159720005086,-0.3337504251026146,0.22283213333522844,0.7667043767476663,-0.6433051211262333,0.903051680077926,1.6422131195523604,0.7644800018836546,0.5565703166280321,1.6550819238830294,1.6427217731028725,-1.589504341906583,-0.8029386275834732,0.9291560520803479,-1.4476951489790595,2.647323838492713,-1.329599400042674,-0.655950796034088,0.6672593749292717,-1.2282831453836052,0.7759815237764249,1.7934455511464602,0.6459619598824914,0.7674101276564212,1.8048135390495328,0.6264057199905297,1.638635653324313,0.4174253113522042,1.7057976644206432,1.6691044727840023,0.142596355027972,1.7729390417072637,0.7320044192173585,0.6326026371085226,1.783698925095216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4-2,1913,COc1ccc(CC2N(CCC34C2CC(C(C4)[NH3+])O)C)c3c1O,-0.5739690813070895,-1.7584505113352986,-0.933087540040483,-1.285052855768145,-1.6850664268786075,-1.7584505113352986,1.2856987643833246,-0.69201902096939,-0.34255429013248007,0.8837628217574789,-1.3996600708269091,-0.9876617540316796,0.6223873576726329,-0.6573711737439792,-0.31227600752026663,-0.9366578793843569,0.07851464543835263,0.9229094831939261,0.7644800018836546,-0.2745528406872627,0.9205645037714859,-0.5433819924619108,-0.8363764781123215,-0.2007058563186704,-0.8034239459142506,-0.8703945239224441,1.7197085957455536,-1.3828337192481424,-3.2123486859718513,-1.0099862643139177,-1.3257756464428176,-0.3842472501857024,0.690311719858523,0.4206518084001478,-0.19803715602010055,0.6825533074990662,0.27595882905254226,0.5705739968879963,0.4269762305977352,-0.35144755327576677,0.5835997959249808,0.6880656230030917,0.5209640041780997,0.6830748163842782,1.0838164657669374,0.5593167643287145,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4-6a,1344,O=C(C1(C2C(c3ccc(C(C)C)cc3C(C2)[NH3+])(CCC1)C)C)NCC[NH3+],0.20513696407726362,-2.750413898569654,-0.9672708533463058,-1.5477466738814025,-2.410723122867415,-2.750413898569654,-0.5328839380195526,-0.17426517834911145,0.10329958073957164,0.018590784426483632,-2.65236007348677,0.07434722959864169,-0.7104978427218264,-2.303063341032828,-1.6204616802149716,1.1562893864066366,-0.06600009220288615,1.8255815057766123,0.6618924895361493,-0.3689999181532043,1.8139838436605524,0.04575408879920352,-2.233256904625795,-2.13348641108706,-0.8652574814239883,-2.2126523571144534,-0.5755848681818061,-2.664257882678026,-2.5479533715558986,-1.075129517592852,-2.6954879169015755,0.7448126141258778,1.5023267774981772,0.6585667166913672,0.9546079196789264,1.5137772590534229,1.0872651711266137,1.4617390106677626,0.7250066471107897,1.5440195978999456,1.504782359990112,1.2648016065579077,1.4299245356216626,0.7320044192173585,2.1338341055964642,1.500351056373928,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2-6,504,O=C1[C@@]2([C@@H](C=C[C@@]3([C@@H]2[C@@H]([C@@]45[C@H]3CC[C@@](C(C4)=C)(C5)O)C[NH3+])O1)[NH3+])C,-0.9635221039992662,-2.437959257607818,-1.1269147120195397,-1.6230722326923641,-2.2584412880199225,-2.437959257607818,0.9491869557002391,0.5232760029073474,-0.19138730548837626,0.7753392541775457,-2.273740924083404,-0.9876617540316796,-0.20001442060068148,-1.6660583173014483,-0.9178757100551909,-0.7826419264064529,-0.1569259287650118,1.5967691256860195,0.7644800018836546,-0.6413566696587104,1.5846217027419918,-1.07577991078971,-2.8791638679038534,-0.12702705672630057,-0.9195830899917261,-2.934640218220811,1.6320194980905016,-2.4218907338546267,-1.8603960049562722,-1.0464004231429083,-2.3653881707526287,-0.060754174236661775,1.399832882132091,0.6585667166913672,0.3326042473534043,1.3968282242639884,1.144503601995415,1.5923061439532697,0.7250066471107897,-1.3344378313885383,1.6378309179663784,1.1303716095577994,1.7197162824777452,0.7320044192173585,1.1291504070158067,1.7833041559024765,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4-35,323,OC(CC[NH3+])CC(CCC1C(C=CC2=CC(C)CC(O)C21)C)O,2.152902077538145,-1.8302044079529036,-0.9706087940333865,-1.3377200491893435,-1.7528903445108097,-1.8302044079529036,-0.4971350863687058,-1.2273505385694008,-0.25710968745659735,0.3814117490119655,-2.3962589884320717,1.5587732696392262,0.710172370575022,-1.515424712915853,-1.2380699771998962,1.0536822495544722,-0.11185961555184092,0.6287756871672653,0.7200258062829648,-0.6103341119933535,0.6235978946075407,-0.8001221816063147,-0.9971618512423736,-2.10514988391272,-0.9066079100445343,-1.053576261920076,1.4043682593331857,-1.5835368103922685,-3.301529128219303,-1.0813459924948168,-1.5394390427056783,0.04884159829403429,0.5341271226637476,0.21281541256931408,0.16463941069105847,0.5341643144194662,-0.015356444892527224,0.49632499761191085,0.19906349101658444,1.3187486674650113,0.499860128762239,0.41527119747693986,0.551247305328602,0.7320044192173585,1.6567549433893272,0.574946405296575,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2-15,525,COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[NH2+]C)c3c1O,0.59468998676944,-0.8317181412647817,-0.2862726453651615,-0.4839074948744582,-0.7413398523241241,-0.8317181412647817,0.9843339359375247,0.4492432271019355,-0.2100291892634645,-0.12505848711381903,-0.8556769874638165,-0.15714686346234993,0.06614684521922806,-0.8236759373704365,-0.6048711302887845,0.36354936489573264,-0.6392036650400164,0.5572964119061965,-0.26157178331331715,-0.9120234801396939,0.5381024876427282,-0.958449364404444,-1.1211155977099194,0.5895420863540805,-0.91178602822528,-1.1830814186486946,-0.6149682935120526,-0.8858861858829857,0.1534139990725087,-0.8671656137204521,-0.9097672447370866,0.408335024613288,0.4522276436719814,-1.9212966665355826,-1.0538673755663304,0.4540008963678483,-0.8682020144192362,0.5825130779656796,0.6921365531119522,0.5439737361449987,0.5641979356751835,1.1178296421222662,0.6357833246472477,0.7320044192173585,1.398584397601442,0.6974220762875214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
